KNM        ER 18925   Too16stv
19.2196    24.7307    10.0107    IN
14.9943    20.1493    14.8773    BR
10.9458    14.0319    13.6299    GL
10.9287    13.9401    13.1718    NA
7.1952     9.712      7.8163     RH
6.3656     7.8417     5.2828     NS
5.6622     7.0723     3.7479     PR
5.1016     7.6201     3.7805     R_PR2
8.0175     11.5816    8.9261     R_PMS
7.1064     16.2643    5.7214     R_ZMI
8.7024     15.3361    10.7252    R_ZMU
10.2491    14.0664    11.6289    R_DA
9.3057     15.3244    13.6046    R_MTI
10.0055    15.8761    14.4621    R_MTS
8.0864     17.1578    12.3047    R_FMO
7.7696     18.6668    12.4713    R_FMT
11.763     23.6615    8.0916     R_PO
6.7794     19.9822    8.2799     R_ZTS
6.2397     6.6831     3.4941     L_PR2
9.3439     10.4921    9.041      L_PMS
9999       9999       9999       L_ZMI
12.3954    12.1407    11.1115    L_ZMU
11.67      13.0988    11.598     L_DA
9999       9999       9999       L_MTI
9999       9999       9999       L_MTS
9999       9999       9999       L_FMO
9999       9999       9999       L_FMT
20.2398    17.7147    9.2681     L_PO
9999       9999       9999       L_ZTS
5.8346     6.7457     3.5369     O1
12.8017    14.6168    14.491     O2
8.4006     22.5173    8.1753     O3
20.4279    21.2727    9.2128     O4







































































































































































11.114     14.1655    13.6717    GLRH
11.0899    14.1153    13.4103
11.074     14.0207    13.0835
11.0402    13.9769    12.7893
11.0324    13.9279    12.6126
10.9813    13.8356    12.3828
10.9786    13.7393    12.1992
10.9329    13.6574    12.0481
10.8872    13.5705    11.8947
10.8441    13.533     11.6954
10.7411    13.4279    11.5216
10.6927    13.3398    11.4087
10.526     13.1401    11.1995
10.4293    13.023     10.9634
10.3534    12.7905    10.7047
10.2311    12.6125    10.5361
10.0451    12.4146    10.2881
9.8869     12.2161    10.1116
9.7625     12.0521    9.9673
9.6325     11.875     9.8489
9.5352     11.7646    9.6972
9.4296     11.5752    9.4941
9.3259     11.3961    9.4082
9.22       11.2229    9.3066
9.1158     11.0999    9.178
8.9984     10.9259    9.0517
8.8906     10.7799    8.9384
8.7799     10.6405    8.844
8.6622     10.484     8.7531
8.5412     10.323     8.6889
8.42       10.1896    8.5937
8.3103     10.0641    8.4953
8.0558     10.0295    8.3043
7.8233     10.0919    8.18
7.3786     9.6919     7.8268





































































































































































7.4107     9.7575     7.8803     NOSE
7.0455     10.0245    7.6927
6.8207     10.2181    7.4475
6.6676     10.1831    7.2065
6.5027     9.989      6.8613
6.3675     9.8766     6.6465
6.3003     9.7362     6.4896
6.258      9.5265     6.2444
6.1884     9.3888     6.0877
6.2133     9.24       5.9874
6.2112     9.0479     5.8644
6.187      8.8663     5.7926
6.1758     8.6602     5.7023
6.2401     8.4577     5.6003
6.246      8.2053     5.4614
6.425      8.0983     5.3794
6.5784     8.0084     5.3703
6.6844     7.8961     5.3365
6.91       7.837      5.3892
7.1326     7.8024     5.6328
7.3898     7.7001     5.7986
7.6618     7.6946     5.9114
7.8714     7.7201     6.0379
8.058      7.7911     6.1463
8.2589     7.8499     6.4299
8.3397     8.0012     6.6042
8.6153     8.2508     6.8948
8.7021     8.3847     7.0054
8.791      8.6001     7.2103
8.8423     8.8983     7.5511
8.8527     9.0038     7.6661
8.3383     9.3104     7.9156
7.4376     9.7342     7.8164







































































































































































6.6468     7.8369     5.2897     NASP-PR
6.5338     7.6756     5.0359
6.4208     7.5223     4.793
6.3297     7.3766     4.6328
6.2214     7.3014     4.4769
6.1548     7.2085     4.2988
6.0985     7.101      4.1516
6.0069     7.0679     4.0083
5.9464     7.0687     3.8059
5.9354     7.071      3.6917






























































































































































































7.9917     11.4425    8.6826     R-PM/MAX
7.5635     11.3034    8.4267
7.3533     11.1956    8.2303
7.1112     11.1097    7.9775
6.995      10.985     7.8257
6.8584     10.8491    7.6555
6.6055     10.7017    7.3711
6.4473     10.6047    7.1415
6.313      10.5376    6.8715
6.1583     10.4133    6.6564
6.0453     10.282     6.4608
5.9311     10.1554    6.2146
5.7944     9.9752     6.0227
5.6437     9.836      5.7139
5.5909     9.6459     5.5018
5.5212     9.4004     5.0826
5.3853     9.2258     4.7068
5.4024     9.0609     4.3786
5.4463     8.9658     4.1041
5.5086     8.9271     3.8709
5.6248     8.9862     3.6947



















































































































































































9.4765     10.206     8.8307     L-PM/MAX
9.4423     9.9553     8.6523
9.4836     9.7538     8.4732
9.5387     9.5805     8.2811
9.5642     9.4439     8.1135
9.4436     9.2276     7.9605
9.3434     9.0536     7.823
9.2401     8.8532     7.6468
9.2285     8.6428     7.4181
9.1433     8.4776     7.2558
9.067      8.2747     7.0223
9.0559     8.0799     6.7604
8.9531     7.8882     6.5674
8.8173     7.7772     6.4119
8.5571     7.487      6.0784
8.4608     7.3558     5.9248
8.3478     7.2368     5.7401
8.1889     7.1665     5.5634
8.0319     7.0277     5.274
8.1566     6.9398     5.1059
8.1989     6.8808     4.873
8.1564     6.8311     4.7007
8.053      6.7077     4.4642
8.0046     6.6145     4.2614
7.8848     6.6846     4.0094
7.9023     6.8127     3.877














































































































































































7.2817     13.2066    3.5559     ROSTRUM
7.1712     13.2548    4.0224
7.2105     13.2992    4.4075
7.1766     13.3204    4.7124
7.1539     13.3437    5.0471
7.1748     13.3465    5.3688
7.2041     13.3262    5.6793
7.2173     13.2493    5.9496
7.2344     13.2065    6.2008
7.2785     13.1554    6.4858
7.3113     13.097     6.7281
7.3655     13.0262    7.0032
7.3946     12.9536    7.294
7.4982     12.8054    7.7475
7.509      12.7411    7.9595
7.5544     12.6629    8.2515
7.5768     12.574     8.4096
7.6507     12.4236    8.5808
7.8155     12.3323    8.6512
7.9561     12.1817    8.6706
8.0781     12.0818    8.7426
8.2468     11.9373    8.9131
8.4321     11.7675    9.067
8.5587     11.6447    9.1342
8.8851     11.4251    9.1864
9.0544     11.2577    9.2047
9.2517     11.1379    9.2133
9.4577     10.9746    9.1255
9.6338     10.8227    9.1638
9.8221     10.6935    9.1134
10.0209    10.571     8.9965
10.1736    10.4949    8.9158
10.3121    10.3876    8.8643
10.4486    10.3132    8.766
10.6028    10.1948    8.6816
10.7225    10.0885    8.5342
10.861     10.0268    8.3918
10.9991    9.9375     8.1505
11.1193    9.9279     7.9224
11.2156    9.8527     7.6285
11.2838    9.8229     7.4591
11.3743    9.7364     7.297
11.4841    9.6378     7.0488
11.5619    9.5634     6.8389
11.6481    9.4829     6.6398
11.7256    9.4401     6.3985
11.804     9.4072     6.1637
11.8817    9.412      5.9903
11.9219    9.3632     5.7826
11.9603    9.351      5.5808
11.9551    9.3448     5.3076
11.9743    9.3758     5.1192
12.0055    9.4104     4.9628
12.028     9.4466     4.6971
12.0228    9.4545     4.5384
12.0331    9.4942     4.3644
12.0664    9.554      4.2288















































































































































7.7975     18.9174    12.2277    SUPORB
7.8137     18.8064    12.4726
7.8797     18.7226    12.7847
7.9493     18.5006    13.0113
8.0734     18.3588    13.1549
8.2168     18.1316    13.2133
8.3661     17.9462    13.3074
8.5077     17.7454    13.4369
8.6695     17.5085    13.632
8.8037     17.376     13.7409
8.9018     17.1417    13.8594
8.9735     17.08      13.9261
9.0522     16.8363    13.9611
9.226      16.7684    14.0648
9.3866     16.5261    14.1578
9.545      16.4621    14.2165
9.7964     16.213     14.3201
10.2061    16.1641    14.4331
10.4207    15.9503    14.462
10.5578    15.8672    14.4991
10.6926    15.7261    14.5215
10.9468    15.3639    14.5168
11.0364    15.154     14.4785
11.179     14.9779    14.471
11.2544    14.8656    14.4529
11.2624    14.7453    14.4184














































































































































































8.9096     15.3402    10.6835    RORBIT
8.8082     15.473     10.6321
8.7014     15.5524    10.5858
8.5374     15.9749    10.6421
8.4302     16.1588    10.7099
8.3582     16.33      10.7454
8.2636     16.5344    10.8302
8.265      16.6656    10.9186
8.2145     16.8987    11.0738
8.1898     17.032     11.1879
8.1311     17.293     11.3793
8.171      17.3946    11.583
8.2313     17.5146    11.7291
8.1787     17.4772    11.7886
8.1823     17.367     12.0437
8.0398     17.388     12.398
8.1194     17.3773    12.5937
8.2102     17.2396    12.9595
8.2781     17.1227    13.1479
8.4368     16.8336    13.2348
8.5572     16.6112    13.3211
8.6635     16.41      13.379
8.7781     16.2591    13.4203
8.9316     16.0639    13.4698
9.1028     15.812     13.511
9.179      15.685     13.5364
9.7775     15.4021    13.7034
10.0373    15.2594    13.7255
10.1963    15.1691    13.6322
10.4049    15.0063    13.4108
10.4709    14.9866    13.1796
10.4324    14.8704    12.984
10.48      14.8133    12.7944
10.5609    14.7609    12.6008
10.6789    14.5741    12.3607
10.6292    14.5065    12.1534
10.5266    14.4534    11.9169
10.4428    14.3614    11.7518
10.3057    14.316     11.5923

































































































































































9999       9999       9999       LORBIT







































































































































































































7.7944     18.974     12.1463    RTEMFOS
7.5924     18.9361    11.6747
7.4744     18.7608    11.4057
7.4412     18.5598    11.1259
7.3457     18.3917    10.8597
7.2413     18.296     10.6583
7.1987     18.2793    10.4329
7.1024     18.2005    10.2049
7.0543     18.1618    10.0623
6.971      18.0869    9.786
6.9254     18.0142    9.5989
6.835      17.9735    9.4609
6.7734     17.9711    9.3145
6.7296     17.9818    9.1351
6.7244     17.9883    8.9141
6.6901     18.0588    8.6932
6.648      18.2374    8.3976
6.6166     18.3996    8.2178
6.5279     18.5582    8.0579
6.4809     18.7515    7.9796
6.6523     19.3775    7.9063
6.6498     19.5842    7.8884
6.6822     19.7582    7.8832
6.7555     19.9269    7.9017
6.824      20.037     7.954















































































































































































9999       9999       9999       LTEMFOS





















































