KNM        WT 17435   Too23stv
9999       9999       9999       IN
9999       9999       9999       BR
9999       9999       9999       GL
9999       9999       9999       NA
9999       9999       9999       RH
7.4503     8.6684     5.1469     NS
9999       9999       9999       PR
9999       9999       9999       R_PR2
9999       9999       9999       R_PMS
8.4946     15.0028    4.9087     R_ZMI
9.1452     13.9284    7.8338     R_ZMU
9999       9999       9999       R_DA
9999       9999       9999       R_MTI
9999       9999       9999       R_MTS
8.928      15.3355    9.7508     R_FMO
9.1401     16.5514    9.8641     R_FMT
14.8002    19.6985    7.6892     R_PO
9.2242     17.7196    7.0069     R_ZTS
9999       9999       9999       L_PR2
9999       9999       9999       L_PMS
12.7059    8.4109     4.8374     L_ZMI
11.8986    9.2104     8.0484     L_ZMU
9999       9999       9999       L_DA
9999       9999       9999       L_MTI
9999       9999       9999       L_MTS
9999       9999       9999       L_FMO
9999       9999       9999       L_FMT
9999       9999       9999       L_PO
9999       9999       9999       L_ZTS
8.2361     7.4603     4.709      O1
13.0186    11.5594    10.5467    O2
11.8656    19.6986    7.1888     O3
17.7266    19.2702    7.8024     O4







































































































































































9999       9999       9999       GLRH







































































































































































































9999       9999       9999       NOSE







































































































































































































9999       9999       9999       NASP-PR







































































































































































































9999       9999       9999       R-PM/MAX







































































































































































































9999       9999       9999       L-PM/MAX







































































































































































































