NME       KL 157-1  Tol2sf
16.2835   17.0211   -13.0545  IN
12.6012   13.2691   -15.4337  BR
7.2746    7.7431    -13.7576  GL
7.3813    7.8343    -12.7979  NA
4.3237    5.0396    -7.3451   RH
9999      9999      9999      NS
9999      9999      9999      PR
9999      9999      9999      R_PR2
5.9482    6.1477    -8.9886   R_PMS
9.9302    5.6681    -6.1543   R_ZMI
8.6879    6.487     -10.9651  R_ZMU
7.8357    7.6107    -12.4756  R_DA
9.1255    6.3417    -14.028   R_MTI
9.5815    6.7037    -15.1254  R_MTS
10.8993   6.161     -12.6791  R_FMO
12.0229   5.899     -12.7502  R_FMT
17.4324   10.5948   -9.5177   R_PO
9999      9999      9999      R_ZTS
9999      9999      9999      L_PR2
5.6313    6.7557    -9.1911   L_PMS
3.933     11.4607   -6.4969   L_ZMI
6.0143    9.4508    -10.9455  L_ZMU
6.794     8.7982    -12.0923  L_DA
5.8942    9.627     -13.9341  L_MTI
6.1944    10.0134   -15.1343  L_MTS
5.2284    11.6796   -12.7595  L_FMO
5.2901    12.7262   -13.1673  L_FMT
9.7155    17.5896   -9.8321   L_PO
9999      9999      9999      L_ZTS
3.5485    3.8846    -3.6729   O1
6.0536    12.78     -14.2211  O2
16.2349   7.3438    -9.2461   O3
15.1546   17.2815   -12.5712  O4







































































































































































7.0906    7.868     -13.6591  GLRH
7.103     7.904     -13.4755
7.1312    7.9248    -13.3322
7.1408    7.9576    -13.2279
7.1619    7.971     -13.0958
7.1804    7.9519    -12.9463
7.1753    7.9756    -12.8648
7.1625    7.9879    -12.7732
7.1395    7.9714    -12.5947
7.1576    7.9512    -12.4624
7.1226    7.9493    -12.3138
7.1205    7.9418    -12.2392
7.0902    7.9392    -12.1452
7.0823    7.9117    -12.0363
7.059     7.9238    -11.88
7.0071    7.8802    -11.7948
6.9715    7.8692    -11.7104
6.9277    7.8259    -11.557
6.8998    7.7527    -11.4115
6.8463    7.7329    -11.3255
6.7987    7.7226    -11.2379
6.7791    7.6734    -11.1173
6.7504    7.6328    -11.051
6.6832    7.6152    -10.937
6.67      7.5676    -10.8667
6.6249    7.5079    -10.7825
6.5914    7.4286    -10.6683
6.5306    7.4241    -10.5946
6.4613    7.3524    -10.4846
6.434     7.2886    -10.3726
6.343     7.2409    -10.278
6.2802    7.1714    -10.2185
6.1131    7.0239    -9.9416
6.0141    6.9091    -9.7365
5.9303    6.8134    -9.5985
5.849     6.756     -9.4497
5.7706    6.6042    -9.3042
5.6929    6.5453    -9.1588
5.5945    6.4519    -9.0435
5.5268    6.3775    -8.958
5.443     6.3014    -8.8442
5.3657    6.2229    -8.7441
5.2554    6.156     -8.6219
5.107     6.0136    -8.4771
5.0295    5.9126    -8.3967
4.9238    5.8692    -8.2859
4.8346    5.7754    -8.1842
4.7572    5.7106    -8.0778
4.6855    5.6335    -8.0054
4.5977    5.6645    -7.9488
4.5356    5.5332    -7.8414
4.4622    5.4407    -7.7652
4.3903    5.337     -7.6651
4.3387    5.3182    -7.6175
4.2654    5.2804    -7.5384
4.1297    5.1911    -7.38
















































































































































9999      9999      9999      NOSE







































































































































































































9999      9999      9999      NASP-PR







































































































































































































5.84      6.1784    -8.9167   R-PM/MAX
5.7987    6.0742    -8.7955
5.741     5.9924    -8.7079
5.6908    5.8694    -8.5725
5.6502    5.7774    -8.4767
5.5886    5.6667    -8.357
5.5436    5.6095    -8.2539
5.47      5.5013    -8.1687
5.4437    5.4846    -8.1123
5.4025    5.4018    -8.0512
5.3922    5.3421    -7.9932
5.3189    5.1965    -7.882
5.3048    5.1182    -7.8067
5.2706    5.0316    -7.7228
5.1852    4.8981    -7.6036
5.1693    4.8428    -7.5287
5.1836    4.749     -7.4225
5.1746    4.654     -7.3513
5.1452    4.5669    -7.2256
5.0805    4.4502    -7.1435
5.0391    4.3808    -7.0621
5.0193    4.2262    -6.9861
4.8677    4.0955    -6.7699
4.8579    3.9655    -6.6526
4.8532    3.8521    -6.5089
4.8973    3.7262    -6.3488
4.894     3.6711    -6.2418
4.8732    3.6025    -6.1624
4.8654    3.4847    -6.0511
4.8113    3.3841    -5.9506










































































































































































9999      9999      9999      L-PM/MAX







































































































































































































7.4015    4.478     -3.3479   ROSTRUM
7.4385    4.4638    -3.5074
7.4288    4.427     -3.6761
7.4       4.3673    -3.804
7.3687    4.322     -3.9392
7.3661    4.3193    -4.1396
7.302     4.3378    -4.3256
7.2497    4.3657    -4.5206
7.1954    4.3983    -4.6296
7.1816    4.4307    -4.7664
7.1745    4.4761    -4.9563
7.1297    4.4872    -5.0894
7.0957    4.5212    -5.2055
7.051     4.5108    -5.3265
7.018     4.5401    -5.4608
6.9891    4.5459    -5.5638
6.9233    4.5429    -5.6831
6.8569    4.5541    -5.8159
6.7669    4.5454    -5.9463
6.6683    4.5201    -6.0704
6.5355    4.5174    -6.266
6.5013    4.5293    -6.4085
6.418     4.5543    -6.6286
6.3589    4.541     -6.7906
6.2618    4.5833    -6.9799
6.1667    4.581     -7.1233
6.0928    4.5871    -7.2381
6.0369    4.6074    -7.3459
5.9566    4.6572    -7.457
5.8426    4.6949    -7.4998
5.7389    4.7516    -7.5698
5.5883    4.8842    -7.6475
5.4823    5.0043    -7.7451
5.3529    5.0603    -7.772
5.2791    5.1431    -7.8232
5.2129    5.1857    -7.8472
5.1194    5.2517    -7.9006
5.0597    5.3279    -7.9524
4.9479    5.3978    -7.9439
4.7885    5.4793    -7.9792
4.7558    5.5601    -7.9901
4.659     5.6267    -7.9744






























































































































































11.7758   5.9142    -12.9783  SUPORB
11.7393   5.891     -13.1222
11.7126   5.904     -13.2808
11.6607   5.8866    -13.4888
11.5475   5.8577    -13.5986
11.4652   5.8557    -13.7147
11.3742   5.8723    -13.8701
11.3197   5.9073    -13.9908
11.2033   5.9683    -14.1532
11.0682   5.9957    -14.3548
10.9222   6.1032    -14.4513
10.8811   6.0946    -14.4748
10.8219   6.1916    -14.5831
10.6902   6.281     -14.6959
10.5649   6.3815    -14.8069
10.3841   6.4684    -14.8949
10.1906   6.5499    -14.9821
10.0714   6.5895    -15.0215
9.9375    6.6162    -15.0491
9.8271    6.7047    -15.0841
9.6679    6.7494    -15.1249
9.4961    6.7945    -15.1353
9.3032    6.9023    -15.1603
9.1488    6.9383    -15.1552
8.9777    7.0184    -15.1429
8.7753    7.1483    -15.1107
8.6197    7.2901    -15.0858
8.489     7.3858    -15.0565
8.3725    7.5203    -15.0413
8.2525    7.6328    -14.9883
8.1471    7.7209    -14.9689
8.0534    7.8186    -14.9603
7.9435    7.9286    -14.9291
7.8635    8.0251    -14.8726
7.7486    8.1005    -14.8161
7.6613    8.1751    -14.7594
7.5597    8.1981    -14.7221
7.4131    8.3755    -14.724
7.4789    8.5145    -14.7675
7.3571    8.6328    -14.8327
7.2195    8.7356    -14.9044
7.1013    8.8497    -14.9379
6.9074    9.0285    -14.9898
6.802     9.1434    -15.017
6.6185    9.3558    -15.0831
6.4934    9.4522    -15.0802
6.338     9.5694    -15.0938
6.2658    9.6732    -15.1048
6.1992    9.8497    -15.1036
6.1587    9.9166    -15.1241
6.0379    10.1029   -15.0974
6.013     10.2711   -15.0936
5.9697    10.3931   -15.0631
5.9153    10.522    -15.031
5.843     10.6616   -14.9895
5.8833    10.8081   -14.9679
5.7605    10.9575   -14.895
5.6598    11.047    -14.84
5.5178    11.1595   -14.7395
5.4763    11.329    -14.65
5.4384    11.4608   -14.5848
5.3725    11.6065   -14.4852
5.3193    11.6271   -14.4262
5.2898    11.7428   -14.323
5.2023    11.9738   -14.1583
