BM(NH)     14936      Too32stv
14.0876    14.0401    11.4029    IN
10.2512    9.8442     14.8112    BR
5.9428     5.4247     11.8936    GL
6.0403     5.5228     11.3654    NA
9999       9999       9999       RH
3.675      2.227      5.0538     NS
3.5195     2.3058     4.049      PR
3.2024     2.7599     4.3297     R_PR2
4.962      3.8289     7.9755     R_PMS
9999       9999       9999       R_ZMI
9999       9999       9999       R_ZMU
6.0278     6.3082     11.0511    R_DA
4.7655     6.9261     11.9874    R_MTI
5.1306     7.0739     12.5983    R_MTS
4.4607     8.6682     11.5624    R_FMO
5.0335     9.8344     11.9999    R_FMT
8.5485     14.1565    9.7597     R_PO
9999       9999       9999       R_ZTS
4.133      1.777      4.4877     L_PR2
5.3137     3.3        7.6628     L_PMS
10.1865    3.5591     6.7855     L_ZMI
7.5125     4.3692     9.6124     L_ZMU
9999       9999       9999       L_DA
7.6202     4.2595     11.8487    L_MTI
7.6895     4.4587     12.4073    L_MTS
9.3651     4.035      11.314     L_FMO
10.2576    4.2988     11.5138    L_FMT
14.3136    8.5155     9.5868     L_PO
12.0141    4.2757     8.5064     L_ZTS
5.1294     1.4778     3.9099     O1
9.8874     4.7276     12.4255    O2
6.0356     13.8107    9.4549     O3
15.3447    11.7221    10.7969    O4







































































































































































9999       9999       9999       GLRH







































































































































































































9999       9999       9999       NOSE
3.9341     3.5134     6.7437
3.6827     3.3757     6.4276
3.5709     3.2737     6.1934
3.5106     3.1664     5.923
3.4941     3.1091     5.7403
3.4663     2.9827     5.5868
3.5413     2.9051     5.4723
3.642      2.6919     5.2436
3.6264     2.4904     5.1602
3.633      2.3649     5.0919
3.628      2.2247     5.0311
3.8638     2.1195     5.0889
4.3431     1.967      5.316
4.5267     1.9335     5.4483
4.7286     1.7772     5.6509
4.9179     1.9541     5.9828
4.9943     2.0254     6.1628
5.0888     2.2275     6.4231
5.1787     2.364      6.7225
5.1765     2.4657     6.913
5.152      2.5966     6.9864
9999       9999       9999

















































































































































































3.6155     2.1579     5.0126     NASP-PR
3.5098     2.1659     4.7203
3.5054     2.1424     4.4831
3.5178     2.2049     4.3166
3.5254     2.2352     4.1729
3.5188     2.2921     4.0565


































































































































































































4.9448     3.8086     7.9532     R-PM/MAX
4.8221     3.7442     7.8399
4.6846     3.6676     7.7751
4.5457     3.6166     7.6643
4.3609     3.6432     7.4884
4.1599     3.655      7.3489
4.0431     3.652      7.1421
3.9246     3.6311     6.9141
3.751      3.5868     6.6942
3.583      3.5248     6.3793
3.4598     3.4719     6.1019
3.4131     3.4475     5.8866
3.3456     3.3739     5.6042
3.1935     3.2731     5.2849
3.1677     3.1948     5.1181
3.2552     3.1692     4.8475
3.1919     3.1554     4.6505
3.2593     3.269      4.5426






















































































































































































5.4152     3.55       7.9082     L-PM/MAX
5.3518     3.3855     7.7531
5.3024     3.1432     7.6014
5.2715     2.9824     7.3847
5.2638     2.8348     7.2819
5.2506     2.6981     7.1161
5.3018     2.5477     6.9916
5.3089     2.3888     6.6816
5.3004     2.2536     6.4746
5.2499     2.0907     6.1489
5.1516     1.9835     5.9
5.0333     1.9083     5.6418
5.005      1.8556     5.4549
4.9637     1.7762     5.1437
4.9665     1.6924     4.8539
4.9677     1.6569     4.6787
5.0325     1.6465     4.5465
4.8757     1.631      4.316






















































































































































































9999       9999       9999       ROSTRUM
5.7021     4.5482     8.7598
5.912      4.3806     8.7206
6.0105     4.2821     8.6438
6.1575     4.1643     8.5589
6.3339     4.0376     8.4414
6.419      3.9082     8.3357
6.6106     3.7408     8.176
6.7628     3.6087     7.9782
6.8717     3.5651     7.7409
6.9778     3.5806     7.5153
7.0753     3.5655     7.2528
7.2205     3.529      7.056
7.2711     3.5102     6.8686
7.3751     3.4504     6.641
7.4656     3.4323     6.4221
7.5956     3.396      6.3013
7.6619     3.3572     6.185
7.7277     3.3683     6.0625
7.8031     3.3289     5.8877
7.8916     3.3151     5.7588
7.9603     3.2836     5.6244
7.9736     3.235      5.2721
8.0061     3.2901     5.1096
7.967      3.316      4.8908
7.9517     3.327      4.7913
7.9668     3.3176     4.7292
7.9626     3.2975     4.5885












































































































































































4.9532     9.8024     11.9505    SUPORB
4.9257     9.6657     12.1968
4.8687     9.5084     12.3216
4.8556     9.3263     12.5851
4.8858     9.0961     12.7001
4.9312     8.7704     12.6532
4.9051     8.5182     12.554
4.9338     8.327      12.5548
4.9886     8.0888     12.5971
5.055      7.8383     12.6333
5.1504     7.5784     12.6505
5.2994     7.341      12.6634
5.4555     7.2239     12.675
5.782      7.1105     12.7506
6.0103     7.056      12.8063
6.1742     6.8235     12.8347
6.2718     6.5929     12.8057
6.2754     6.3987     12.734
6.252      6.1829     12.6679
6.232      6.068      12.5892
6.2286     5.8305     12.4904
6.1689     5.6338     12.3945
6.2999     5.5269     12.4014
6.5724     5.5674     12.5068
6.8602     5.5536     12.6227
7.0917     5.5589     12.7064
7.3659     5.5665     12.7589
7.5613     5.462      12.7585
7.7194     5.2427     12.6989
7.7546     4.9744     12.5944
7.8442     4.8133     12.5344
8.109      4.6892     12.5102
8.2599     4.6355     12.4879
8.5473     4.4787     12.4367
8.9488     4.3145     12.3385
9.2343     4.2334     12.2348
9.4438     4.1764     12.129
9.6151     4.1791     12.0458
9.9116     4.1639     11.9141
10.0433    4.1892     11.8493
10.1792    4.2097     11.7511
10.3138    4.2914     11.54
10.4022    4.2779     11.4013





























































































































































9999       9999       9999       RORBIT







































































































































































































7.5263     4.5085     9.7025     LORBIT
7.7824     4.3242     9.6458
8.049      4.1665     9.6591
8.3508     4.0577     9.7028
8.5038     4.1085     9.8073
8.6673     4.0788     9.9489
8.8721     4.0075     10.13
8.997      3.9897     10.2545
9.172      4.0165     10.4657
9.3062     4.017      10.6378
9.3993     4.0187     10.7967
9.4535     4.0287     11.0316
9.4316     4.0613     11.1229
9.3826     4.0112     11.3189
9.1104     3.9847     11.4776
8.9142     3.9875     11.5404
8.7862     3.9827     11.6263
8.6145     3.9951     11.7299
8.3548     4.0611     11.8211
8.0887     4.0995     11.8793
7.7904     4.2328     11.8562
7.4809     4.3455     11.8029
7.2187     4.4944     11.7338
6.9919     4.7143     11.85
6.7171     4.9472     11.9472
6.523      5.0924     11.9153
6.4377     5.1721     11.8037
6.459      5.2622     11.6563
6.4769     5.3327     11.542
6.5229     5.388      11.4482
6.5725     5.4491     11.3296
6.6632     5.5375     11.2102








































































































































































9999       9999       9999       RTEMFOS







































































































































































































10.4194    4.2915     11.2831    LTEMFOS
10.5207    4.1172     11.0666
10.5459    4.0893     10.8457
10.6124    4.0803     10.6303
10.6429    4.0104     10.3603
10.7192    3.9519     10.096
10.7633    3.9257     9.8572
10.8093    3.8864     9.594
10.8481    3.8409     9.3727
10.9032    3.7822     9.0783
10.9978    3.7444     8.8903
11.0982    3.7216     8.7393
11.1815    3.7261     8.5895
11.3027    3.7829     8.4817
11.4374    3.8758     8.3754
11.6013    3.9569     8.3436
11.7315    4.0304     8.353
11.834     4.0683     8.3918
11.9542    4.1624     8.4412
12.0367    4.2799     8.4184




















































































































































































5.3877     3.7351     10.4969    OP
6.6888     5.1941     10.8299    BA
10.4521    8.9892     10.6154    ST
13.9633    12.2473    10.9052    IV
3.4006     7.8527     10.7968    R_PG
9999       9999       9999       R_ZTI
9999       9999       9999       R_M3D
9999       9999       9999       R_M12
9999       9999       9999       R_MP3
14.1637    14.0049    11.1248    R_PMI
9.7347     2.6227     11.0251    L_PG
12.2833    3.1647     9.7629     L_ZTI
12.4196    7.6022     12.0703    L_M3D
14.4303    9.4806     11.979     L_M12
15.5108    11.8374    11.438     L_MP3
15.5345    12.6839    11.6147    L_PMI
16.0501    12.5419    11.826     O1
11.8816    6.082      4.9094     O2
3.2443     9.7983     8.7663     O3
5.9134     0.4582     8.7322     O4




















































































































































































9999       9999       9999       RZYGINF







































































































































































































13.8706    6.6706     10.4301    LZYGINF
13.9902    6.5346     10.3779
14.1278    6.3997     10.3278
14.2236    6.2802     10.3422
14.335     6.0916     10.4237
14.2957    5.799      10.408
14.2618    5.6576     10.2628
14.1868    5.5341     10.225
14.064     5.305      10.1921
13.9926    5.1538     10.1983
13.8202    4.9183     10.1891
13.5514    4.6295     10.1812
13.4663    4.5382     10.1482
13.3148    4.2961     10.1259
13.178     4.1173     10.0822
13.0011    3.9181     10.0472
12.8408    3.83       10.0671
12.6922    3.7136     10.0432
12.5755    3.5523     10.0165
12.4599    3.3877     9.9651
12.3434    3.2577     9.9153
12.2695    3.1776     9.8887
12.1863    3.1169     9.7789

















































































































































































9999       9999       9999       R-ALV







































































































































































































12.4574    7.5727     11.9198    L-ALV
12.7926    7.7262     11.9131
13.0018    7.8099     12.0069
13.2391    7.9942     11.9584
13.382     8.1239     11.9333
13.5196    8.2888     11.9373
13.7614    8.4522     11.8998
13.8746    8.5716     11.8506
14.0673    8.8382     11.8144
14.256     8.9947     11.8511
14.3629    9.2102     11.8113
14.4354    9.4334     11.8247
14.4987    9.5589     11.8369
14.5287    9.6307     11.8365
14.6368    9.8281     11.8208
14.7097    9.9536     11.8003
14.8168    10.1117    11.8182
14.8559    10.3029    11.7508
15.0249    10.8211    11.6503
15.2073    11.0839    11.6367
15.3165    11.2944    11.5105
15.3966    11.5119    11.3862
15.4797    11.7096    11.3142
15.5026    11.8385    11.2686
