BM(NH)     M 32104    Too33stv
14.2618    14.2239    10.5867    IN
10.9127    10.369     13.6027    BR
6.9809     5.8099     11.5669    GL
7.0276     5.8654     10.8733    NA
9999       9999       9999       RH
9999       9999       9999       NS
9999       9999       9999       PR
9999       9999       9999       R_PR2
9999       9999       9999       R_PMS
4.2429     9.2096     6.2032     R_ZMI
5.6225     6.9826     8.9437     R_ZMU
6.9196     6.3405     10.5939    R_DA
5.8959     7.2562     11.1885    R_MTI
6.2911     7.2877     12.0255    R_MTS
5.4933     8.8413     10.6029    R_FMO
5.6346     9.8625     10.6983    R_FMT
9999       9999       9999       R_PO
4.5447     10.876     8.1554     R_ZTS
9999       9999       9999       L_PR2
9999       9999       9999       L_PMS
9.9996     3.2631     6.7689     L_ZMI
9999       9999       9999       L_ZMU
9999       9999       9999       L_DA
8.7589     4.6901     11.4302    L_MTI
8.8603     5.2187     12.1099    L_MTS
10.177     4.4214     11.0507    L_FMO
11.1454    4.6944     10.8105    L_FMT
9999       9999       9999       L_PO
12.1117    4.2269     8.1446     L_ZTS
5.0331     1.8303     4.3076     O1
10.7353    5.2503     11.7491    O2
6.6035     13.1707    9.0941     O3
15.2465    12.388     9.6114     O4







































































































































































9999       9999       9999       GLRH







































































































































































































9999       9999       9999       NOSE







































































































































































































9999       9999       9999       NASP-PR







































































































































































































9999       9999       9999       R-PM/MAX







































































































































































































9999       9999       9999       L-PM/MAX







































































































































































































9999       9999       9999       ROSTRUM


























































































































































































