NME        KL39-1     Too3sf2
9999       9999       9999       IN
9999       9999       9999       BR
10.035     9.7875     11.4248    GL
9.9079     9.5782     10.9406    NA
9999       9999       9999       RH
4.7762     3.0112     4.9419     NS
4.2655     2.0946     3.3097     PR
3.7961     2.6661     3.2424     R_PR2
7.391      6.7967     7.6941     R_PMS
5.7952     11.0768    4.8521     R_ZMI
7.8962     10.1936    8.5627     R_ZMU
9.4685     9.7683     10.1687    R_DA
8.4768     11.0872    11.3406    R_MTI
9.0646     11.4138    12.177     R_MTS
7.4666     12.474     10.1511    R_FMO
7.1615     13.8005    10.2671    R_FMT
10.8084    18.9233    6.6338     R_PO
5.3631     15.2056    6.8455     R_ZTS
4.8563     1.8319     3.4691     L_PR2
8.2232     6.5549     7.8787     L_PMS
12.3771    5.9215     5.0435     L_ZMI
10.7988    7.7452     8.4288     L_ZMU
10.2433    9.2396     10.053     L_DA
11.8474    8.5974     11.3406    L_MTI
12.2307    9.4974     12.1412    L_MTS
13.458     8.187      10.4395    L_FMO
14.6064    8.6889     10.5229    L_FMT
18.0298    13.683     6.4971     L_PO
15.8531    7.1355     6.6667     L_ZTS
5.2937     2.0361     4.4544     O1
7.8771     13.5012    11.1189    O2
16.1555    7.0541     5.9098     O3
16.6712    19.0956    8.5851     O4







































































































































































10.0274    9.7414     11.3826    GLRH
9.9596     9.6737     11.1947
9.8923     9.5637     10.9396
9.8355     9.4841     10.6973
9.7703     9.3984     10.4893
9.7324     9.3173     10.2976
9.6078     9.2307     9.8843
9.5034     9.0776     9.6448
9.3952     8.9378     9.4464
9.3452     8.8983     9.3775
9.1175     8.6745     9.1365
8.9831     8.4692     8.9751
8.8596     8.3263     8.8715
8.7923     8.2118     8.7792
8.7095     8.1266     8.7027
8.6598     8.0439     8.6131
8.5488     7.7742     8.444
8.4642     7.5885     8.3046
8.3068     7.3972     8.1797
8.1742     7.211      8.1094
8.0565     7.0648     8.0262
7.9273     6.8813     7.9993
7.7796     6.7317     7.9132
7.6174     6.568      7.8041
7.4326     6.3613     7.738
7.2976     6.2264     7.7241
7.155      6.0938     7.5925
7.0385     5.9745     7.5609
6.9463     5.9407     7.5066











































































































































































6.7212     5.5611     7.0491     NOSE
6.0416     5.8413     6.9883
5.7158     5.7508     6.8469
5.484      5.6441     6.644
5.2677     5.496      6.5533
5.1243     5.4104     6.4773
4.9679     5.3265     6.3944
4.7961     5.2347     6.3161
4.641      5.1205     6.1528
4.5025     4.9052     5.9481
4.363      4.7332     5.7948
4.3857     4.5966     5.6681
4.3493     4.4331     5.542
4.3852     4.2095     5.4337
4.3822     3.9622     5.33
4.4038     3.7674     5.2515
4.454      3.5915     5.1567
4.4943     3.3167     5.0312
4.5884     3.1099     4.9605
4.7443     2.946      4.9111
4.886      2.8274     4.9851
5.188      2.6951     5.028
5.4199     2.6514     5.1045
5.7036     2.7331     5.2043
5.9891     2.8376     5.2925
6.298      2.8947     5.4235
