NME       spec2     Eth2stv
16.6993   20.0127   -13.1657  IN
14.8341   15.6726   -16.5893  BR
11.6762   9.853     -15.3239  GL
11.7587   9.9408    -14.2461  NA
9999      9999      9999      RH
8.4796    4.4696    -6.3367   NS
8.2826    3.9832    -4.9982   PR
9.1873    3.6829    -5.0518   R_PR2
10.5122   7.5041    -10.2185  R_PMS
9999      9999      9999      R_ZMI
13.0637   9.3836    -12.6273  R_ZMU
12.0498   10.0051   -13.4483  R_DA
9999      9999      9999      R_MTI
9999      9999      9999      R_MTS
14.9884   9.1305    -13.7435  R_FMO
9999      9999      9999      R_FMT
18.6937   14.6175   -11.4012  R_PO
9999      9999      9999      R_ZTS
7.5159    4.5543    -5.185    L_PR2
10.0732   7.8       -10.2979  L_PMS
8.053     11.3482   -9.2087   L_ZMI
10.2992   10.8783   -12.7895  L_ZMU
11.4955   10.2486   -13.5178  L_DA
9999      9999      9999      L_MTI
9999      9999      9999      L_MTS
8.9724    12.0915   -14.1998  L_FMO
9999      9999      9999      L_FMT
10.9942   18.4318   -11.8661  L_PO
7.4053    13.6844   -11.1132  L_ZTS
11.8225   5.0722    -6.2033   O1
6.9369    12.5105   -10.4278  O2
18.3605   13.9045   -12.2917  O3
15.6251   19.4904   -12.7052  O4







































































































































































11.7242   9.8546    -15.3677  GLRH
11.7523   9.8234    -15.1897
11.7441   9.7961    -14.98
11.7693   9.8518    -14.7424
11.784    9.894     -14.5535
11.7701   9.9002    -14.4007
11.7742   9.9332    -14.2457
11.7653   9.9639    -13.9841
11.7628   9.9578    -13.8618
11.7326   9.9499    -13.7332
11.7233   9.9423    -13.5603
11.6766   9.8809    -13.4424
11.6522   9.8304    -13.225
11.6146   9.7794    -13.1042
11.5681   9.7187    -12.9933
11.5003   9.6398    -12.8517
11.4523   9.5512    -12.7218
11.4253   9.4641    -12.5542
11.3531   9.3439    -12.376
11.3096   9.2196    -12.2164
11.2217   9.1201    -12.0511
11.1338   8.9594    -11.8717
11.0796   8.8473    -11.6898
10.987    8.7336    -11.4844
10.922    8.5838    -11.2727
10.8331   8.4302    -11.0965
10.8017   8.3546    -10.9999
10.7031   8.1934    -10.8323
10.6091   7.9869    -10.617
10.5376   7.805     -10.4609
10.4661   7.7011    -10.393
10.4152   7.5971    -10.3194
10.3596   7.4915    -10.2516
10.2766   7.38      -10.1807
10.2293   7.2942    -10.0558
10.1927   7.1934    -9.9354




































































































































































10.3911   6.0266    -9.1353   NOSE
10.39     5.8388    -8.9937
10.3296   5.5698    -8.7365
10.3383   5.3439    -8.5753
10.3361   5.1372    -8.362
10.2233   4.9214    -8.1062
10.1326   4.6999    -7.8387
9.9765    4.5532    -7.6395
9.9425    4.391     -7.3655
9.8401    4.263     -7.1661
9.6379    4.2063    -6.9247
9.4272    4.2138    -6.818
9.2113    4.2127    -6.7407
8.8352    4.2036    -6.5676
8.7027    4.3032    -6.42
8.4782    4.4695    -6.3863
8.2201    4.6619    -6.5892
8.0836    4.8478    -6.7284
7.9091    4.9687    -6.8201
7.7952    5.1599    -7.0377
7.8055    5.3874    -7.3041
7.8809    5.4801    -7.5004
7.9354    5.5604    -7.6435
8.0251    5.7472    -7.8951
8.0835    5.8604    -8.0381
8.1925    5.9789    -8.1943
8.3326    6.1364    -8.3967
8.5355    6.2553    -8.5682
8.7474    6.4442    -8.8507
8.9398    6.5418    -9.0836
9.29      6.7822    -9.3432









































































































































































8.6169    4.5273    -6.3889   NASP-PR
