AMNH    169432  phu1adr1
16.3941 13.4595 -17.4721  IN
12.3763 17.0264 -19.3158  BR
7.7871  21.306  -17.7726  GL
7.8005  21.3634 -17.2459  NA
4.5561  24.3063 -10.2138  RH
2.9736  25.7768 -6.5453   NS
2.9113  25.9019 -4.9103   PR
2.3843  24.8935 -4.9076   R_PR2
4.5289  22.8998 -10.8254  R_PMS
5.8425  17.6007 -10.742   R_ZMI
6.595   19.3127 -14.9789  R_ZMU
7.6582  20.7544 -16.1637  R_DA
6.3998  19.5126 -17.4253  R_MTI
7.133   19.0643 -18.6345  R_MTS
6.0956  17.7563 -16.142   R_FMO
5.9234  16.4943 -16.2033  R_FMT
10.9016 12.3586 -14.7191  R_PO
5.9226  15.3493 -12.7391  R_ZTS
3.8841  26.4806 -5.1197   L_PR2
5.7491  24.3818 -10.8079  L_PMS
11.4049 23.5078 -10.9528  L_ZMI
9.5722  22.5859 -14.9441  L_ZMU
8.4461  21.4442 -16.0945  L_DA
9.5304  22.9565 -17.5179  L_MTI
10.0625 22.2192 -18.6137  L_MTS
11.0049 23.2112 -15.7006  L_FMO
12.5687 23.2184 -16.7873  L_FMT
16.7912 18.888  -14.5626  L_PO
13.4492 23.6372 -12.7083  L_ZTS
2.6551  23.1665 -6.9271   O1
7.1483  25.4312 -9.8651   O2
5.6332  17.1205 -15.5882  O3
15.6586 14.7746 -17.6539  O4







































































































































































7.7908  21.3191 -16.9245  GLRH
7.7816  21.3149 -16.8186
7.7797  21.2996 -16.7707
7.805   21.3189 -16.7299
7.807   21.3049 -16.6171
7.8205  21.3139 -16.5471
7.815   21.2905 -16.491
7.8216  21.3023 -16.3785
7.8168  21.3079 -16.3072
7.8368  21.312  -16.2336
7.8175  21.316  -16.1224
7.7952  21.3328 -16.0281
7.7825  21.3254 -15.9609
7.7445  21.3938 -15.805
7.7146  21.4127 -15.729
7.6858  21.4506 -15.6117
7.6411  21.4678 -15.5097
7.6298  21.4857 -15.4613
7.6007  21.5152 -15.3814
7.5553  21.5454 -15.3135
7.533   21.5887 -15.2385
7.5021  21.6261 -15.1516
7.4447  21.6656 -15.0622
