AMNH       169432     Phu1cms3
12.8406    -13.6272   15.5493    IN
18.214     -13.0985   17.8221    BR
24.6054    -12.5151   16.7337    GL
24.6505    -12.5374   16.213     NA
29.5552    -12.6198   9.6852     RH
31.9834    -12.5441   6.0791     NS
32.1261    -12.4788   4.2687     PR
32.0859    -13.6442   4.3721     R_PR2
28.7082    -13.6308   10.1379    R_PMS
24.4604    -17.0984   9.9332     R_ZMI
24.6131    -15.095    14.0154    R_ZMU
24.4591    -13.1484   15.1229    R_DA
24.4529    -14.8892   16.4462    R_MTI
23.7313    -14.7593   17.6333    R_MTS
23.918     -16.4997   15.2266    R_FMO
23.3037    -17.616    15.0742    R_FMT
16.9359    -17.9541   13.2609    R_PO
22.8776    -18.6257   11.7725    R_ZTS
31.8739    -11.4281   4.5348     L_PR2
28.7744    -11.6188   9.8803     L_PMS
23.8019    -8.9783    9.6097     L_ZMI
24.2626    -10.6007   13.7551    L_ZMU
24.3246    -12.1256   15.0432    L_DA
24.141     -10.0864   16.1915    L_MTI
23.3304    -10.0866   17.2425    L_MTS
23.3317    -9.069     14.5305    L_FMO
22.5355    -7.9913    14.2818    L_FMT
16.3032    -9.0666    12.6743    L_PO
22.069     -7.5797    11.1661    L_ZTS
29.6881    -10.0172   6.279      O1
23.8154    -8.27      10.9333    O2
17.0804    -9.3867    13.5836    O3
13.6815    -12.0194   14.0108    O4







































































































































































24.6133    -12.4614   16.7047    GLRH
24.6187    -12.4471   16.5257
24.6471    -12.4547   16.3288
24.6849    -12.4406   16.0414
24.687     -12.4517   15.6979
24.6847    -12.4808   15.3652
24.7448    -12.4859   15.051
24.8391    -12.5378   14.8218
24.9321    -12.5444   14.6533
25.1265    -12.5642   14.3984
25.2667    -12.5675   14.1682
25.5479    -12.59     13.8957
25.8291    -12.6202   13.642
26.1108    -12.6336   13.3996
26.4037    -12.6036   13.1536
26.5531    -12.5951   12.969
26.8017    -12.5957   12.7442
27.0023    -12.5956   12.5611
27.2559    -12.5599   12.2828
27.4754    -12.577    12.0783
27.765     -12.6057   11.8787
28.0311    -12.5969   11.6121
28.3576    -12.6205   11.2888
28.6205    -12.5666   11.0131
28.811     -12.5671   10.7573
28.9819    -12.5745   10.568
29.1906    -12.5868   10.2486
29.3859    -12.5471   9.9919
29.4957    -12.577    9.8217
29.5644    -12.5769   9.6822










































































































































































29.5481    -12.5485   9.6895     NOSE
29.525     -12.7467   9.7146
29.5368    -12.9782   9.6411
29.5754    -13.245    9.544
29.5922    -13.4654   9.3103
29.7873    -13.6597   8.9855
29.9725    -13.7047   8.7682
30.1028    -13.7243   8.5161
30.2649    -13.7775   8.1756
30.4533    -13.8114   7.9159
30.6013    -13.8027   7.6564
30.7502    -13.7954   7.3673
30.9312    -13.7735   7.1998
31.1627    -13.698    7.0195
31.4026    -13.6388   6.8769
31.5683    -13.4461   6.7237
31.7588    -13.2562   6.6253
31.9863    -13.0737   6.5089
32.1323    -12.9367   6.3728
32.0906    -12.7557   6.1318
32.0819    -12.6093   6.0227
32.0007    -12.3534   6.1167
32.0955    -12.1701   6.2845
32.0344    -12.0629   6.3916
31.9593    -11.9646   6.5063
31.8501    -11.836    6.5997
31.7231    -11.7074   6.6571
31.4734    -11.5097   6.744
31.2939    -11.3366   6.8168
31.0804    -11.2532   7.0036
30.8982    -11.2058   7.1636
30.7316    -11.1722   7.3657
30.5608    -11.1755   7.5867
30.3743    -11.1662   7.7752
30.2301    -11.1943   7.9914
30.0602    -11.2471   8.2097
29.8749    -11.3367   8.4341
29.7289    -11.4733   8.6006
29.6263    -11.5211   8.739
29.5459    -11.649    8.9743
29.4398    -11.7846   9.1404
29.4299    -11.9335   9.415
29.479     -12.086    9.5552
29.4895    -12.2294   9.6619
29.5397    -12.453    9.6866



























































































































































31.9872    -12.5355   6.0908     NASP-PR
32.1252    -12.4499   5.9225
32.3283    -12.4609   5.6128
32.338     -12.4623   5.4056
32.3923    -12.4927   5.2484
32.3748    -12.484    5.0442
32.372     -12.5128   4.8301
32.3861    -12.5086   4.6411
32.3342    -12.4791   4.5033
32.2706    -12.5199   4.4098
32.2482    -12.5464   4.3564





























































































































































































28.708     -13.5799   10.1443    R-PM/MAX
28.8857    -13.6252   9.9604
29.0555    -13.6804   9.737
29.2529    -13.7481   9.4674
29.4774    -13.8201   9.259
29.7062    -13.8722   8.9993
29.8788    -13.9596   8.737
29.9909    -14.0202   8.5531
30.0778    -14.0619   8.3781
30.2003    -14.081    8.0896
30.2825    -14.1473   7.8773
30.3683    -14.1763   7.7086
30.4566    -14.2251   7.5075
30.5181    -14.2342   7.326
30.6073    -14.2884   7.1076
30.6519    -14.3327   6.9083
30.6963    -14.4003   6.7383
30.7822    -14.5133   6.4953
30.8763    -14.6114   6.2653
31.0013    -14.6345   5.9897
30.8457    -14.7075   5.6103
30.8261    -14.623    5.4493
30.8165    -14.523    5.3852

















































































































































































28.8411    -11.5851   9.7623     L-PM/MAX
28.9787    -11.5186   9.5355
29.1903    -11.3987   9.2237
29.3746    -11.2918   9.003
29.5205    -11.1828   8.8036
29.7012    -11.1061   8.534
29.906     -11.0249   8.151
30.1313    -10.9744   7.7638
30.2146    -10.9399   7.441
30.2947    -10.878    7.1378
30.436     -10.8511   6.7835
30.5793    -10.7939   6.4625
30.686     -10.6634   6.2298
30.6184    -10.5646   6.0161
30.6881    -10.5546   5.8252
30.5705    -10.581    5.6205
30.5507    -10.6903   5.4559

















