AMNH       169432     Tap3-5
14.4257    24.4392    16.1854    IN
14.4235    18.8779    17.9046    BR
14.5854    12.6213    16.1292    GL
14.5488    12.6126    15.6759    NA
14.5164    8.3775     8.61       RH
14.6127    6.2466     4.8664     NS
14.7301    6.3212     3.1472     PR
13.5919    6.4951     3.268      R_PR2
13.5963    9.3061     9.2276     R_PMS
10.5192    13.8021    9.2502     R_ZMI
12.2679    13.1088    13.4261    R_ZMU
14.1068    12.9744    14.6292    R_DA
12.1947    12.832     15.9062    R_MTI
12.216     13.8421    17.1052    R_MTS
10.8486    13.7331    14.5483    R_FMO
9.8303     14.5465    14.5862    R_FMT
10.0172    20.9381    13.3597    R_PO
8.871      15.4251    11.2254    R_ZTS
15.8034    6.5276     3.3966     L_PR2
15.4892    9.1682     9.2339     L_PMS
18.5109    13.8868    9.3224     L_ZMI
16.7232    13.1339    13.4077    L_ZMU
15.0918    13.0129    14.6002    L_DA
16.864     12.9232    15.8643    L_MTI
16.7083    13.8058    17.1259    L_MTS
18.2089    13.8435    14.3081    L_FMO
19.2976    14.8325    14.7044    L_FMT
18.8358    20.9517    13.2162    L_PO
20.086     15.381     11.2519    L_ZTS
14.0196    5.9561     3.2997     O1
11.8869    14.6351    16.6349    O2
8.536      17.8078    11.9177    O3
13.5007    22.9281    16.2228    O4







































































































































































14.5946    12.5926    16.1394    GLRH
14.6271    12.5958    15.9528
14.6106    12.601     15.7651
14.6139    12.5642    15.6564
14.646     12.5806    15.4601
14.6371    12.6221    15.1589
14.6607    12.6524    14.9383
14.6744    12.6384    14.6649
14.6691    12.5991    14.3788
14.6641    12.5005    14.1238
14.6539    12.3719    13.866
14.6647    12.3435    13.8048
14.6593    12.2074    13.6145
14.6408    12.1368    13.5114
14.6385    12.1405    13.5121
14.6565    12.0407    13.3888
14.6571    12.0078    13.3507
14.6493    11.87      13.1693
14.6347    11.6583    12.9948
14.6352    11.5264    12.8507
14.6244    11.3954    12.7319
14.6211    11.408     12.7044
14.6358    11.2962    12.5759
14.6328    11.3104    12.5895
14.6205    11.1472    12.4407
14.6238    11.0576    12.2788
14.6306    10.9125    12.1384
14.6392    10.8783    12.1038
14.6261    10.7359    11.9209
14.5961    10.6251    11.7663
14.598     10.361     11.5087
14.5755    10.1626    11.2576
14.5883    9.8994     10.9867
14.5521    9.6655     10.7536
14.5439    9.5173     10.5778
14.5624    9.2946     10.3037
14.5515    9.1267     10.0583
14.5562    8.9592     9.7779
14.5171    8.7812     9.4934
14.5447    8.6203     9.2092
14.4953    8.4812     8.9393
14.502     8.3909     8.8033
14.5097    8.4039     8.7952
14.5355    8.3417     8.6119




























































































































































14.524     8.3944     8.584      NOSE
14.3436    8.4671     8.6728
14.2753    8.4788     8.6635
14.0509    8.454      8.4796
13.7903    8.4747     8.3132
13.6052    8.3475     8.0315
13.5015    8.2159     7.7718
13.4384    8.0695     7.4192
13.3922    7.9035     7.0094
13.3816    7.6928     6.6307
13.3827    7.448      6.1644
13.379     7.1663     5.9308
13.619     6.6823     5.588
14.081     6.3699     5.3536
14.3583    6.2058     5.0163
14.5191    6.2213     4.8375
14.7692    6.2144     4.8398
15.037     6.2033     5.24
15.3475    6.3815     5.4682
15.678     6.6067     5.57
15.8697    6.8616     5.7725
15.9605    7.2612     6.2673
15.9285    7.6208     6.7669
15.8468    7.9782     7.2134
15.7408    8.233      7.8055
15.569     8.4281     8.1023
15.313     8.5154     8.2912
15.1449    8.529      8.5114
14.9385    8.4397     8.6028
14.7916    8.4094     8.7046
14.6553    8.4343     8.6651









































































































































































14.6291    6.2592     4.8786     NASP-PR
14.6413    6.1602     4.676
14.6942    6.0338     4.339
14.6809    6.0333     4.1848
14.6804    6.0431     3.9247
14.7292    6.0812     3.7092
14.7288    6.1222     3.5013
14.7232    6.1455     3.3406
14.6864    6.2112     3.2496
14.7293    6.4274     3.0871






























































































































































































13.5818    9.2778     9.2152     R-PM/MAX
13.5182    9.0603     8.9009
13.409     8.796      8.4711
13.323     8.5358     8.1417
13.2079    8.3485     7.8235
13.1299    8.1502     7.3417
13.0851    8.015      6.9009
12.9971    7.8626     6.4252
12.9281    7.7898     6.0914
12.863     7.7209     5.6655
12.7274    7.6329     5.2009
12.6282    7.5518     4.7925
12.5696    7.6818     4.572
12.723     7.6837     4.308
12.9741    7.8344     4.0293
13.0308    7.8835     3.9873
























































































































































































15.5187    9.1089     9.1577     L-PM/MAX
15.6194    8.9466     8.8139
15.6371    8.9159     8.7505
