AMNH       81811      phu3.ams1
0.7496     0.809      -0.7222    IN
0.6126     0.6135     -0.8187    BR
0.4493     0.4003     -0.7282    GL
0.4499     0.404      -0.7119    NA
0.3429     0.2618     -0.4307    RH
0.2714     0.172      -0.2618    NS
0.2684     0.168      -0.2068    PR
0.31       0.1592     -0.2072    R_PR2
0.3926     0.2709     -0.4556    R_PMS
0.5935     0.3304     -0.4563    R_ZMI
0.531      0.3771     -0.6166    R_ZMU
0.4759     0.4078     -0.6558    R_DA
0.5356     0.3664     -0.7172    R_MTI
0.5506     0.392      -0.7674    R_MTS
0.603      0.3631     -0.6709    R_FMO
0.6536     0.3621     -0.6666    R_FMT
0.8111     0.5822     -0.6018    R_PO
0.6996     0.3639     -0.5269    R_ZTS
0.2466     0.2019     -0.2018    L_PR2
0.3441     0.3172     -0.4676    L_PMS
0.3205     0.5286     -0.4657    L_ZMI
0.3894     0.4746     -0.6245    L_ZMU
0.4445     0.4331     -0.6665    L_DA
0.3849     0.4733     -0.725     L_MTI
0.4085     0.4893     -0.7741    L_MTS
0.3604     0.5385     -0.6784    L_FMO
0.3466     0.5865     -0.6787    L_FMT
0.5048     0.807      -0.6198    L_PO
0.3242     0.6352     -0.546     L_ZTS
0.2842     0.1466     -0.2139    O1
0.6013     0.3222     -0.5065    O2
0.5284     0.8393     -0.6291    O3
0.7702     0.7514     -0.6657    O4







































































































































































0.446      0.403      -0.724     GLRH
0.4476     0.4027     -0.7173
0.448      0.4062     -0.7071
0.4483     0.4111     -0.6949
0.4507     0.4131     -0.6845
0.4509     0.4143     -0.6714
0.4491     0.4146     -0.6602
0.4485     0.4102     -0.647
0.4448     0.4072     -0.6375
0.4397     0.4036     -0.6252
0.4372     0.3991     -0.6163
0.4338     0.3933     -0.6048
0.4335     0.3917     -0.6021
0.4307     0.3867     -0.5948
0.4238     0.3808     -0.5836
0.4198     0.3713     -0.5732
0.4169     0.3663     -0.5628
0.4076     0.3568     -0.5515
0.4012     0.3453     -0.5385
0.3941     0.3362     -0.5269
0.3883     0.3311     -0.5217
0.3853     0.3258     -0.5159
0.3805     0.3198     -0.5079
0.3755     0.3138     -0.5002
0.3706     0.3059     -0.4894
0.3606     0.2937     -0.4753
0.3544     0.2863     -0.4666
0.3477     0.2765     -0.4511
0.3429     0.2693     -0.4412
0.3388     0.2622     -0.4312
0.3368     0.2629     -0.4284









































































































































































0.3384     0.2627     -0.4306    NOSE
0.3445     0.261      -0.4296
0.3487     0.2572     -0.4271
0.3493     0.2486     -0.4231
0.3547     0.2439     -0.417
0.3608     0.2408     -0.4118
0.3616     0.2354     -0.4067
0.3613     0.2265     -0.4012
0.3617     0.2198     -0.3914
0.36       0.2126     -0.3814
0.3594     0.2112     -0.377
0.3579     0.2099     -0.3707
0.3561     0.2073     -0.3643
0.3535     0.2057     -0.3611
0.3504     0.2002     -0.3547
0.3482     0.1941     -0.3447
0.3446     0.19       -0.3347
0.3422     0.1878     -0.3298
0.3363     0.1852     -0.3209
0.3291     0.1816     -0.3141
0.3267     0.1771     -0.312
0.3164     0.1738     -0.3014
0.3075     0.1707     -0.2963
0.3023     0.1669     -0.2923
0.2948     0.1653     -0.2872
0.2856     0.1645     -0.2796
0.278      0.1668     -0.2735
0.2731     0.1709     -0.2666
0.2646     0.1748     -0.2639
0.2577     0.1792     -0.2737
0.2552     0.1834     -0.2799
0.2532     0.1922     -0.2889
0.2505     0.2024     -0.2964
0.2502     0.2174     -0.3041
0.2471     0.2278     -0.3106
0.2468     0.2389     -0.3255
0.252      0.2479     -0.3375
0.2552     0.254      -0.347
0.2607     0.2598     -0.3591
0.2644     0.265      -0.3705
0.2712     0.2709     -0.3821
0.2852     0.2749     -0.3982
0.2917     0.2725     -0.4011
0.2982     0.2744     -0.4072
0.3074     0.2749     -0.4141
0.3224     0.2688     -0.4294
0.3306     0.2686     -0.4291
0.3365     0.2647     -0.4281
0.3399     0.2639     -0.4278























































































































































0.2651     0.1761     -0.2644    NASP-PR
0.2642     0.1749     -0.2615
0.2618     0.1708     -0.2533
0.2599     0.1698     -0.2451
0.2595     0.1707     -0.2324
0.2596     0.1698     -0.228
0.2586     0.1698     -0.217
0.2614     0.1715     -0.2042
0.259      0.1719     -0.205































































































































































































0.3861     0.2752     -0.4557    R-PM/MAX
0.3836     0.2698     -0.4498
0.3815     0.2629     -0.4423
0.3789     0.2558     -0.4346
0.3782     0.2521     -0.4317
0.3754     0.2453     -0.4249
0.371      0.2359     -0.4169
0.3697     0.2291     -0.4155
0.3724     0.2212     -0.4094
0.3734     0.2138     -0.3977
0.3738     0.2092     -0.3888
0.3734     0.2061     -0.376
0.3737     0.2034     -0.3685
0.3723     0.1989     -0.3534
0.3698     0.1963     -0.3443
0.368      0.194      -0.338
0.3699     0.1905     -0.329
0.3705     0.1877     -0.3223
0.3748     0.1811     -0.3058
0.3779     0.177      -0.2944
0.38       0.1747     -0.2774
0.3792     0.1745     -0.2585
0.3809     0.1761     -0.2501
0.3813     0.1803     -0.2433
0.3826     0.1828     -0.2394















































































































































































0.3388     0.3238     -0.471     L-PM/MAX
0.3353     0.319      -0.4662
0.3299     0.3166     -0.4592
0.3244     0.3119     -0.4531
0.3181     0.3094     -0.4459
0.3115     0.3032     -0.4395
0.3045     0.3026     -0.4313
0.2999     0.2991     -0.4253
0.2926     0.2967     -0.4181
0.288      0.2941     -0.4146
0.2805     0.2898     -0.4104
0.2782     0.289      -0.4093
0.2682     0.2882     -0.4039
0.2644     0.2849     -0.3961
0.2592     0.2818     -0.3862
0.2546     0.2824     -0.3724
0.2471     0.2828     -0.3571
0.2455     0.278      -0.344
0.2415     0.2787     -0.3372
0.2344     0.2766     -0.3229
0.2254     0.2766     -0.3068
0.2213     0.2785     -0.2879
0.2202     0.2785     -0.2711
0.2212     0.2818     -0.2616
0.2235     0.283      -0.2543
0.2277     0.2822     -0.2512














































































































































































0.487      0.3028     -0.3014    ROSTRUM
0.4871     0.3        -0.3075
0.4848     0.295      -0.3166
0.4843     0.2914     -0.3278
0.4794     0.2896     -0.345
0.4714     0.2871     -0.3542
0.4667     0.2852     -0.3614
0.4614     0.2837     -0.3698
0.4554     0.2804     -0.3823
0.4521     0.2766     -0.393
0.4515     0.2709     -0.4039
0.4514     0.2633     -0.4158
0.452      0.2562     -0.4225
0.453      0.2506     -0.438
0.4486     0.2486     -0.4444
0.4386     0.25       -0.4558
0.4312     0.2517     -0.4616
0.4187     0.2579     -0.4651
0.4102     0.2657     -0.4627
0.3962     0.2736     -0.4631
0.3891     0.28       -0.4615
0.3673     0.2855     -0.4722
0.358      0.2906     -0.473
0.3566     0.2934     -0.4743
0.3503     0.2978     -0.4735
0.3396     0.305      -0.472
0.3335     0.3113     -0.4691
0.3318     0.3169     -0.4642
0.3211     0.3263     -0.4616
0.3142     0.3307     -0.4622
0.3025     0.334      -0.4653
0.2876     0.3407     -0.468
0.2819     0.3474     -0.4644
0.2752     0.3571     -0.4559
0.2741     0.3663     -0.4458
0.275      0.3663     -0.4453
0.2833     0.3725     -0.4299
0.2879     0.3743     -0.4217
0.2961     0.3759     -0.4121
0.2971     0.3823     -0.3946
0.2989     0.3927     -0.3801
0.2962     0.4036     -0.3577
0.2972     0.4118     -0.3493
0.2974     0.4183     -0.3308
0.3037     0.4254     -0.3186
0.3058     0.4279     -0.3121
0.3089     0.4291     -0.3106

























































































































































