AMNH       81811      phu3ams2
0.7477     0.7977     -0.699     IN
0.6187     0.6025     -0.7992    BR
0.4536     0.3868     -0.7141    GL
0.457      0.3878     -0.6987    NA
0.3419     0.2441     -0.4181    RH
0.2708     0.1479     -0.2569    NS
0.2655     0.1446     -0.1979    PR
0.3013     0.1355     -0.2       R_PR2
0.3943     0.2536     -0.4459    R_PMS
0.5953     0.3149     -0.4402    R_ZMI
0.534      0.3627     -0.6016    R_ZMU
0.4798     0.393      -0.6422    R_DA
0.541      0.3534     -0.7019    R_MTI
0.5561     0.3834     -0.7539    R_MTS
0.607      0.3523     -0.6543    R_FMO
0.6563     0.3481     -0.6462    R_FMT
0.8122     0.5762     -0.5764    R_PO
0.7025     0.3517     -0.509     R_ZTS
0.2394     0.1773     -0.2019    L_PR2
0.3421     0.2964     -0.4557    L_PMS
0.3163     0.5093     -0.4564    L_ZMI
0.3829     0.4619     -0.6146    L_ZMU
0.4488     0.4173     -0.6532    L_DA
0.3895     0.4605     -0.7124    L_MTI
0.4184     0.4759     -0.7616    L_MTS
0.3631     0.5213     -0.6694    L_FMO
0.348      0.5672     -0.6664    L_FMT
0.5024     0.7877     -0.5985    L_PO
0.3214     0.6163     -0.5346    L_ZTS
0.2811     0.1227     -0.2054    O1
0.5656     0.3286     -0.4305    O2
0.3749     0.7231     -0.5456    O3
0.7767     0.7157     -0.6594    O4







































































































































































0.4561     0.3869     -0.6997    GLRH
0.4551     0.3902     -0.6912
0.4559     0.3921     -0.6845
0.4571     0.3941     -0.6756
0.4583     0.395      -0.6695
0.4563     0.3971     -0.6624
0.4569     0.3973     -0.6573
0.4559     0.3964     -0.6477
0.4543     0.3952     -0.6413
0.4524     0.3932     -0.6334
0.4504     0.3909     -0.6269
0.4476     0.3887     -0.6203
0.4451     0.3857     -0.6127
0.4395     0.3801     -0.5988
0.4361     0.3725     -0.5869
0.4301     0.367      -0.578
0.4256     0.36       -0.568
0.4193     0.3507     -0.5552
0.4149     0.3463     -0.5487
0.409      0.3379     -0.5387
0.4026     0.3285     -0.5281
0.3987     0.3202     -0.5196
0.3913     0.3088     -0.5087
0.3825     0.2988     -0.496
0.3763     0.292      -0.4877
0.3725     0.2868     -0.48
0.3651     0.2788     -0.4717
0.3614     0.271      -0.4631
0.357      0.2628     -0.4531
0.3536     0.2563     -0.4464
0.3486     0.2504     -0.4375
0.3429     0.242      -0.4246
0.3415     0.2407     -0.4215







































































































































































0.3398     0.2425     -0.4218    NOSE
0.3438     0.2404     -0.4198
0.3499     0.2337     -0.4161
0.3541     0.2252     -0.4118
0.3602     0.222      -0.4026
0.3633     0.2149     -0.3972
0.363      0.2025     -0.3896
0.3613     0.1925     -0.3742
0.3555     0.1848     -0.3559
0.3513     0.1819     -0.3486
0.349      0.1739     -0.3376
0.3411     0.1657     -0.3197
0.3418     0.1649     -0.3219
0.3363     0.1627     -0.3132
0.3261     0.1582     -0.3043
0.3166     0.151      -0.2952
0.3043     0.1435     -0.287
0.2967     0.1427     -0.2821
0.2879     0.1416     -0.2758
0.2852     0.1425     -0.2732
0.2792     0.1443     -0.2701
0.2765     0.1441     -0.2672
0.2713     0.1483     -0.2609
0.2647     0.1517     -0.2596
0.2611     0.1517     -0.2606
0.2571     0.1553     -0.2669
0.2523     0.1603     -0.2745
0.2517     0.1593     -0.2724
0.2506     0.1669     -0.282
0.2497     0.175      -0.2878
0.2502     0.1873     -0.294
0.247      0.2028     -0.3035
0.2467     0.2126     -0.3136
0.2505     0.2239     -0.3323
0.2595     0.2359     -0.3515
0.2677     0.2459     -0.3703
0.276      0.2519     -0.3814
0.2918     0.2509     -0.3938
0.3064     0.2559     -0.4064
0.3166     0.2497     -0.4142
0.3275     0.2495     -0.4245
0.3199     0.2491     -0.4175
0.3292     0.2486     -0.4251
0.3388     0.2469     -0.4259
0.3433     0.2422     -0.4231



























































































































































0.2687     0.1508     -0.2589    NASP-PR
0.2665     0.1499     -0.255
0.2647     0.1475     -0.2526
0.2631     0.1452     -0.2478
0.2618     0.1448     -0.2424
0.2612     0.1443     -0.2351
0.2608     0.1446     -0.2289
0.2599     0.1438     -0.2212
0.2585     0.1446     -0.2148
0.2594     0.1444     -0.2077
0.2592     0.1452     -0.2044
0.2623     0.1466     -0.1984






































































