AMNH       81811      Phu3mic
17.5711    22.4124    -17.3804   IN
14.5109    17.354     -20.1002   BR
10.8786    11.472     -18.0385   GL
10.8255    11.5841    -17.6772   NA
8.4117     7.3674     -10.7465   RH
6.8904     4.6539     -6.7       NS
6.7909     4.5032     -5.1984    PR
7.8264     4.4022     -5.3067    R_PR2
9.7514     7.7496     -11.4425   R_PMS
14.6584    9.6705     -11.3001   R_ZMI
12.9872    10.7911    -15.3634   R_ZMU
11.4813    11.6702    -16.3626   R_DA
12.8998    10.8033    -17.9692   R_MTI
12.8824    11.649     -19.2739   R_MTS
14.843     10.7985    -16.782    R_FMO
16.0443    10.8825    -16.6286   R_FMT
19.5693    16.9195    -14.5943   R_PO
17.3047    10.8602    -13.1254   R_ZTS
6.1142     5.1932     -5.269     L_PR2
8.2875     8.6419     -11.5697   L_PMS
7.322      13.9045    -11.3542   L_ZMI
9.0753     13.0228    -15.4434   L_ZMU
10.6575    12.1401    -16.5992   L_DA
9.2839     13.1862    -17.9668   L_MTI
9.4891     13.6418    -19.2138   L_MTS
8.312      14.6689    -16.715    L_FMO
7.8065     15.7831    -16.6218   L_FMT
11.4374    21.3879    -14.6633   L_PO
7.1706     16.7659    -13.2641   L_ZTS
7.2944     3.9462     -5.356     O1
16.1119    9.6238     -12.7496   O2
9.1723     15.0222    -18.6122   O3
18.4991    20.907     -16.2926   O4







































































































































































10.8197    11.4924    -17.869    GLRH
10.8608    11.5383    -17.6456
10.9268    11.6082    -17.241
10.949     11.673     -16.8812
10.9688    11.6503    -16.6478
10.9642    11.6372    -16.4838
10.9373    11.5872    -16.3112
10.9251    11.5464    -16.1753
10.8596    11.48      -15.9816
10.8069    11.3542    -15.7033
10.7361    11.235     -15.5068
10.6953    11.2104    -15.4315
10.6506    11.1227    -15.2723
10.6164    11.0561    -15.1404
10.5788    10.9949    -15.052
10.4779    10.8976    -14.8622
10.483     10.7878    -14.7943
10.4307    10.6854    -14.6376
10.3686    10.6134    -14.5451
10.3254    10.5399    -14.4578
10.2607    10.4475    -14.3454
10.2073    10.3304    -14.2409
10.1781    10.2953    -14.1477
10.1194    10.2213    -14.0139
10.0286    10.1057    -13.9057
9.967      9.9939     -13.778
9.8785     9.8207     -13.6086
9.8236     9.7307     -13.5093
9.7816     9.6514     -13.4274
9.7435     9.5477     -13.3237
9.6868     9.373      -13.2135
9.6405     9.3004     -13.1464
9.5448     9.176      -13.0145
9.488      9.081      -12.9207
9.4081     8.9621     -12.7939
9.3513     8.8807     -12.6993
9.3091     8.7837     -12.6134
9.2853     8.7021     -12.5264
9.2474     8.6152     -12.4508
9.1776     8.5322     -12.3451
9.1545     8.4383     -12.2474
9.1271     8.3311     -12.1355
9.0575     8.2238     -12.0161
8.9801     8.0986     -11.8973
8.9085     8.0971     -11.8798
8.7939     7.9216     -11.6513
8.7336     7.7842     -11.5102
8.6398     7.6817     -11.3478
8.5976     7.586      -11.2298
8.5525     7.4954     -11.0942
8.5002     7.3786     -10.9877
8.4533     7.3386     -10.8939
8.4148     7.3054     -10.8467



















