AMNH       81811      phu3ms5.xls
15.5855    21.5013    -16.8045   IN
11.3988    17.0338    -19.0269   BR
6.7689     12.2182    -16.3779   GL
6.8662     12.2788    -15.9207   NA
4.3233     8.8801     -8.6623    RH
2.5571     6.7085     -4.1591    NS
2.5694     6.6906     -2.862     PR
3.6208     6.3007     -3.0084    R_PR2
5.5004     8.993      -9.3451    R_PMS
10.7298    9.8386     -9.8016    R_ZMI
8.9101     11.2228    -13.7198   R_ZMU
7.6045     12.3094    -14.6089   R_DA
8.8488     10.9189    -16.3951   R_MTI
9.3025     11.8384    -17.6189   R_MTS
10.6331    10.6881    -15.3026   R_FMO
11.8694    10.5106    -15.1759   R_FMT
16.6283    15.6731    -13.8208   R_PO
13.3271    10.4472    -11.8594   R_ZTS
2.0432     7.6189     -2.8284    L_PR2
4.3322     10.2791    -9.4722    L_PMS
4.4675     15.7459    -9.4564    L_ZMI
5.4506     14.5419    -13.6746   L_ZMU
6.8377     13.021     -14.8175   L_DA
5.3693     14.1193    -16.1622   L_MTI
6.039      14.5917    -17.4886   L_MTS
5.0668     15.9678    -14.9617   L_FMO
4.8752     17.1924    -14.9027   L_FMT
9.7234     22.0278    -13.5502   L_PO
4.773      18.4724    -11.4449   L_ZTS
1.8894     6.9299     -2.7756    O1
4.3181     16.2969    -12.073    O2
7.45       21.4486    -11.9462   O3
12.5794    21.5364    -16.5453   O4







































































































































































6.82       12.1975    -16.2122   GLRH
6.8471     12.2323    -16.0075
6.8827     12.296     -15.7641
6.9484     12.3536    -15.5366
7.0029     12.4009    -15.2965
7.0388     12.4458    -15.0742
7.048      12.4408    -14.7511
7.035      12.4033    -14.5338
7.0224     12.3267    -14.2653
6.9226     12.2345    -13.9604
6.8223     12.099     -13.6032
6.7084     11.9407    -13.2614
6.6157     11.8008    -12.9973
6.4683     11.6451    -12.7306
6.339      11.5019    -12.4701
6.2302     11.3667    -12.2218
6.1268     11.2142    -12.0177
5.9998     11.0573    -11.8087
5.8316     10.8682    -11.5261
5.7098     10.6365    -11.258
5.5536     10.4267    -11.0193
5.4312     10.2453    -10.8061
5.3165     10.1055    -10.5739
5.2022     9.9609     -10.398
5.0904     9.8388     -10.1779
4.9917     9.6991     -9.9785
4.9043     9.639      -9.8821
4.8094     9.4559     -9.6985
4.7018     9.3136     -9.5011
4.6116     9.1595     -9.2934
4.4646     9.0311     -9.0136
4.3858     8.9166     -8.8047
4.328      8.8529     -8.6517







































































































































































4.3453     8.8596     -8.5931    NOSE
4.4307     8.8334     -8.6199
4.4844     8.6002     -8.5412
4.5424     8.4465     -8.3377
4.788      8.2754     -8.2363
4.8145     8.0275     -8.0457
4.7961     7.7057     -7.7207
4.7636     7.5717     -7.4092
4.7303     7.4368     -6.9595
4.6071     7.3793     -6.7338
4.4933     7.2099     -6.4739
4.3787     6.9978     -6.1552
4.2493     6.9399     -5.8979
3.9701     6.803      -5.616
3.7473     6.7424     -5.3919
3.5248     6.6815     -5.2162
3.2649     6.6455     -5.0096
3.0311     6.6355     -4.8284
2.8077     6.7171     -4.6368
2.6856     6.7114     -4.3726
2.4229     6.8722     -4.392
2.2263     7.0695     -4.6446
2.1562     7.2603     -4.8355
2.1279     7.5428     -5.0362
2.0724     7.8837     -5.1697
2.0626     8.1966     -5.3731
2.0595     8.4697     -5.6706
2.2466     8.7079     -6.1162
2.4015     8.9049     -6.4217
2.5606     9.0541     -6.7733
2.6518     9.2603     -7.1943
2.8909     9.3598     -7.4931
3.1468     9.3189     -7.8234
3.419      9.2815     -8.0393
3.7455     9.1226     -8.2299
3.8105     9.0283     -8.41
4.0581     9.0606     -8.5954
4.1771     8.9551     -8.5864
4.3496     8.8376     -8.6011

































































































































































2.5698     6.662      -4.1368    NASP-PR
2.549      6.6565     -3.9842
2.5073     6.6412     -3.7544
2.5763     6.6528     -3.4957
2.5414     6.6196     -3.2624
2.5834     6.6223     -3.01
2.6181     6.646      -2.8703
2.6853     6.6848     -2.8194
































































































































































































5.5519     8.9986     -9.3568    R-PM/MAX
5.4856     8.9043     -9.2282
5.4105     8.6219     -8.9326
5.3249     8.369      -8.6672
5.2133     8.1517     -8.4722
5.1169     7.9029     -8.3298
5.1682     7.6193     -8.148
5.1739     7.4378     -7.8147
5.1751     7.3363     -7.5403
5.172      7.1915     -7.2031
5.1813     7.0679     -6.766
5.2184     6.929      -6.3883
5.2543     6.8289     -6.1394
5.3597     6.7467     -5.8341
5.4458     6.5468     -5.5234
5.512      6.422      -5.0699
5.5309     6.416      -4.793
5.6624     6.4339     -4.5437
5.6867     6.4571     -4.3514
5.6804     6.4825     -4.1637
5.7562     6.6032     -3.9748



















































































































































































4.3122     10.2377    -9.4658    L-PM/MAX
4.2122     10.1876    -9.2872
4.0566     10.1157    -9.1198
3.9008     10.0606    -8.9173
3.7043     9.9952     -8.679
3.5098     9.8395     -8.4271
3.3106     9.7787     -8.1855
2.9669     9.6541     -7.9388
2.6503     9.5708     -7.5723
2.4928     9.5611     -7.29
2.4485     9.4975     -6.8101
2.363      9.4974     -6.5735
2.2927     9.5235     -6.4501
2.1658     9.4889     -6.0651
2.0653     9.4931     -5.829
1.9509     9.5062     -5.6053
1.8217     9.564      -5.2832
1.8316     9.6412     -4.9524
1.8078     9.7393     -4.5932
1.8317     9.7608     -4.3246
1.877      9.7507     -4.121
1.9418     9.7291     -4.0103


















































































































































































8.5814     9.4293     -5.7515    ROSTRUM
8.5856     9.4183     -5.7572
8.5277     9.2792     -5.9815
8.4824     9.2078     -6.1636
8.3918     9.1058     -6.4387
8.2662     9.0384     -6.6105
8.0846     9.0012     -6.7912
7.9617     9.0067     -6.9571
