NME        AL363-A1   Par1sf
9999       9999       9999       IN
22.24278   -9.56056   15.10284   BR
27.52344   -8.18134   13.62964   GL
27.5082    -8.20674   13.6652    NA
31.00578   -7.56158   10.12444   RH
32.50946   -7.4295    7.25424    NS
33.11652   -7.22122   5.8293     PR
33.02254   -8.08482   5.86232    R_PR2
29.39796   -8.28548   11.54938   R_PMS
28.60802   -11.176    8.53948    R_ZMI
28.07462   -9.55294   11.19378   R_ZMU
27.6098    -8.68426   12.446     R_DA
27.6606    -10.2235   13.40104   R_MTI
27.2923    -10.4013   14.41196   R_MTS
27.37358   -11.51382  12.62888   R_FMO
26.74112   -12.55268  12.4587    R_FMT
22.03196   -13.59662  10.7315    R_PO
26.7081    -13.79982  9.97204    R_ZTS
32.63138   -6.54558   5.98424    L_PR2
29.62656   -7.28726   11.09472   L_PMS
27.29484   -5.03936   8.66902    L_ZMI
27.51328   -6.7183    11.38428   L_ZMU
27.4066    -7.44474   12.01166   L_DA
26.96718   -6.48208   13.57376   L_MTI
26.23312   -6.4389    14.58722   L_MTS
26.0223    -5.2324    12.74572   L_FMO
25.1079    -4.64058   12.77366   L_FMT
20.73148   -5.6388    10.81532   L_PO
9999       9999       9999       L_ZTS
32.95904   -8.33374   6.81482    O1
26.55316   -4.05638   9.53008    O2
27.14498   -11.95578  13.4239    O3
18.81632   -12.57554  11.82878   O4







































































































































































27.48788   -8.16102   13.6906    GLRH
27.56408   -8.1915    13.5509
27.61742   -8.15848   13.45184
27.7114    -8.16356   13.2842
27.77744   -8.1153    13.13434
27.84094   -8.09244   13.04036
28.03144   -8.09752   12.88542
28.1813    -8.03148   12.76858
28.31592   -7.99592   12.66444
28.45816   -7.97306   12.56284
28.59532   -7.97052   12.45616
28.7401    -7.9502    12.35964
28.94584   -7.90956   12.25804
29.08808   -7.87146   12.19962
29.19476   -7.8105    12.1539
29.3116    -7.78002   12.11072
29.41574   -7.74954   12.04214
29.5021    -7.70636   12.00658
29.64688   -7.70128   11.9507
29.77896   -7.6454    11.84656
29.91866   -7.61238   11.73734
30.08884   -7.61746   11.61288
30.17774   -7.61492   11.55446
30.22854   -7.61746   11.49604
30.35554   -7.57682   11.37412
30.47746   -7.56666   11.25728
30.5689    -7.52602   11.11758
30.68574   -7.53364   10.9347
30.71876   -7.52094   10.8077
30.84068   -7.47776   10.66292
30.88894   -7.50316   10.54608
30.93466   -7.50824   10.3759
30.97276   -7.49554   10.28446
31.00324   -7.5184    10.08634






































































































































































30.94482   -7.66064   10.04062   NOSE
30.92196   -7.80288   9.99998
30.91434   -7.9502    10.0965
30.82544   -8.05942   10.14984
30.70606   -8.13816   10.033
30.74416   -8.2423    9.83488
30.76956   -8.26262   9.69772
30.84576   -8.32358   9.60882
30.91434   -8.40994   9.46912
30.97276   -8.44296   9.34466
31.01848   -8.48868   9.2583
31.04134   -8.5598    9.12622
31.1658    -8.5852    8.9154
31.2547    -8.60298   8.79094
31.34868   -8.60044   8.66902
31.42488   -8.60806   8.58266
31.52902   -8.636     8.49884
31.63062   -8.6233    8.37438
31.71698   -8.5979    8.29818
31.90748   -8.60044   8.08736
31.95574   -8.59028   7.9883
32.0421    -8.5471    7.86892
32.10814   -8.4963    7.79018
32.17926   -8.44042   7.68604
32.25292   -8.382     7.62762
32.32912   -8.29564   7.57428
32.42056   -8.20674   7.52856
32.5501    -8.1153    7.48284
32.65424   -7.97814   7.40664
32.71012   -7.86892   7.31266
32.6771    -7.66826   7.25932
32.61868   -7.52094   7.19582
32.55518   -7.43204   7.2009
32.51708   -7.2644    7.29488
32.47644   -7.17804   7.33044
32.512     -6.94944   7.366
32.51962   -6.8199    7.36092
32.45104   -6.7945    7.39902
