NME        AL363-A1   Par1sf
9999       9999       9999       IN
0.8757     -0.3764    0.5946     BR
1.0836     -0.3221    0.5366     GL
1.083      -0.3231    0.538      NA
1.2207     -0.2977    0.3986     RH
1.2799     -0.2925    0.2856     NS
1.3038     -0.2843    0.2295     PR
1.3001     -0.3183    0.2308     R_PR2
1.1574     -0.3262    0.4547     R_PMS
1.1263     -0.44      0.3362     R_ZMI
1.1053     -0.3761    0.4407     R_ZMU
1.087      -0.3419    0.49       R_DA
1.089      -0.4025    0.5276     R_MTI
1.0745     -0.4095    0.5674     R_MTS
1.0777     -0.4533    0.4972     R_FMO
1.0528     -0.4942    0.4905     R_FMT
0.8674     -0.5353    0.4225     R_PO
1.0515     -0.5433    0.3926     R_ZTS
1.2847     -0.2577    0.2356     L_PR2
1.1664     -0.2869    0.4368     L_PMS
1.0746     -0.1984    0.3413     L_ZMI
1.0832     -0.2645    0.4482     L_ZMU
1.079      -0.2931    0.4729     L_DA
1.0617     -0.2552    0.5344     L_MTI
1.0328     -0.2535    0.5743     L_MTS
1.0245     -0.206     0.5018     L_FMO
0.9885     -0.1827    0.5029     L_FMT
0.8162     -0.222     0.4258     L_PO
9999       9999       9999       L_ZTS
1.2976     -0.3281    0.2683     O1
1.0454     -0.1597    0.3752     O2
1.0687     -0.4707    0.5285     O3
0.7408     -0.4951    0.4657     O4







































































































































































1.0822     -0.3213    0.539      GLRH
1.0852     -0.3225    0.5335
1.0873     -0.3212    0.5296
1.091      -0.3214    0.523
1.0936     -0.3195    0.5171
1.0961     -0.3186    0.5134
1.1036     -0.3188    0.5073
1.1095     -0.3162    0.5027
1.1148     -0.3148    0.4986
1.1204     -0.3139    0.4946
1.1258     -0.3138    0.4904
1.1315     -0.313     0.4866
1.1396     -0.3114    0.4826
1.1452     -0.3099    0.4803
1.1494     -0.3075    0.4785
1.154      -0.3063    0.4768
1.1581     -0.3051    0.4741
1.1615     -0.3034    0.4727
1.1672     -0.3032    0.4705
1.1724     -0.301     0.4664
1.1779     -0.2997    0.4621
1.1846     -0.2999    0.4572
1.1881     -0.2998    0.4549
1.1901     -0.2999    0.4526
1.1951     -0.2983    0.4478
1.1999     -0.2979    0.4432
1.2035     -0.2963    0.4377
1.2081     -0.2966    0.4305
1.2094     -0.2961    0.4255
1.2142     -0.2944    0.4198
1.2161     -0.2954    0.4152
1.2179     -0.2956    0.4085
1.2194     -0.2951    0.4049
1.2206     -0.296     0.3971






































































































































































1.2183     -0.3016    0.3953     NOSE
1.2174     -0.3072    0.3937
1.2171     -0.313     0.3975
1.2136     -0.3173    0.3996
1.2089     -0.3204    0.395
1.2104     -0.3245    0.3872
1.2114     -0.3253    0.3818
1.2144     -0.3277    0.3783
1.2171     -0.3311    0.3728
1.2194     -0.3324    0.3679
1.2212     -0.3342    0.3645
1.2221     -0.337     0.3593
1.227      -0.338     0.351
1.2305     -0.3387    0.3461
1.2342     -0.3386    0.3413
1.2372     -0.3389    0.3379
1.2413     -0.34      0.3346
1.2453     -0.3395    0.3297
1.2487     -0.3385    0.3267
1.2562     -0.3386    0.3184
1.2581     -0.3382    0.3145
1.2615     -0.3365    0.3098
1.2641     -0.3345    0.3067
1.2669     -0.3323    0.3026
1.2698     -0.33      0.3003
1.2728     -0.3266    0.2982
1.2764     -0.3231    0.2964
1.2815     -0.3195    0.2946
1.2856     -0.3141    0.2916
1.2878     -0.3098    0.2879
1.2865     -0.3019    0.2858
1.2842     -0.2961    0.2833
1.2817     -0.2926    0.2835
1.2802     -0.286     0.2872
1.2786     -0.2826    0.2886
1.28       -0.2736    0.29
1.2803     -0.2685    0.2898
1.2776     -0.2675    0.2913
1.2736     -0.2642    0.2932
1.2698     -0.2619    0.2952
1.2653     -0.2596    0.2969
1.2584     -0.2562    0.3008
1.2552     -0.254     0.3035
1.25       -0.2532    0.3078
1.247      -0.2535    0.3107
1.2427     -0.2521    0.3172
1.238      -0.2516    0.3235
1.235      -0.2512    0.3277
1.2309     -0.251     0.333
1.2259     -0.2549    0.3373
1.2223     -0.2563    0.3431
1.2186     -0.2579    0.3481
1.214      -0.2572    0.3512
1.2092     -0.2634    0.3571
1.2068     -0.2703    0.3631
1.2041     -0.2706    0.3694
1.2019     -0.2715    0.3741
1.2006     -0.2736    0.3792
1.1997     -0.2771    0.385
1.2002     -0.2818    0.3879
1.2008     -0.2858    0.3902
1.2098     -0.2871    0.3924
1.2156     -0.2893    0.3953
1.2179     -0.2952    0.3943








































































































































1.2815     -0.2933    0.2837     NASP-PR
1.2866     -0.2928    0.2802
1.292      -0.2915    0.2738
1.2958     -0.289     0.2666
1.2982     -0.2892    0.2624
1.3008     -0.2876    0.2556
1.3019     -0.2878    0.2517
1.3031     -0.2873    0.2458
1.304      -0.2866    0.2389
1.3043     -0.2854    0.2297






























































































































































































1.1588     -0.3269    0.4529     R-PM/MAX
1.166      -0.3259    0.4499
1.1695     -0.3252    0.4452
1.1741     -0.3249    0.4413
1.1788     -0.3242    0.4353
1.1844     -0.3246    0.4298
1.1876     -0.3246    0.4254
1.1902     -0.3251    0.4218
1.1941     -0.3242    0.4181
1.1979     -0.3249    0.4103
1.2019     -0.3281    0.4023
1.2049     -0.3298    0.3974
1.2081     -0.3326    0.3902
1.2109     -0.3349    0.3826
1.2142     -0.3359    0.3765
1.2169     -0.3382    0.3709
1.2197     -0.3396    0.366
1.2223     -0.3406    0.3582
1.2271     -0.3407    0.3515
1.2336     -0.3426    0.3432
1.2379     -0.3448    0.3388
1.2432     -0.3446    0.3317
1.247      -0.3482    0.3264
1.2528     -0.3472    0.318
1.2565     -0.3479    0.3104
1.2598     -0.3488    0.3048
1.2618     -0.3491    0.3016
1.2647     -0.3499    0.2975
1.2684     -0.3504    0.2884
1.2688     -0.3532    0.2829
1.2724     -0.3532    0.2761
1.2719     -0.3559    0.272
1.272      -0.3592    0.2671
1.272      -0.3621    0.2618
1.2739     -0.3648    0.2549
1.2744     -0.3619    0.2524




































































































































































1.1617     -0.2873    0.4397     L-PM/MAX
1.1679     -0.2849    0.4354
1.1718     -0.284     0.4298
1.1768     -0.283     0.4255
1.1789     -0.2827    0.4218
1.1818     -0.2826    0.4156
1.1848     -0.2816    0.4108
1.1877     -0.2808    0.4065
1.192      -0.2801    0.3986
1.1935     -0.2778    0.3951
1.1935     -0.2757    0.3899
1.1954     -0.2734    0.3846
1.1982     -0.2712    0.3774
1.2        -0.2677    0.3713
1.2023     -0.266     0.3667
1.2046     -0.2634    0.3612
1.2081     -0.2599    0.357
1.2122     -0.2578    0.3519
1.2148     -0.2543    0.3482
1.2177     -0.2528    0.3437
1.2223     -0.2502    0.3381
1.2264     -0.2475    0.3309
1.2297     -0.2458    0.3261
1.2328     -0.2438    0.3213
1.2347     -0.2435    0.318
1.2375     -0.2422    0.3132
1.2385     -0.2423    0.3116
1.241      -0.2378    0.3046
1.2432     -0.2364    0.2998
1.2457     -0.2346    0.293
1.2488     -0.2345    0.2865
1.2503     -0.2338    0.2825
1.2474     -0.2299    0.2785
1.2476     -0.2264    0.2732
1.2482     -0.225     0.268
1.2486     -0.2234    0.2633
1.248      -0.2217    0.2578
1.2465     -0.2218    0.2511


































































































































































1.1619     -0.4109    0.2529     ROSTRUM
1.1628     -0.4118    0.2562
1.1657     -0.4123    0.2624
1.167      -0.4123    0.2684
1.1674     -0.4105    0.2732
1.1692     -0.4087    0.279
1.1711     -0.4073    0.2838
1.1706     -0.406     0.2876
1.1724     -0.4037    0.2936
1.1726     -0.4013    0.2985
1.1737     -0.3999    0.3027
1.175      -0.3975    0.3078
1.1751     -0.3964    0.3125
1.1762     -0.394     0.3169
