AMNH       103367     scc12cs.xls
14.2811    13.3726    -6.5034    IN
12.4511    11.6232    -8.8869    BR
8.8061     8.3813     -8.481     GL
8.7205     8.3248     -8.3462    NA
7.864      7.5566     -7.0247    RH
7.0293     6.7243     -5.5199    NS
6.7297     6.4354     -4.8757    PR
7.0441     6.1902     -4.773     R_PR2
8.5923     8.0354     -7.7578    R_PMS
10.455     6.3495     -5.1816    R_ZMI
9.5299     7.4363     -6.7415    R_ZMU
9.0654     8.2051     -7.798     R_DA
10.0747    7.534      -8.644     R_MTI
10.3202    7.7039     -9.107     R_MTS
10.8737    6.8203     -8.0217    R_FMO
11.488     6.7894     -8.0615    R_FMT
13.655     9.5655     -5.0435    R_PO
9999       9999       9999       R_ZTS
6.4664     6.7394     -4.851     L_PR2
8.213      8.0849     -7.6577    L_PMS
7.0081     10.1062    -5.211     L_ZMI
7.8553     9.3176     -6.6084    L_ZMU
8.5273     8.693      -7.8       L_DA
8.0209     9.9409     -8.5231    L_MTI
8.3001     10.1022    -9.0435    L_MTS
7.5404     10.6914    -7.8035    L_FMO
7.5501     11.2906    -7.7884    L_FMT
10.1762    13.3376    -5.041     L_PO
7.2612     11.7514    -5.8702    L_ZTS
6.71       8.142      -5.3711    O1
7.0975     10.2745    -5.8745    O2
10.0947    13.2334    -5.8972    O3
14.0352    12.9224    -7.3223    O4







































































































































































8.8046     8.3876     -8.5312    GLRH
8.7292     8.3272     -8.3901
8.6404     8.2406     -8.1871
8.5279     8.1583     -7.9926
8.4173     8.0578     -7.8042
8.3431     7.9864     -7.6872
8.2572     7.8984     -7.5369
8.1536     7.8191     -7.3802
8.0256     7.6836     -7.2435
7.9311     7.6097     -7.1131
7.9032     7.5744     -6.9916
7.8854     7.5458     -6.9876




























































































































































































7.9518     7.584      -6.954     NOSE
7.9982     7.5015     -6.966
8.0738     7.3167     -6.8886
8.1205     7.1994     -6.7199
