NME        AL 205-1A  To4sf
16.8374    -10.2443   13.8615    IN
21.8311    -9.9512    16.1714    BR
27.268     -8.6376    14.0671    GL
9999       9999       9999       NA
9999       9999       9999       RH
31.4132    -7.3975    6.2165     NS
31.5774    -7.4129    4.9764     PR
31.6642    -8.0338    4.8486     R_PR2
9999       9999       9999       R_PMS
26.5949    -12.0477   7.272      R_ZMI
26.735     -10.5962   11.1531    R_ZMU
9999       9999       9999       R_DA
9999       9999       9999       R_MTI
9999       9999       9999       R_MTS
9999       9999       9999       R_FMO
9999       9999       9999       R_FMT
19.5611    -14.0212   11.1824    R_PO
25.2348    -14.9889   9.7839     R_ZTS
31.206     -6.8051    4.785      L_PR2
28.5409    -7.5929    9.8007     L_PMS
25.6886    -5.1593    7.9382     L_ZMI
26.4583    -6.782     11.6456    L_ZMU
9999       9999       9999       L_DA
9999       9999       9999       L_MTI
9999       9999       9999       L_MTS
9999       9999       9999       L_FMO
9999       9999       9999       L_FMT
18.9368    -5.5912    12.1727    L_PO
23.6852    -3.026     10.3306    L_ZTS
31.4856    -9.1587    5.5735     O1
25.322     -3.902     9.1177     O2
27.0821    -9.8243    14.5787    O3
17.0494    -9.1358    13.9114    O4







































































































































































9999       9999       9999       GLRH







































































































































































































9999       9999       9999       NOSE










