NME        AL321-12   To5
17.4117    -10.7321   12.338     IN
21.676     -9.8986    15.1236    BR
27.3306    -8.7555    12.9126    GL
27.3429    -8.7806    12.7931    NA
29.687     -8.192     9.003      RH
31.4015    -7.8058    6.6978     NS
31.8727    -7.8051    5.6296     PR
31.9603    -8.4709    5.7646     R_PR2
28.939     -8.7097    9.5473     R_PMS
27.7801    -12.4088   7.7392     R_ZMI
27.6612    -10.3857   10.6582    R_ZMU
27.0218    -9.3072    11.996     R_DA
27.2524    -10.7797   13.3364    R_MTI
26.7848    -10.791    14.0591    R_MTS
27         -12.0192   12.7399    R_FMO
26.5251    -12.6935   12.8238    R_FMT
21.319     -13.5334   11.0774    R_PO
9999       9999       9999       R_ZTS
31.5992    -7.208     5.7838     L_PR2
28.7551    -7.931     9.4288     L_PMS
26.1803    -5.0132    7.7255     L_ZMI
26.8808    -7.0833    10.5383    L_ZMU
27.0165    -8.3698    11.5647    L_DA
26.9267    -7.6286    13.3327    L_MTI
26.3817    -7.6594    14.0816    L_MTS
25.8482    -5.8813    12.4873    L_FMO
25.25      -5.525     12.6103    L_FMT
20.2273    -6.6127    11.0021    L_PO
9999       9999       9999       L_ZTS
31.9       -8.4433    6.376      O1
25.8357    -4.311     8.5217     O2
26.1788    -12.3689   13.5552    O3
17.5875    -9.1788    12.2042    O4







































































































































































27.3433    -8.8149    12.7969    GLRH
27.3197    -8.8638    12.5362
27.3269    -8.8513    12.3898
27.3112    -8.8352    12.2879
27.3204    -8.8284    12.2172
27.3126    -8.8262    12.1066
27.3415    -8.8161    12.0379
27.3712    -8.7958    11.929
27.3873    -8.7815    11.7509
27.4294    -8.7748    11.6447
27.4957    -8.7601    11.496
27.5988    -8.7412    11.2274
27.6755    -8.6726    11.0959
27.7438    -8.6673    10.979
27.8695    -8.626     10.7639
27.9606    -8.618     10.6467
28.0363    -8.6006    10.5422
28.0779    -8.5667    10.447
28.1338    -8.5596    10.3647
28.1985    -8.532     10.2838
28.2706    -8.5269    10.2286
28.3187    -8.5106    10.1422
28.3733    -8.4774    10.1023
28.4649    -8.4459    9.996
28.5289    -8.4239    9.9404
28.5896    -8.4006    9.8748
28.6658    -8.3841    9.811
28.7863    -8.3588    9.6819
28.8945    -8.352     9.6154
28.976     -8.3344    9.5553
29.1037    -8.2894    9.4569
29.188     -8.2926    9.4115
29.279     -8.2408    9.3424
29.3615    -8.2205    9.2754
29.4184    -8.2144    9.2351
29.4749    -8.2102    9.194
29.5639    -8.1792    9.1282



































































































































































29.6103    -8.2282    9.1032     NOSE
29.7098    -8.3251    9.0642
29.739     -8.4045    9.0148
29.8602    -8.4719    8.9202
29.9552    -8.5535    8.8431
30.0421    -8.6052    8.785
30.1607    -8.642     8.6332
30.2215    -8.703     8.5248
30.3064    -8.7364    8.42
30.3911    -8.7748    8.2953
30.5145    -8.8105    8.1532
30.622     -8.797     8.0135
30.7223    -8.7808    7.9304
30.8439    -8.797     7.8215
30.798     -8.7639    7.8194
30.9137    -8.7164    7.7006
30.9617    -8.6801    7.6604
31.0291    -8.6521    7.563
31.0706    -8.5848    7.499
31.0965    -8.5412    7.4833
31.1394    -8.5231    7.4363
31.2401    -8.4681    7.3328
31.2979    -8.3762    7.2747
31.3753    -8.2581    7.1449
31.3895    -8.2424    7.1153
31.4981    -8.1292    6.9518
31.5034    -8.0157    6.8339
31.4436    -7.9273    6.7458
31.4042    -7.8247    6.6813
31.3402    -7.6209    6.7966
31.3585    -7.4022    6.8672
31.2551    -7.388     6.9886
31.1514    -7.3217    7.0823
31.0464    -7.3036    7.2053
30.9281    -7.2266    7.3281
30.7838    -7.2161    7.4731
30.6907    -7.1752    7.5615
30.6084    -7.1528    7.663
30.4673    -7.1369    7.7249
30.3405    -7.1024    7.9083
30.3233    -7.1374    7.942
30.2151    -7.217     8.0444
30.1647    -7.3022    8.2165
30.0956    -7.3771    8.328
30.0506    -7.4343    8.453
29.9836    -7.4681    8.549
29.9171    -7.5433    8.6617
29.8384    -7.6038    8.731
29.7458    -7.6901    8.8437
29.6546    -7.7808    8.9243
29.5576    -7.8991    9.04
29.5625    -8.0672    9.0767




















































































































































31.4207    -7.8263    6.7001     NASP-PR
31.5289    -7.7897    6.5738
31.6454    -7.7835    6.4282
31.7214    -7.7644    6.2552
31.8026    -7.7234    6.175
31.8977    -7.7515    6.0234
31.8954    -7.7415    5.9312
31.8942    -7.7512    5.718
































































































































































































28.9466    -8.7597    9.5442     R-PM/MAX
29.0611    -8.7728    9.4298
29.1951    -8.7615    9.3589
29.3079    -8.7627    9.2851
29.4027    -8.7626    9.1951
29.5267    -8.7624    9.1272
29.5973    -8.79      9.0334
29.7177    -8.7835    8.9709
29.7439    -8.8228    8.8604
29.8509    -8.8269    8.7234
29.9276    -8.8572    8.6428
30.0599    -8.9013    8.5402
30.1372    -8.911     8.4705
30.2106    -8.9365    8.3922
30.2546    -8.9277    8.3455
30.3232    -8.9498    8.2949
30.3989    -8.99      8.2025
30.4652    -9.006     8.1031
30.5105    -9.0502    8.02
30.6032    -9.102     7.8847
30.7104    -9.1039    7.7954
30.7239    -9.0982    7.7874
30.7892    -9.0992    7.685
30.8417    -9.1069    7.6006
30.9272    -9.1301    7.5117
30.9576    -9.1464    7.41
30.9737    -9.1569    7.375
31.1003    -9.174     7.1659
31.1654    -9.1695    7.058
31.2025    -9.1655    6.9068
31.2398    -9.1618    6.8442
31.2778    -9.1614    6.7516
31.3422    -9.1129    6.656
31.4164    -9.1269    6.5321
31.439     -9.1444    6.4341
31.4357    -9.1967    6.3251
31.4997    -9.1838    6.2412
31.4841    -9.214     6.1717
31.4953    -9.1869    6.049
31.4921    -9.1468    5.9187
































































































































































28.739     -7.9731    9.4689     L-PM/MAX
28.8356    -7.8672    9.323
28.9451    -7.7892    9.2117
29.0327    -7.727     9.1553
29.1331    -7.7201    9.1043
29.2066    -7.6544    9.0216
29.3047    -7.6004    8.9299
29.3448    -7.5737    8.8322
29.4538    -7.5031    8.7382
29.5532    -7.4776    8.6601
29.6341    -7.4409    8.6168
29.6911    -7.3719    8.5311
29.7157    -7.3342    8.4871
29.7891    -7.2259    8.3578
29.8669    -7.1794    8.2806
29.9625    -7.1497    8.2154
29.9664    -7.0733    8.1197
30.0258    -7.0271    8.0464
30.0875    -6.9898    7.9678
30.1658    -6.9247    7.8561
30.2641    -6.8854    7.7612
30.3       -6.8414    7.6511
30.3396    -6.7941    7.5655
30.365     -6.788     7.5094
30.3733    -6.7       7.3628
30.6345    -6.6845    7.1678
30.7387    -6.6708    7.0129
30.8602    -6.6991    6.8422
30.9206    -6.6768    6.6685
30.9482    -6.6329    6.5283
30.9921    -6.6341    6.4354
31.0429    -6.6197    6.3371
31.086     -6.5928    6.1954
31.1189    -6.5883    6.0561
31.142     -6.5858    5.9416
31.1459    -6.6241    5.863
31.075     -6.6626    5.7037



































































































































































28.7862    -10.9508   6.2505     ROSTRUM
28.8528    -10.9372   6.4174
28.9396    -10.9069   6.5819
29.0185    -10.8756   6.7661
29.0672    -10.8197   6.9434
29.1001    -10.7905   7.045
29.1349    -10.7148   7.1865
29.1462    -10.6614   7.3347
29.1745    -10.6037   7.4407
29.1738    -10.5439   7.5727
29.1727    -10.4934   7.6709
29.18      -10.4485   7.7659
29.1851    -10.3971   7.8753
29.1999    -10.3316   8.0055
29.2631    -10.2066   8.1934
29.258     -10.1275   8.3013
29.2346    -10.0173   8.4045
29.1914    -9.9595    8.4725
29.1927    -9.8432    8.5514
29.1866    -9.7302    8.6598
29.1954    -9.5966    8.7529
29.1529    -9.4936    8.8222
29.1246    -9.4044    8.8991
29.0924    -9.2681    8.9667
29.0758    -9.2133    9.0145
29.0535    -9.1156    9.0853
29.0319    -8.9752    9.1708
29.0228    -8.9501    9.2302
29.0241    -8.9032    9.3198
29.0559    -8.7492    9.4525
29.0731    -8.6551    9.4936
29.0384    -8.5283    9.5223
29.0243    -8.4224    9.568
28.9835    -8.3426    9.5639
28.9494    -8.1992    9.4501
28.9459    -8.1223    9.4188
28.9061    -8.0657    9.402
28.8551    -7.9526    9.3472
28.8461    -7.8784    9.2686
28.7649    -7.766     9.1816
28.7315    -7.6999    9.1049
28.6943    -7.6542    9.0322
28.6771    -7.6316    8.9991
28.6816    -7.5906    8.9926
28.6749    -7.613     9.0029
28.5699    -7.3915    8.9081
28.6003    -7.289     8.8079
28.5631    -7.2124    8.76
28.5051    -7.1079    8.7062
28.5097    -7.0513    8.6553
28.4442    -6.8512    8.3732
28.3938    -6.7739    8.2769
28.3791    -6.67      8.1211
28.3637    -6.627     8.016
28.319     -6.5717    7.9067
28.2778    -6.5283    7.8459
28.2733    -6.478     7.7562
28.2145    -6.4063    7.6256
28.1854    -6.3577    7.526
28.1654    -6.3413    7.4409
28.1058    -6.2916    7.3319
28.1077    -6.2294    7.2042
28.0873    -6.1855    7.0921
28.0896    -6.1436    7.0069
28.0076    -6.0732    6.6975
27.9666    -6.0582    6.5396
27.98      -6.0712    6.4432
27.9126    -6.056     6.2819
27.8823    -6.0758    6.1639
27.87      -6.0998    6.0442
27.8259    -6.1366    5.9302

































































































































26.5282    -12.6999   12.7611    SUPORB
26.5256    -12.7247   12.9211
26.5493    -12.6828   13.0178
26.5243    -12.6324   13.156
26.5305    -12.5557   13.2529
26.4411    -12.5397   13.3566
26.4418    -12.4711   13.4514
26.3756    -12.4032   13.5518
26.3752    -12.3112   13.6413
26.3699    -12.1082   13.7691
26.5003    -11.8673   13.8271
26.6383    -11.7088   13.8417
26.6591    -11.5907   13.8868
26.7104    -11.4424   13.9287
26.7882    -11.277    13.9649
26.8039    -11.1066   14.0253
26.7793    -10.9124   14.0393
26.7743    -10.6429   14.045
26.815     -10.4699   14.0431
26.8468    -9.7902    13.8937
26.917     -9.6614    13.8841
26.9398    -9.5324    13.8439
26.9498    -9.396     13.8083
26.9688    -9.26      13.807
26.9643    -9.1201    13.7975
26.9787    -9.016     13.7707
27.0125    -8.9485    13.7959
27.036     -8.8606    13.7913
27.0358    -8.7736    13.7974
26.9781    -8.6338    13.8568
26.9095    -8.5075    13.9036
26.8615    -8.3681    13.9629
26.7917    -8.2821    14.0094
26.7621    -8.1962    14.0241
26.7252    -8.0948    14.054
26.6516    -8.0354    14.0647
26.5948    -7.9174    14.0765
26.5579    -7.8015    14.1031
26.537     -7.4756    14.0353
26.4073    -7.2475    14.0085
26.32      -7.109     13.9701
26.201     -6.9476    13.9557
26.0765    -6.8226    13.9401
25.9479    -6.746     13.9258
25.7881    -6.6394    13.8937
25.6443    -6.5489    13.9229
25.5068    -6.4728    13.8961
25.3958    -6.4064    13.9064
25.3656    -6.3701    13.886
25.22      -6.1743    13.8214
25.2141    -6.0371    13.5706
25.2207    -5.9165    13.4231
25.2354    -5.8246    13.2814
25.1982    -5.7642    13.1516
25.2338    -5.6598    12.9996
25.2147    -5.6141    12.8669
25.214     -5.593     12.7562
25.2135    -5.5016    12.6397
25.2568    -5.4206    12.4909













































































































































27.6765    -10.5414   10.636     RORBIT
27.6508    -10.6985   10.6947
27.6717    -10.8308   10.7082
27.619     -10.9827   10.8179
27.606     -11.1022   10.8615
27.5624    -11.1646   10.9371
27.4889    -11.3185   11.0685
27.508     -11.4408   11.165
27.4576    -11.4926   11.2355
27.4034    -11.5491   11.3394
27.3456    -11.5929   11.4119
27.2867    -11.6912   11.4535
27.26      -11.8853   11.608
27.2038    -11.943    11.6652
27.1733    -12.0323   11.8136
27.1432    -12.0621   11.8781
27.0985    -12.1204   11.9667
27.0717    -12.1337   12.0532
27.0556    -12.1137   12.1457
27.0272    -12.1044   12.2819
27.0087    -12.134    12.3858
27.0002    -12.1251   12.4269
27.0119    -12.1131   12.5616
27.0117    -12.1296   12.6797
26.9979    -12.0256   12.7617
27.0322    -11.9122   12.9101
27.0714    -11.7468   13.0715
27.1231    -11.6059   13.1846
27.1484    -11.4473   13.2297
27.2131    -11.2845   13.3258
27.161     -11.1668   13.2523
27.1946    -11.0012   13.2912
27.2584    -10.8283   13.3281
27.2184    -10.7198   13.263
27.2138    -10.6348   13.2632
27.2403    -10.5135   13.2334
27.2735    -10.4061   13.2026
27.2318    -10.273    13.1896
27.152     -9.9413    13.2848
27.1602    -9.7815    13.2442
27.1787    -9.5777    13.2091
27.1787    -9.4572    13.1441
27.1925    -9.3606    13.0602
27.1868    -9.312     12.8993
27.1692    -9.2802    12.7807
27.1059    -9.2637    12.5852
27.0345    -9.2832    12.4424
26.936     -9.3524    12.3871
26.9351    -9.3488    12.2523
26.9508    -9.3481    12.1129
26.9572    -9.3843    11.9977
26.9674    -9.4126    11.9087




















































































































































26.8856    -7.0255    10.5511    LORBIT
26.8633    -6.8315    10.6148
26.7161    -6.7589    10.7152
26.6588    -6.6469    10.7618
26.6192    -6.4961    10.8199
26.5687    -6.3988    10.8885
26.4713    -6.2509    11.0033
26.4317    -6.2134    11.0783
26.333     -6.1374    11.2459
26.1709    -6.1346    11.3649
26.2097    -6.0257    11.4334
26.0712    -6.0188    11.5803
26.0418    -5.9303    11.7127
25.9687    -5.8946    11.8071
26.0035    -5.8453    11.9177
25.9685    -5.8634    12.0341
25.8768    -5.8685    12.2259
25.8741    -5.8587    12.2956
25.8615    -5.8971    12.4987
25.8684    -5.8597    12.6108
25.9219    -5.9228    12.7935
25.987     -6.0028    12.9547
26.0307    -6.0813    13.0539
26.0713    -6.1472    13.1748
26.0632    -6.2769    13.2165
26.1485    -6.4424    13.243
26.2335    -6.5102    13.2817
26.2928    -6.6443    13.3196
26.3943    -6.732     13.3521
26.4643    -6.8023    13.3561
26.5339    -7.0211    13.3207
26.6191    -7.1578    13.3009
26.6898    -7.2369    13.2893
26.7387    -7.3442    13.2732
26.8105    -7.4654    13.2144
26.9091    -7.776     13.2833
26.9481    -7.957     13.2708
26.986     -8.1011    13.2461
26.9969    -8.2946    13.1692
26.9568    -8.3633    13.0888
26.8883    -8.4398    12.904
26.9129    -8.5015    12.7023
26.9279    -8.5582    12.5086
26.9335    -8.5895    12.3112
26.9141    -8.5615    12.1272
26.9072    -8.5213    11.9808
26.8684    -8.4653    11.8442
26.9514    -8.4083    11.652
26.9788    -8.3821    11.5537























































































































































9999       9999       9999       RTEMFOS







































































































































































































9999       9999       9999       LTEMFOS







































































































































































































29.6144    -8.346     11.4836    OP
27.9963    -8.5747    11.4828    BA
22.7752    -9.2734    11.711     ST
18.4946    -9.7878    12.4975    IV
9999       9999       9999       R_PG
9999       9999       9999       R_ZTI
22.8476    -11.5853   13.0204    R_M3D
20.2538    -12.179    12.9796    R_M12
18.0969    -11.7738   12.9672    R_MP3
