NME        RVRME  KL 3To3sf
9999       9999       9999       IN
9999       9999       9999       BR
28.66      -8.0961    13.7569    GL
28.7401    -8.0855    13.0644    NA
9999       9999       9999       RH
34.9551    -6.419     5.8708     NS
35.5492    -6.2266    4.0846     PR
35.4295    -6.9894    3.9312     R_PR2
32.2318    -8.0176    9.1005     R_PMS
30.0947    -11.3834   7.6158     R_ZMI
29.2098    -9.9159    11.1641    R_ZMU
28.6442    -8.6711    12.2488    R_DA
28.8476    -10.1185   14.1818    R_MTI
28.3016    -10.2491   15.1033    R_MTS
28.4544    -11.9911   12.7266    R_FMO
27.9566    -13.1434   12.9336    R_FMT
21.0904    -14.7243   11.4033    R_PO
28.6098    -14.4497   9.6011     R_ZTS
35.2847    -5.6128    4.1908     L_PR2
31.1662    -6.8593    9.7673     L_PMS
28.611     -4.5646    7.3436     L_ZMI
28.4851    -6.1258    11.0919    L_ZMU
28.7177    -7.5311    12.1146    L_DA
27.9542    -6.1373    14.3266    L_MTI
27.2727    -6.4709    15.2543    L_MTS
26.6485    -4.8074    12.9843    L_FMO
25.6119    -3.9169    12.8898    L_FMT
18.7851    -6.1587    11.2398    L_PO
24.9911    -2.3547    10.1286    L_ZTS
34.2065    -9.0693    5.8394     O1
27.1455    -2.6358    8.8537     O2
28.2154    -12.1052   14.4844    O3
17.3673    -10.2858   13.9614    O4







































































































































































28.6638    -8.0909    13.7148    GLRH
28.6903    -8.0747    13.5628
28.687     -8.0912    13.4124
28.713     -8.0831    13.2381
28.7694    -8.0397    12.993
28.8289    -8.0143    12.6223
28.8713    -8.0421    12.448
28.9182    -8.0151    12.2766
28.9954    -8.0011    12.1137
29.0347    -7.9982    12.0119
29.1881    -7.9306    11.8574
29.4022    -7.964     11.583
29.5295    -7.9002    11.4352
29.6742    -7.8686    11.2474
29.7859    -7.8218    11.1364
29.839     -7.7911    11.052
30.1179    -7.7674    10.8448
30.297     -7.72      10.6483
30.449     -7.7006    10.4481
30.6244    -7.6428    10.2651
30.8118    -7.6191    10.1373
31.0225    -7.6129    9.9853
31.1473    -7.6047    9.9071
31.274     -7.539     9.7605
















































































































































































32.8756    -7.8993    8.627      NOSE
32.9853    -7.9402    8.5051
33.104     -7.9991    8.3369
33.2306    -8.0643    8.1864
33.3655    -8.0936    8.094
33.5086    -8.1353    7.9792
33.6214    -8.1806    7.8985
33.773     -8.1913    7.7966
33.8941    -8.1968    7.6766
34.0051    -8.2057    7.5504
34.0631    -8.1792    7.4628
34.1533    -8.1866    7.3398
34.2598    -8.2505    7.2103
34.4263    -8.2276    7.056
34.5053    -8.1444    6.9469
34.5844    -8.0556    6.7649
34.6482    -7.9528    6.6501
34.7062    -7.8489    6.5486
34.7236    -7.7427    6.4877
34.8374    -7.5507    6.3308
34.8659    -7.4106    6.2951
34.9273    -7.2981    6.2348
34.9678    -7.2304    6.1435
34.9739    -7.1011    6.0698
35.012     -6.957     6.0025
