AMNH       102205     Psmm053z
14.7514    13.6488    8.5483     IN
17.0295    16.6018    10.0141    BR
19.7101    19.6254    6.795      GL
19.6892    19.6549    6.75       NA
19.6949    19.6265    6.0166     RH
19.8011    19.8413    4.5254     NS
19.8996    19.975     4.2534     PR
20.236     19.6217    4.3082     R_PR2
19.7693    19.3123    6.4198     R_PMS
20.9588    17.0321    4.5899     R_ZMI
20.7977    17.8388    5.2817     R_ZMU
19.3644    18.7413    6.4826     R_DA
20.5607    17.9339    7.4295     R_MTI
20.5344    17.9114    7.6178     R_MTS
21.1127    17.1241    6.7263     R_FMO
21.1198    16.6578    6.8975     R_FMT
18.4905    13.7774    6.0987     R_PO
20.7731    15.7403    5.3376     R_ZTS
19.4891    20.2075    4.2535     L_PR2
19.2802    19.6425    6.3898     L_PMS
16.7935    20.3436    4.5503     L_ZMI
17.6311    20.4066    5.3122     L_ZMU
18.9322    19.1873    6.4999     L_DA
17.9559    20.2194    7.4362     L_MTI
18.0431    20.1656    7.5791     L_MTS
16.9271    20.6117    6.6852     L_FMO
16.4793    20.529     6.9467     L_FMT
14.1503    17.322     5.9665     L_PO
15.694     20.0753    5.2897     L_ZTS
14.4908    14.0144    8.6737     O1
18.4111    13.9612    8.3121     O2
20.3837    18.8621    4.8348     O3
16.7449    20.1365    7.2526     O4







































































































































































19.7258    19.6102    6.7917     GLRH
19.7251    19.6376    6.7076
19.7258    19.6513    6.5384
19.7315    19.6339    6.3498
19.7373    19.6317    6.1858
19.7037    19.6309    6.1002
19.7165    19.6112    6.0368
19.7065    19.6181    5.9938
































































































































































































19.7093    19.5917    5.9954     NOSE
19.8275    19.463     5.9256
19.8726    19.3582    5.8714
19.912     19.3145    5.8137
19.9208    19.2726    5.5585
19.9634    19.2558    5.3803
19.9685    19.2767    5.1326
19.9778    19.413     4.8964
19.931     19.5344    4.7925
19.8805    19.6895    4.6447
19.8071    19.7702    4.5479
19.7913    19.8118    4.5493
19.6572    19.9177    4.703
19.4752    19.9183    4.8429
19.3104    19.9049    4.9833
19.2548    19.8723    5.25
19.2779    19.823     5.4974
19.3544    19.7843    5.8828
19.4909    19.7162    5.9585
19.6396    19.611     5.962




















































































































































































19.8336    19.8533    4.5151     NASP-PR
19.8725    19.8936    4.4614
19.9071    19.9228    4.4004
19.9095    19.963     4.3428
19.8891    19.975     4.2792
19.8981    19.9584    4.2368


































































































































































































19.7864    19.2888    6.427      R-PM/MAX
19.8359    19.2166    6.2183
19.8516    19.2221    6.0703
19.9214    19.1364    5.8138
19.935     19.0964    5.639
19.9573    19.0731    5.5147
20.0178    19.0431    5.4051
20.099     19.0053    5.1377
20.1484    19.0293    5.0562
20.1934    19.0649    4.9347
20.2949    19.1184    4.7164
20.3686    19.1747    4.4985
20.4548    19.2019    4.3481
20.4473    19.2245    4.2469
20.3531    19.237     4.1306

























































































































































































19.2601    19.6703    6.2879     L-PM/MAX
19.2202    19.7066    6.1155
19.1427    19.7567    5.9453
19.1196    19.7938    5.6821
19.0645    19.8841    5.3773
18.9483    19.9919    5.0695
18.9318    20.1094    4.866
18.9597    20.2259    4.6231
19.0142    20.3099    4.4731
19.052     20.3536    4.3199
19.0353    20.3429    4.3158
19.0245    20.3242    4.1876




























































































































































































20.2185    17.6493    4.0431     ROSTRUM
20.2727    17.7289    4.2389
20.301     17.7945    4.3163
20.3925    17.9369    4.5415
20.3392    18.0194    4.6379
20.3577    18.1008    4.6994
20.301     18.1802    4.735
20.2347    18.3559    4.9885
20.2552    18.4266    5.0556
20.23      18.542     5.151
20.0936    18.7895    5.3557
20.0376    18.8395    5.4283
19.9913    18.9208    5.5223
19.9487    18.9936    5.6976
19.8802    19.2117    6.049
19.8641    19.3104    6.1369
