UWMA       SWP12      Pxs1stv
9.0299     26.1906    7.3773     IN
9999       9999       9999       BR
9999       9999       9999       GL
9999       9999       9999       NA
9.785      14.8359    6.1449     RH
10.0048    13.4401    3.6055     NS
10.2305    12.7809    2.8095     PR
9.399      12.7743    2.8974     R_PR2
9.1034     15.2449    6.1044     R_PMS
6.53       17.4876    4.5133     R_ZMI
7.8767     16.8091    6.7175     R_ZMU
9999       9999       9999       R_DA
9999       9999       9999       R_MTI
9999       9999       9999       R_MTS
9999       9999       9999       R_FMO
9999       9999       9999       R_FMT
5.8122     22.7466    6.1313     R_PO
9999       9999       9999       R_ZTS
10.7914    12.936     2.8065     L_PR2
10.4248    15.8479    6.4963     L_PMS
13.1685    17.3896    4.9362     L_ZMI
11.6535    16.9965    6.9572     L_ZMU
9999       9999       9999       L_DA
9999       9999       9999       L_MTI
9999       9999       9999       L_MTS
9999       9999       9999       L_FMO
9999       9999       9999       L_FMT
12.9991    22.9721    6.8273     L_PO
14.1736    18.9857    6.4208     L_ZTS
8.8821     13.3718    3.5104     O1
13.8919    17.9836    5.9449     O2
6.0653     18.9216    7.5114     O3
10.9313    25.8635    7.602      O4







































































































































































9999       9999       9999       GLRH







































































































































































































9.8462     14.8712    6.1398     NOSE
9.599      14.8933    5.9825
9.4028     14.8831    5.8224
9.2337     14.883     5.6348
9.1374     14.8314    5.477
9.1017     14.6841    5.2828
9.072      14.4821    5.0646
9.0414     14.412     4.906
9.0709     14.2695    4.6803
9.1313     14.109     4.4801
9.1701     13.8738    4.1492
9.2596     13.7283    4.0878
9.3771     13.5634    3.9268
9.5192     13.4228    3.779
9.6818     13.3281    3.6342
9.8946     13.3118    3.5551
10.0832    13.4181    3.5556
10.2038    13.418     3.5834
10.4344    13.5448    3.7102
10.5598    13.6255    3.8119
10.7092    13.7207    3.9666
10.7753    13.8351    4.1894
10.8504    14.0191    4.4458
10.7984    14.2409    4.6685
10.8229    14.3735    4.8524
10.7953    14.5025    4.9781
10.742     14.612     5.1267
10.6831    14.808     5.3596
10.6624    14.9099    5.5314
10.6221    14.9996    5.6989
10.4678    15.0419    5.882
10.3264    15.013     6.0117
10.1688    14.9533    6.084
10.0399    14.9005    6.1551
9.7533     14.8706    6.1421





































































































































































10.0943    13.3937    3.5533     NASP-PR
10.1053    13.1871    3.343
10.126     13.0469    3.186
10.1413    12.9153    2.9995
10.1751    12.8421    2.8846



































































































































































































9.0801     15.2901    6.0903     R-PM/MAX
9.0073     15.111     5.8499
8.9396     14.9973    5.626
8.9165     14.848     5.4093
8.8749     14.7316    5.2455
8.8692     14.6097    5.0958
8.8827     14.4379    4.8409
8.9063     14.2633    4.6677
8.9279     14.1111    4.4659
8.9416     13.9656    4.2892
8.9481     13.8277    4.1515
8.9143     13.704     4.0062
8.8308     13.5643    3.8489
8.6399     13.3688    3.2952
8.6364     13.2598    3.025
8.6566     13.2467    2.8033
8.752      13.3068    2.5925























































































































































































10.3413    15.4615    6.3301     L-PM/MAX
10.4347    15.302     6.1733
10.5103    15.1314    5.9533
10.616     15.103     5.8107
10.746     15.0415    5.596
10.78      14.986     5.4812
10.816     14.8202    5.3654
10.8594    14.6411    5.1516
10.8839    14.5288    4.9905
10.9523    14.4028    4.8662
10.9821    14.274     4.7189
11.0259    14.12      4.5575
11.0708    13.9963    4.3671
11.1091    13.8462    4.2643
11.0527    13.7698    4.1272
11.101     13.7079    3.9944
11.25      13.6275    3.8193
11.3504    13.5761    3.7016
11.4722    13.5378    3.5083
11.5453    13.5244    3.2844
11.5887    13.5053    3.0991
11.5839    13.488     2.9229
11.577     13.5208    2.7924

















































































































































































7.4105     16.1362    2.9777     ROSTRUM
7.3367     16.0801    3.3619
7.3923     16.0973    3.6294
7.4464     16.0521    3.8394
7.5016     16.12      4.0545
7.5627     16.13      4.2584
7.6577     16.0728    4.5315
7.7762     16.046     4.7787
7.8225     16.041     4.9517
7.9765     15.9708    5.1802
8.086      15.9323    5.3854
8.2085     15.9269    5.6733
8.3429     15.875     5.7928
8.484      15.8453    5.935
8.6143     15.8228    6.0776
8.7467     15.8294    6.1854
9.0045     15.7686    6.3919
9.1439     15.7853    6.5093
9.3343     15.7646    6.5597
9.5172     15.7648    6.6049
9.7378     15.7452    6.6301
10.0404    15.75      6.5046
10.2149    15.7076    6.4478
10.6128    15.7083    6.119
10.7698    15.6965    5.9594
11.0042    15.6996    5.7856
11.2888    15.6808    5.5445
11.4419    15.7404    5.3333
11.5522    15.7232    5.1156
11.6232    15.7178    4.8695
11.7194    15.7829    4.5971
11.8202    15.8828    4.438
11.9503    15.9133    4.2641
12.1031    15.9799    4.0819
12.2801    16.021     3.9107
12.3494    16.0559    3.8254
12.4058    16.0778    3.6689
12.4517    16.1148    3.5421
12.4619    16.0771    3.303

































































































































































9999       9999       9999       SUPORB







































































































































































































9999       9999       9999       RORBIT







































































































































































































9999       9999       9999       LORBIT

































































































































































































