NMNH       257997     Pyg2stv
0.1172     12.6817    5.1294     IN
-0.0891    9.4197     8.0569     BR
-0.3481    4.4088     6.4463     GL
-0.327     4.2798     6.0705     NA
-0.3832    4.0376     4.5976     RH
-0.4753    2.8154     3.2384     NS
-0.5164    2.1823     2.7866     PR
-1.0236    2.3545     2.7414     R_PR2
-0.3582    4.2849     5.9964     R_PMS
-3.2192    4.6572     3.1676     R_ZMI
-2.7876    4.5262     4.4021     R_ZMU
-0.9038    4.6116     5.7401     R_DA
-2.077     4.9957     6.5816     R_MTI
-2.0315    5.2163     7.0342     R_MTS
-3.5342    5.3411     5.5669     R_FMO
-3.7716    5.9184     6.1431     R_FMT
-3.1011    9.7251     3.7674     R_PO
-4.1436    5.8837     3.6785     R_ZTS
0.0681     2.3174     2.7672     L_PR2
-0.1494    4.3169     5.8408     L_PMS
2.5968     4.5117     3.0956     L_ZMI
2.2033     4.3666     4.4473     L_ZMU
0.2979     4.7212     5.7378     L_DA
1.4681     4.8365     6.6296     L_MTI
1.3428     5.1514     7.1366     L_MTS
2.9678     5.1228     5.7551     L_FMO
3.3594     5.5539     6.0771     L_FMT
3.117      9.4148     3.9921     L_PO
3.6114     5.4509     3.7092     L_ZTS
-0.1208    2.3077     3.1971     O1
-3.1624    6.1958     6.4522     O2
3.9763     7.7283     3.7654     O3
-0.5605    12.5832    5.3249     O4







































































































































































-0.3261    4.4443     6.5528     GLRH
-0.3585    4.3659     6.2673
-0.3524    4.3045     6.1022
-0.3704    4.2588     5.861
-0.3593    4.2278     5.6513
-0.3174    4.2081     5.4189
-0.3144    4.2151     5.2487
-0.3313    4.2041     5.1442
-0.3363    4.1734     4.9831
-0.3666    4.1249     4.8493
-0.3589    4.0662     4.7443
-0.3716    4.0395     4.5978




























































































































































































-0.3542    4.0427     4.547      NOSE
-0.5819    4.1202     4.5407
-0.7604    4.1027     4.5057
-0.8974    3.9786     4.3612
-0.9917    3.8387     4.1555
-1.0975    3.6591     4.0423
-1.14      3.4799     3.9218
-1.0796    3.2952     3.7815
-0.9714    3.093      3.68
-0.8197    2.9198     3.5603
-0.6993    2.7926     3.4411
-0.5487    2.756      3.2706
-0.4348    2.726      3.2251
-0.2368    2.8403     3.4599
-0.1511    2.8641     3.5643
-0.018     3.0062     3.6748
0.0846     3.1581     3.7505
0.2214     3.2452     3.8611
0.2305     3.4588     3.9792
0.242      3.6147     4.0869
0.2528     3.7695     4.2442
0.153      3.9337     4.348
0.097      3.9948     4.4687
0.0155     4.0367     4.5832
-0.1699    4.0539     4.6268
-0.384     4.0362     4.5968














































































































































































-0.4503    2.6332     3.195      NASP-PR
-0.4726    2.48       3.1298
-0.4736    2.3493     3.0452
-0.4841    2.2656     2.9382
-0.4846    2.2064     2.8424
-0.4822    2.1751     2.777


































































































































































































-0.4138    4.2303     5.5124     R-PM/MAX
-0.5347    4.2784     5.3323
-0.647     4.337      5.1375
-0.7736    4.3224     4.975
-0.9692    4.292      4.7958
-1.0936    4.2161     4.5765
-1.1589    4.0856     4.3904
-1.2502    4.0066     4.1965
-1.3058    3.8793     4.0662
-1.4404    3.8231     3.964
-1.5002    3.5725     3.8017
-1.5594    3.4597     3.6573
-1.5658    3.2848     3.4958
-1.5627    3.0592     3.3439
-1.5805    2.879      3.1844
-1.5672    2.745      3.0643
-1.5341    2.6453     2.9575
-1.403     2.6372     2.7494






















































































































































































-0.1873    4.2667     5.6949     L-PM/MAX
-0.1127    4.2609     5.3361
0.0017     4.2553     5.1153
0.1005     4.2735     5.038
0.2056     4.2452     4.8998
0.2917     4.1974     4.7242
0.4159     4.1362     4.5355
0.5302     4.0105     4.2641
0.6581     3.8034     4.0713
0.7349     3.5886     3.9218
0.7499     3.3727     3.7425
0.7042     3.1502     3.584
0.6093     2.9174     3.4209
0.6336     2.7154     3.2636
0.6398     2.5457     3.069
0.5784     2.5189     2.9065
0.5447     2.5243     2.8281
0.4987     2.5288     2.743






















































































































































































-2.214     3.9587     2.2671     ROSTRUM
-2.2298    3.9348     2.7298
-2.145     3.9533     3.1203
-1.9404    3.957      3.4416
-1.7678    4.0182     3.736
-1.6536    4.0713     3.915
-1.4874    4.1142     4.0952
-1.3246    4.1139     4.2309
-1.1989    4.127      4.3925
-1.0528    4.1563     4.5469
-0.8838    4.1268     4.6776
-0.7364    4.145      4.7366
-0.5752    4.1434     4.7692
-0.4201    4.1231     4.8251
-0.2713    4.1025     4.8405
-0.0983    4.1064     4.8174
0.0113     4.0969     4.814
0.1423     4.0537     4.6823
0.3387     4.0612     4.5561
0.4337     4.0476     4.413
0.5609     4.0139     4.2497
0.7997     3.9927     4.1027
0.9429     3.9672     3.9169
1.0925     3.9003     3.7039
1.2436     3.853      3.4685
1.3926     3.802      3.1171
1.4651     3.786      2.8989
1.5026     3.7839     2.624
1.497      3.7704     2.4199
1.4786     3.7494     2.2157










































































































































































-3.7936    5.9003     6.1094     SUPORB
-3.69      5.878      6.273
-3.5051    5.8395     6.423
-3.2836    5.7702     6.6334
-3.0371    5.7201     6.7685
-2.7811    5.6394     6.8693
-2.3176    5.4852     6.9861
-2.0354    5.3742     7.0623
-1.5529    5.1883     7.1089
-1.2977    5.0974     7.1067
-0.9652    4.9983     7.0708
-0.7606    4.9147     7.0499
-0.5012    4.8355     7.0026
-0.3274    4.8025     6.9849
-0.1071    4.8812     7.0156
0.1467     4.8497     7.0451
0.3796     4.8825     7.0687
0.6752     4.9369     7.1092
0.8497     4.9844     7.13
1.1466     5.0599     7.1467
1.3533     5.1506     7.137
1.5898     5.2189     7.0936
1.8108     5.3078     7.0447
2.0553     5.4035     6.9957
2.3139     5.4745     6.9228
2.5232     5.4952     6.8411
2.6602     5.5794     6.7938
2.84       5.6141     6.6873
3.0726     5.6324     6.5049
3.217      5.6453     6.3531
3.3004     5.5966     6.2442
3.3573     5.5627     6.1094








































































































































































-2.8344    4.5531     4.4231     RORBIT
-3.023     4.6442     4.4428
-3.1932    4.7794     4.5418
-3.3078    4.903      4.6441
-3.3789    5.022      4.7778
-3.4624    5.1357     4.952
-3.5054    5.2181     5.1049
-3.5091    5.2952     5.2484
-3.4857    5.3335     5.4609
-3.4633    5.4175     5.737
-3.3593    5.3313     6.0031
-3.1386    5.2569     6.3521
-2.8461    5.2389     6.4784
-2.6558    5.1941     6.5731
-2.4202    5.1023     6.6285
-2.2753    5.0273     6.6388
-2.1046    4.9666     6.6256
-1.9279    4.9426     6.6792
-1.691     4.8703     6.6621
-1.4739    4.8104     6.5245
-1.0788    4.7088     6.475
-0.9217    4.6643     6.3089
-0.9354    4.6322     6.1509
-0.9291    4.6058     5.9991
-0.8921    4.6169     5.818















































































































































































2.2404     4.3364     4.453      LORBIT
2.3818     4.4178     4.4861
2.5438     4.4732     4.5568
2.6781     4.5726     4.647
2.7866     4.6457     4.7232
2.8135     4.7205     4.8178
2.9107     4.7635     4.9742
3.0037     4.8754     5.1656
3.0077     4.9321     5.3161
3.0599     4.9856     5.4808
3.0089     5.0737     5.769
2.98       5.039      6.0619
2.8496     5.0272     6.1772
2.6337     5.015      6.3548
2.4001     4.956      6.5805
2.1792     4.96       6.6186
1.9066     4.9334     6.6665
1.7406     4.8597     6.6978
1.5889     4.7873     6.6877
1.3994     4.7642     6.6325
1.2618     4.7695     6.6543
1.0606     4.6973     6.613
0.8346     4.6651     6.5478
0.3836     4.6084     6.3986
0.3335     4.6117     6.0824
0.3285     4.5914     5.9415
0.2601     4.5553     5.8124













































































































































































-3.8083    5.9027     6.0915     RTEMFOS
-3.8602    5.8669     5.9084
