NMNH       256916     Pyg3stv
9999       9999       9999       IN
9999       9999       9999       BR
-0.3298    5.9985     7.4159     GL
-0.32      5.9732     6.9213     NA
-0.295     5.9489     5.66       RH
-0.3604    5.1133     3.5515     NS
-0.3421    4.6983     2.8414     PR
-0.8073    4.7561     2.8695     R_PR2
-0.5174    6.044      6.12       R_PMS
-2.978     7.1273     4.2113     R_ZMI
-2.3858    6.5699     5.176      R_ZMU
-0.801     6.4937     6.6848     R_DA
-1.9896    6.4075     7.5716     R_MTI
-1.9451    6.5834     8.0018     R_MTS
-3.5211    7.102      6.8785     R_FMO
-3.8068    7.7817     7.0328     R_FMT
-3.3119    11.833     5.6229     R_PO
-4.02      8.1674     5.0471     R_ZTS
0.1916     4.7258     2.9037     L_PR2
-0.1797    5.9693     6.1648     L_PMS
2.4584     7.0403     4.2556     L_ZMI
1.8233     6.503      5.2426     L_ZMU
0.2153     6.5133     6.6951     L_DA
1.5825     6.4384     7.6593     L_MTI
1.4554     6.6033     8.0978     L_MTS
3.001      6.9807     7.0601     L_FMO
3.2468     7.6245     7.2182     L_FMT
2.7175     11.8005    5.5533     L_PO
3.5104     7.9795     5.0564     L_ZTS
-0.0449    4.5157     2.4086     O1
-3.4946    8.0521     7.391      O2
3.6077     10.3411    5.2201     O3
-2.9399    12.8289    7.5238     O4







































































































































































-0.3233    6.0076     7.459      GLRH
-0.3085    5.9928     7.2994
-0.3131    5.9786     7.1165
-0.31      5.959      6.9118
-0.3471    5.9497     6.6796
-0.3267    5.9406     6.4859
-0.3219    5.9354     6.3187
-0.3062    5.9512     6.1064
-0.3079    5.9602     5.9426
-0.2808    5.9391     5.7853
-0.2981    5.9424     5.6796





























































































































































































-0.3174    5.9657     5.6545     NOSE
-0.5506    5.9722     5.5739
-0.6434    5.9788     5.3851
-0.7427    5.9468     5.223
-0.7914    5.8779     5.0238
-0.8712    5.8085     4.8573
-0.8618    5.7488     4.6777
-0.8635    5.6202     4.4756
-0.8893    5.4746     4.2565
-0.8319    5.3351     4.0887
-0.747     5.2172     3.9086
-0.6089    5.1222     3.7071
-0.4968    5.0904     3.5916
-0.3763    5.117      3.5546
-0.2048    5.1331     3.6687
-0.058     5.1608     3.8087
0.0563     5.2068     3.9374
0.1407     5.2951     4.1139
0.2111     5.4268     4.2988
0.191      5.5461     4.4802
0.2413     5.646      4.646
0.279      5.7199     4.8239
0.2344     5.7964     4.9879
0.1991     5.8639     5.1655
0.1464     5.8994     5.3311
0.0608     5.9307     5.4671
-0.0292    5.9529     5.5343
-0.1115    5.9574     5.5872
-0.2697    5.9733     5.653






























































































































































