NMNH       357628     Pyn3stv
2.3192     13.6268    4.9631     IN
2.461      10.2854    8.057      BR
2.8876     5.1952     6.682      GL
2.9045     4.9513     6.1771     NA
2.9395     4.3589     5.0016     RH
3.0681     2.8584     3.4059     NS
3.0653     2.4954     2.8282     PR
2.5481     2.6082     2.8354     R_PR2
2.6352     4.8524     5.9169     R_PMS
0.2817     5.1614     3.2494     R_ZMI
0.7257     4.9702     4.512      R_ZMU
2.1449     5.4567     5.5272     R_DA
0.7523     5.6007     6.7755     R_MTI
0.8574     5.7957     7.1803     R_MTS
-0.4423    5.7235     6.0567     R_FMO
-0.8448    6.4438     6.187      R_FMT
-0.5319    10.0244    3.6811     R_PO
-1.053     6.403      3.7074     R_ZTS
3.6197     2.5887     2.8501     L_PR2
3.1747     4.9142     5.882      L_PMS
5.4846     5.4486     3.198      L_ZMI
5.0074     5.3222     4.4215     L_ZMU
3.5945     5.5493     5.5834     L_DA
4.759      5.7538     6.7647     L_MTI
4.7317     6.012      7.1216     L_MTS
6.2204     6.1276     6.0418     L_FMO
6.4504     6.9463     5.9555     L_FMT
5.5711     10.5335    3.4526     L_PO
6.7156     6.7911     3.5657     L_ZTS
2.7538     2.4093     3.11       O1
5.9791     7.0325     6.3084     O2
-1.0686    9.0889     3.6191     O3
3.1129     13.5322    5.4031     O4







































































































































































2.9202     5.2241     6.7189     GLRH
2.8757     5.1681     6.5825
2.8988     5.0797     6.3988
2.9243     4.9975     6.2768
2.9082     4.9414     6.1453
2.9063     4.8755     6.0238
2.9147     4.8213     5.902
2.9411     4.7615     5.7581
2.9491     4.7179     5.6459
2.9535     4.6605     5.5099
2.9534     4.5879     5.3601
2.9508     4.5314     5.2473
2.9622     4.4943     5.1518
2.9697     4.4498     5.0867
2.971      4.3658     5.011

























































































































































































2.8921     4.3605     4.9822     NOSE
2.6839     4.2983     4.9563
2.5795     4.2447     4.8559
2.4824     4.1499     4.6836
2.4294     4.0518     4.5341
2.3895     3.9019     4.3768
2.3502     3.7627     4.2464
2.3573     3.59       4.1014
2.3837     3.4169     3.9563
2.4618     3.2573     3.8345
2.6122     3.0736     3.7109
2.7554     2.9699     3.6118
2.897      2.8892     3.4768
3.008      2.834      3.4112
3.1384     2.8325     3.4054
3.2631     2.9029     3.4684
3.4856     3.0222     3.6697
3.5879     3.2464     3.7848
3.6867     3.5007     3.9431
3.6913     3.699      4.0664
3.6527     3.8554     4.1875
3.5868     3.9707     4.2887
3.5098     4.0942     4.4133
3.4527     4.1662     4.5075
3.4341     4.2145     4.5944
3.4147     4.288      4.7415
3.3626     4.3322     4.8524
3.2295     4.3421     4.8986
2.9362     4.3549     4.9763















































































