AMNH       87255      Pyn9stv
-0.8158    15.5403    6.647      IN
-0.556     12.3036    9.2567     BR
-0.0945    6.7427     7.3325     GL
-0.0231    6.5898     6.8852     NA
0.0225     6.0633     5.3339     RH
0.0844     4.7217     3.0686     NS
0.0739     4.334      2.4102     PR
-0.49      4.4061     2.476      R_PR2
-0.241     6.4873     6.3095     R_PMS
-2.8855    7.1751     3.827      R_ZMI
-1.93      6.8496     5.0981     R_ZMU
-0.8405    6.9177     6.2151     R_DA
-2.2255    7.2382     7.5609     R_MTI
-2.0968    7.3388     7.8825     R_MTS
-3.4444    7.2493     6.818      R_FMO
-3.604     8.0344     7.4883     R_FMT
-3.866     12.1       5.211      R_PO
-4.1272    8.1096     4.5886     R_ZTS
0.6379     4.5229     2.3867     L_PR2
0.3465     6.541      6.1266     L_PMS
2.4847     7.7418     3.5516     L_ZMI
1.9779     7.3022     4.9092     L_ZMU
0.7797     7.1293     6.108      L_DA
2.0196     7.6528     7.3563     L_MTI
1.9379     7.659      7.7104     L_MTS
3.2703     7.919      6.7011     L_FMO
3.3647     8.6785     7.1321     L_FMT
2.6402     12.7903    4.9648     L_PO
3.7091     9.1353     4.2352     L_ZTS
-0.6723    4.5913     3.1688     O1
3.1468     8.7541     7.2098     O2
-4.4784    9.6296     4.7785     O3
-0.1986    15.3319    7.1981     O4







































































































































































-0.0329    6.7288     7.3198     GLRH
-0.0094    6.684      7.1418
0.0327     6.6125     6.9496
0.0371     6.5386     6.7142
0.0355     6.5193     6.5202
0.0536     6.4581     6.3316
0.0462     6.4089     6.1419
0.0399     6.3688     5.9579
0.0426     6.3113     5.7666
0.0723     6.2465     5.6118
0.0372     6.1875     5.4843
0.0543     6.118      5.4127
0.0351     6.0555     5.3198



























































































































































































0.0418     6.0709     5.3541     NOSE
-0.1777    6.0936     5.3028
-0.316     6.0478     5.1339
-0.4239    5.9584     4.9444
-0.5659    5.8031     4.706
-0.6086    5.6378     4.4499
-0.6298    5.5281     4.2951
-0.6656    5.3774     4.0448
-0.6529    5.2771     3.8805
-0.5971    5.1083     3.679
-0.4885    4.9739     3.4955
-0.3657    4.8649     3.3757
-0.1725    4.8013     3.1768
-0.0158    4.8048     3.1113
0.1177     4.8449     3.0982
0.3512     4.8629     3.1716
0.5501     4.8593     3.2703
0.6628     5.0337     3.4314
0.6852     5.2237     3.6386
0.7452     5.3654     3.8113
0.7187     5.4705     3.9532
0.7476     5.5961     4.1279
0.7637     5.7367     4.2891
0.6807     5.8756     4.4739
0.5589     6.0131     4.6793
0.5705     6.067      4.9125
0.3484     6.1546     5.1387
0.225      6.1568     5.2403
0.0414     6.0996     5.3649











































































































































































0.1421     4.6681     3.0365     NASP-PR
0.1358     4.4585     2.8649
0.0813     4.3354     2.6101
0.0599     4.3212     2.4825
0.0585     4.3579     2.3675



































































































































































































-0.2417    6.4943     6.3037     R-PM/MAX
-0.3069    6.4378     6.0643
-0.4085    6.4329     5.8696
-0.4551    6.397      5.6917
-0.5037    6.3308     5.5332
-0.5269    6.1829     5.3057
-0.6087    6.0707     5.0383
-0.7006    5.9691     4.7567
-0.8189    5.8538     4.4761
-0.9197    5.7496     4.2616
-0.9789    5.6052     4.1131
-0.9944    5.4029     3.8441
-1.0347    5.2353     3.6364
