KNM        ER 1485    Rht2stv
16.6559    18.362     9.4217     IN
13.9444    15.1       12.322     BR
10.0563    10.6716    12.1757    GL
10.0777    10.5773    11.3782    NA
9.5631     9.9435     9.8269     RH
7.3526     7.4454     7.6044     NS
6.7004     6.6686     7.0624     PR
6.1924     7.0799     7.0314     R_PR2
8.6584     10.0137    8.1476     R_PMS
9999       9999       9999       R_ZMI
8.544      12.1521    9.5356     R_ZMU
9.8719     11.1718    10.513     R_DA
9.0363     12.3571    12.3839    R_MTI
9.2884     12.4741    12.7055    R_MTS
8.704      13.8706    10.6638    R_FMO
9999       9999       9999       R_FMT
11.1528    17.5189    7.9255     R_PO
9999       9999       9999       R_ZTS
7.2679     6.2311     6.9877     L_PR2
9.8779     8.8525     8.3182     L_PMS
12.1164    7.7276     7.0189     L_ZMI
11.3541    9.3512     9.5861     L_ZMU
10.6182    10.5067    10.8418    L_DA
11.8122    9.9361     12.5767    L_MTI
12.0453    10.1714    12.8203    L_MTS
13.1834    9.397      11.0642    L_FMO
14.0566    8.9194     10.8989    L_FMT
16.7341    12.8824    8.0512     L_PO
14.0464    8.3898     8.2048     L_ZTS
6.8485     6.2289     5.0569     O1
9.2607     14.1835    11.1851    O2
16.4156    10.4403    7.9084     O3
17.1109    17.7017    9.7083     O4







































































































































































10.0696    10.6383    12.1288    GLRH
10.0889    10.5802    11.8993
10.0795    10.5707    11.6529
10.0711    10.5901    11.3834
10.0513    10.5699    11.1755
10.0188    10.5152    10.9324
9.9712     10.4492    10.7749
9.9016     10.41      10.5754
9.8517     10.3247    10.4301
9.7486     10.2146    10.2537
9.6885     10.1366    10.1272
9.649      10.0267    10.0333
9.5624     9.9411     9.8107



























































































































































































9.6278     9.9053     9.8542     NOSE
