AMNH       119648     Rpr11stv
-0.1622    15.7487    6.0454     IN
-0.2029    12.3066    9.1933     BR
-0.1139    6.5109     6.9387     GL
-0.0727    6.4829     6.6807     NA
-0.1427    6.5882     5.4558     RH
-0.1446    5.5905     3.686      NS
-0.1638    5.2481     3.0559     PR
-0.7382    5.3538     3.1415     R_PR2
-0.2509    6.5473     6.0699     R_PMS
-3.0304    7.4536     3.4572     R_ZMI
-2.1621    6.894      4.9701     R_ZMU
-0.7964    6.9495     6.1501     R_DA
-1.9118    7.0242     7.3157     R_MTI
-1.9169    7.0917     7.6753     R_MTS
-3.257     7.3417     6.0057     R_FMO
-3.7405    7.8686     6.606      R_FMT
-3.7358    12.3942    4.807      R_PO
-4.0815    8.6755     4.1457     R_ZTS
0.4635     5.4238     3.0553     L_PR2
0.1186     6.5945     5.9978     L_PMS
2.7476     7.7665     3.4597     L_ZMI
2.0222     7.0218     4.7836     L_ZMU
0.6293     6.9655     6.1162     L_DA
1.7628     7.2517     7.1653     L_MTI
1.7003     7.2368     7.5355     L_MTS
3.148      7.6038     6.02       L_FMO
3.478      8.1993     6.4812     L_FMT
2.9857     12.5795    4.5329     L_PO
3.5826     8.9363     4.148      L_ZTS
-0.586     5.0126     2.9449     O1
2.9872     8.3183     7.0761     O2
-3.9963    12.3659    5.9155     O3
0.3251     15.6662    5.8789     O4







































































































































































-0.1396    6.4723     6.8387     GLRH
-0.132     6.4726     6.6813
-0.1472    6.4777     6.4751
-0.1664    6.4905     6.2885
-0.1186    6.504      6.0525
-0.1603    6.5227     5.8592
-0.1567    6.5559     5.6796
-0.1739    6.5661     5.4686
































































































































































































-0.144     6.5798     5.4577     NOSE
-0.4006    6.6083     5.4985
-0.5728    6.6382     5.3907
-0.705     6.6409     5.2297
-0.764     6.6365     5.0408
-0.8437    6.5816     4.8158
-0.8748    6.4861     4.6324
-0.8635    6.3113     4.3969
