NMNH       268894     Rpr8stv
-1.9567    14.6164    4.8067     IN
-2.0073    11.7294    8.108      BR
-2.3801    5.9619     6.6862     GL
-2.3475    5.9218     6.4483     NA
-2.4221    5.645      5.419      RH
-2.5832    4.2915     3.9014     NS
-2.6202    3.8561     3.3124     PR
-3.1505    4.0021     3.4371     R_PR2
-2.6606    5.7639     5.7115     R_PMS
-5.5294    6.3441     3.327      R_ZMI
-4.3722    6.0497     4.7321     R_ZMU
-3.0838    6.3485     5.9193     R_DA
-4.2174    6.6701     7.1144     R_MTI
-4.1754    6.7011     7.4014     R_MTS
-5.628     6.7673     5.7033     R_FMO
-5.9911    7.3428     5.9186     R_FMT
-5.6017    11.5939    3.8629     R_PO
-6.2202    7.9007     3.6542     R_ZTS
-1.938     3.9221     3.3492     L_PR2
-2.3036    5.8055     5.9859     L_PMS
0.5092     6.0267     3.1859     L_ZMI
-0.2627    5.7943     4.6312     L_ZMU
-1.6418    6.2716     5.9213     L_DA
-0.4661    6.4256     7.0353     L_MTI
-0.4829    6.4962     7.3092     L_MTS
0.9753     6.4323     5.5595     L_FMO
1.314      6.9151     5.6308     L_FMT
1.1574     11.1819    3.5649     L_PO
1.5492     7.8167     3.3771     L_ZTS
-2.9537    3.4771     2.9553     O1
0.6222     7.4713     6.4607     O2
-6.2037    10.2045    3.5586     O3
-2.5379    14.5268    5.2249     O4







































































































































































-2.3245    5.9882     6.7044     GLRH
-2.3416    5.9437     6.5888
-2.3416    5.9279     6.4539
-2.3578    5.8906     6.3469
-2.3536    5.7934     5.9997
-2.3381    5.7412     5.7993
-2.3475    5.6963     5.6506
-2.3717    5.6497     5.5149
-2.3783    5.6424     5.4109































































































































































































-2.4045    5.6853     5.358      NOSE
-2.6144    5.7448     5.3899
-2.7995    5.7541     5.3291
-2.9037    5.7342     5.1369
-3.0541    5.6849     4.881
-3.1841    5.5482     4.7322
-3.1811    5.4273     4.5849
-3.1963    5.2385     4.457
-3.1509    5.1193     4.3823
-3.1016    4.9559     4.3091
-3.0578    4.7895     4.2499
-2.9638    4.5938     4.1679
-2.8612    4.3937     4.0679
-2.7273    4.2866     3.9711
-2.5662    4.2514     3.9156
-2.4318    4.2746     3.9808
-2.2386    4.3486     4.0839
-2.1564    4.5415     4.1517
-2.0451    4.7071     4.239
-1.963     4.8814     4.2935
-1.8987    5.0826     4.3734
-1.8105    5.2174     4.5044
-1.8286    5.5397     4.8474
-1.9358    5.6288     5.0427
-2.0274    5.7111     5.2317
-2.1427    5.6878     5.4076
-2.2735    5.6539     5.4922
-2.3631    5.6319     5.4466













































































