AMNH       110456     Rprf012z
12.0215    13.7292    9.304      IN
14.3915    15.8116    11.264     BR
18.1493    19.5361    8.7807     GL
18.1301    19.615     8.4927     NA
18.1362    19.6234    7.5951     RH
18.8158    20.188     5.8794     NS
18.9689    20.333     5.586      PR
19.2959    19.7457    5.5162     R_PR2
18.2654    19.3895    8.4271     R_PMS
19.0702    16.8488    5.7317     R_ZMI
19.1419    17.745     6.8851     R_ZMU
17.9751    18.6257    8.4282     R_DA
18.9547    17.8049    9.1161     R_MTI
18.7657    17.7395    9.3674     R_MTS
19.3725    16.6198    8.0411     R_FMO
19.2498    16.0829    8.2356     R_FMT
16.1316    13.8884    6.5649     R_PO
18.8578    15.5473    6.3528     R_ZTS
18.3736    20.7123    5.5353     L_PR2
17.9032    19.6996    8.3188     L_PMS
15.448     20.7375    5.9432     L_ZMI
16.3638    20.7404    6.9659     L_ZMU
17.1438    19.3565    8.2555     L_DA
16.4206    20.3797    9.22       L_MTI
16.3993    20.3188    9.4446     L_MTS
15.2649    20.9405    8.2624     L_FMO
14.7649    20.8862    8.4967     L_FMT
12.2392    17.8943    6.831      L_PO
13.9571    20.4748    6.5955     L_ZTS
11.8621    14.0238    9.3584     O1
16.345     13.3271    8.1935     O2
19.0567    18.7819    6.0138     O3
14.9089    20.1581    8.8071     O4







































































































































































18.1236    19.5503    8.7979     GLRH
18.1361    19.553     8.7136
18.1443    19.5579    8.6179
18.1706    19.5457    8.5417
18.1632    19.5543    8.4432
18.1758    19.5743    8.3527
18.1401    19.5812    8.2539
18.1645    19.5902    8.1609
18.1647    19.6053    8.0377
18.1596    19.6342    7.9744
18.1544    19.6198    7.9225
18.1494    19.5998    7.876
18.1457    19.6115    7.8184
18.164     19.5997    7.7093
18.1451    19.6041    7.6544
18.1263    19.6227    7.5937
























































































































































































