NMNH       544973     Scc15stv
9999       9999       9999       IN
9999       9999       9999       BR
-0.8805    4.2778     6.5003     GL
-0.9215    4.1118     6.2045     NA
-0.9425    3.2057     4.5733     RH
-0.9131    2.2334     3.0677     NS
-0.889     1.7714     2.4362     PR
-1.6255    2.1006     2.3725     R_PR2
-1.0462    3.8155     5.5666     R_PMS
-3.2805    4.6102     3.0109     R_ZMI
-1.9344    4.2316     4.5454     R_ZMU
-1.261     4.3275     5.6379     R_DA
-2.263     4.5297     6.6229     R_MTI
-2.3163    4.6822     6.9279     R_MTS
-3.3548    4.8307     5.804      R_FMO
-3.5869    5.282      5.9169     R_FMT
-3.609     9.0034     3.6468     R_PO
-4.2794    5.8167     3.9832     R_ZTS
-0.4011    1.8711     2.3651     L_PR2
-0.6791    3.8811     5.505      L_PMS
1.6653     4.4289     3.1711     L_ZMI
0.2111     4.1898     4.5155     L_ZMU
-0.4805    4.4493     5.6042     L_DA
0.277      4.4577     6.6583     L_MTI
0.2689     4.585      7.0108     L_MTS
1.6503     4.7144     5.8781     L_FMO
1.8107     5.3352     6.0056     L_FMT
2.1677     8.9419     3.703      L_PO
2.7032     5.6584     4.0272     L_ZTS
-1.798     2.1132     2.437      O1
0.1503     2.1314     2.4414     O2
-3.2805    4.6102     3.0109     O3
1.6653     4.4289     3.1711     O4







































































































































































-0.88      4.2563     6.4689     GLRH
-0.9167    4.1996     6.3511
-0.9389    4.1296     6.1785
-0.944     4.0339     6.026
-0.9608    3.9324     5.8075
-0.9031    3.7987     5.5616
-0.8969    3.6842     5.3471
-0.9156    3.6058     5.1423
-0.9067    3.4822     4.9563
-0.897     3.3975     4.8457
-0.9055    3.3035     4.6946
-0.9533    3.2068     4.5327




























































































































































































-0.9406    3.1958     4.536      NOSE
-1.2311    3.2296     4.5019
-1.3642    3.1539     4.2946
-1.461     3.0926     4.1262
-1.5418    3.0132     3.9624
-1.5467    2.9029     3.7194
-1.5237    2.7559     3.6019
-1.4779    2.5844     3.4338
-1.3845    2.4622     3.2909
-1.2618    2.341      3.217
-1.1361    2.2961     3.1715
-1.0511    2.2584     3.1398
-0.9408    2.2382     3.0661
-0.787     2.2163     3.1502
-0.6078    2.2536     3.2373
-0.4867    2.3773     3.2739
-0.3798    2.4428     3.3585
-0.3229    2.616      3.5147
-0.2734    2.7223     3.655
-0.2459    2.8491     3.8146
-0.2924    2.9592     3.9429
-0.3522    3.0377     4.0752
-0.4198    3.1187     4.2473
-0.4891    3.1527     4.3544
-0.5593    3.2089     4.4486
-0.6548    3.2386     4.511
-0.9404    3.2035     4.5377



































































































































































