AMNH       99.1/2285  See1stv
0.4247     13.4959    8.7874     IN
0.408      9.8296     10.4017    BR
0.2783     4.0597     8.0674     GL
0.2546     4.0435     7.9372     NA
0.2784     3.3472     6.5783     RH
0.2228     2.5184     4.1743     NS
0.233      2.3256     3.61       PR
-0.2533    2.3146     3.7767     R_PR2
-0.1504    4.0449     7.0075     R_PMS
-2.7538    5.7861     4.8755     R_ZMI
-1.3852    5.0593     5.6974     R_ZMU
-0.3176    4.7596     7.1943     R_DA
-1.6001    4.5546     8.0612     R_MTI
-1.5615    4.6371     8.5433     R_MTS
-2.834     5.3039     7.3897     R_FMO
-3.2479    6.04       7.9285     R_FMT
-3.3122    11.1361    6.3501     R_PO
-4.0563    7.0055     5.5057     R_ZTS
0.933      2.4289     3.7571     L_PR2
0.6769     4.0933     7.0083     L_PMS
3.1553     5.8819     4.6128     L_ZMI
1.9155     5.0512     5.6496     L_ZMU
0.8535     4.8026     7.2244     L_DA
1.9673     4.4628     8.0499     L_MTI
1.8255     4.4658     8.5171     L_MTS
3.4213     5.216      7.3735     L_FMO
3.8694     5.9979     7.6377     L_FMT
3.7382     11.051     6.1529     L_PO
9999       9999       9999       L_ZTS
-0.3356    2.3973     4.0648     O1
3.5608     5.9997     7.9837     O2
-4.1115    6.8519     5.2193     O3
-0.8488    13.4978    8.5249     O4







































































































































































0.3066     4.0475     8.0278     GLRH
0.2654     3.9597     7.913
0.3133     3.9601     7.7727
0.3098     3.9515     7.63
0.3022     3.9014     7.4684
0.2822     3.8051     7.2792
0.2845     3.695      7.1684
0.3061     3.5832     7.0424
0.2625     3.4501     6.8758
0.266      3.3825     6.7413
0.2706     3.3408     6.6235





























































































































































































0.245      3.3537     6.5678     NOSE
0.0975     3.3972     6.6392
-0.0238    3.4608     6.6029
-0.0676    3.4649     6.4158
-0.1354    3.5389     6.281
-0.1114    3.5434     6.0785
-0.1776    3.5574     5.8184
-0.2292    3.5182     5.6225
