NMNH       122634     See7stv
0.7236     11.0315    4.6497     IN
0.4733     7.8235     7.2134     BR
0.134      2.9761     5.1258     GL
0.1498     2.9685     5.0522     NA
0.1661     2.5822     3.9726     RH
0.0883     1.794      2.2416     NS
0.0764     1.2617     1.9077     PR
-0.4728    1.4103     1.8887     R_PR2
-0.1291    3.0003     4.5616     R_PMS
-2.4074    3.9866     2.3879     R_ZMI
-1.3449    3.6491     3.1526     R_ZMU
-0.2839    3.6163     4.4387     R_DA
-1.4781    3.6337     5.3656     R_MTI
-1.3426    3.6469     5.6592     R_MTS
-2.5474    4.014      4.4547     R_FMO
-2.7992    4.5141     4.947      R_FMT
-2.6499    8.7108     3.2459     R_PO
-3.4361    4.7867     2.7403     R_ZTS
0.5801     1.3199     1.887      L_PR2
0.4713     2.9805     4.5237     L_PMS
2.9727     3.6229     2.4321     L_ZMI
1.7436     3.4116     3.2007     L_ZMU
0.6861     3.6279     4.2916     L_DA
1.7105     3.3492     5.4252     L_MTI
1.6235     3.4181     5.7073     L_MTS
3.0011     3.6817     4.7568     L_FMO
3.3828     4.1374     4.9074     L_FMT
3.5499     8.34       3.2479     L_PO
3.9445     4.6565     2.9298     L_ZTS
-0.232     1.0523     1.7401     O1
2.8568     4.1738     5.3616     O2
-3.6275    7.1966     2.8468     O3
1.3017     10.8797    5.0176     O4







































































































































































0.1369     2.9685     5.1338     GLRH
0.1424     2.9539     5.0545
0.1578     2.9041     4.9096
0.1435     2.9085     4.7628
0.1526     2.8759     4.6104
0.1403     2.8412     4.4549
0.1394     2.7771     4.3305
0.1529     2.6933     4.2174
0.151      2.6351     4.1226
0.1358     2.5855     3.9922






























































































































































































0.1373     2.5788     3.9822     NOSE
-0.1159    2.6655     3.9918
-0.198     2.6992     3.91
-0.2461    2.6605     3.7292
-0.2814    2.6239     3.5757
-0.3086    2.5703     3.3155
-0.3378    2.511      3.141
-0.3424    2.3974     2.9442
-0.2738    2.2057     2.7386
-0.2087    2.0371     2.6343
-0.1552    1.8956     2.5439
-0.0529    1.7738     2.379
0.0922     1.6845     2.241
0.2279     1.8038     2.3892
0.2788     1.902      2.497
0.3537     1.9594     2.5966
0.4888     2.0433     2.7007
0.5684     2.1871     2.796
0.5785     2.3045     2.9361
0.5704     2.3746     3.0186
0.6113     2.4524     3.1509
0.6322     2.5243     3.3241
