NMNH       63470      See8stv
1.4342     14.8431    5.1481     IN
1.0626     11.4879    8.2364     BR
0.5486     5.498      6.5725     GL
0.5495     5.5095     6.5897     NA
0.4968     4.4044     5.4041     RH
0.5412     3.0626     3.1258     NS
0.4843     2.732      2.3205     PR
-0.1152    2.8685     2.3291     R_PR2
0.1909     5.2612     6.125      R_PMS
-2.7804    6.6639     2.9158     R_ZMI
-1.1685    6.0389     4.4313     R_ZMU
-0.1719    6.2157     5.5264     R_DA
-1.2048    6.4464     6.941      R_MTI
-1.165     6.5268     7.192      R_MTS
-2.5642    7.1162     5.9136     R_FMO
-2.6375    7.7844     6.3355     R_FMT
-2.5318    12.5527    3.7307     R_PO
-3.3641    8.1465     3.4278     R_ZTS
1.1135     2.7694     2.2284     L_PR2
0.8429     5.3319     6.3112     L_PMS
4.287      6.0252     3.0698     L_ZMI
2.444      5.746      4.5649     L_ZMU
1.4083     6.2203     5.7298     L_DA
2.1811     5.9537     6.9407     L_MTI
2.1168     6.048      7.2002     L_MTS
3.8468     6.3787     6.2468     L_FMO
4.0286     7.0228     6.6559     L_FMT
4.9697     11.8986    3.815      L_PO
5.2394     7.4313     3.6593     L_ZTS
1.0563     2.7376     2.8257     O1
3.9233     7.1011     6.4584     O2
-3.8593    10.5509    3.4215     O3
-0.2514    14.659     5.2555     O4







































































































































































0.5306     5.5106     6.5878     GLRH
0.5286     5.3623     6.4438
0.5276     5.233      6.2995
0.5363     5.0646     6.139
0.5194     4.9223     5.9982
0.5317     4.7812     5.8813
0.5134     4.6879     5.786
0.5034     4.5994     5.6845
0.5043     4.5095     5.5934
0.5115     4.4494     5.5151
0.5114     4.4137     5.4609
0.51       4.4033     5.4164




























































































































































































0.5025     4.4078     5.4141     NOSE
0.3008     4.4627     5.4198
0.1641     4.4755     5.38
0.1273     4.4223     5.2037
0.0631     4.4        5.0484
0.0389     4.3825     4.9368
0.0131     4.3641     4.7781
-0.0266    4.3266     4.6421
-0.0227    4.2833     4.4634
-0.0788    4.2502     4.3106
-0.1647    4.2148     4.1724
-0.0727    4.0938     4.0229
-0.0181    3.8908     3.7936
0.0741     3.6124     3.6063
0.202      3.3785     3.4249
0.3016     3.2289     3.2622
0.4384     3.0953     3.2041
0.5131     2.9458     3.1341
0.7055     3.175      3.2494
0.9078     3.294      3.4369
1.0162     3.3856     3.5546
1.057      3.5289     3.6805
1.1154     3.6105     3.7638
1.1649     3.7389     3.8839
1.138      3.9113     4.0153
1.1438     4.023      4.1521
1.1249     4.124      4.3447
1.0938     4.1784     4.519
1.0549     4.2109     4.6785
1.0567     4.244      4.8067
1.0267     4.2912     4.8925
1.0044     4.3409     5.0661
0.9465     4.3913     5.2002
0.8741     4.4798     5.343
0.8242     4.4798     5.4813
0.6326     4.4287     5.4718
0.5094     4.4116     5.4509



































































































































































0.5203     2.937      3.1348     NASP-PR
0.5046     2.8094     3.0263
0.4836     2.7391     2.8746
0.5052     2.6723     2.7259
0.5351     2.6699     2.5799
0.5247     2.6607     2.4851
0.5033     2.699      2.3565

































































































































































































0.1695     5.2604     6.1378     R-PM/MAX
0.0934     5.0857     5.8643
0.0299     4.9963     5.6741
-0.0345    4.8979     5.445
-0.0788    4.7731     5.2038
-0.131     4.695      4.9619
-0.1657    4.6151     4.7528
-0.2417    4.5986     4.5434
-0.3093    4.4886     4.3557
-0.3965    4.3424     4.1111
-0.4403    4.2415     3.8927
-0.5163    4.1406     3.705
-0.5059    3.985      3.5296
-0.5518    3.8264     3.3178
-0.5994    3.7193     3.1491
-0.6497    3.6158     2.9543
-0.6788    3.4955     2.7772
-0.7084    3.3732     2.6342
-0.6864    3.3142     2.5355
-0.6753    3.3256     2.393




















































































































































































0.8921     5.3026     6.2853     L-PM/MAX
0.9428     5.2065     6.1095
0.9938     5.103      5.9056
1.0382     5.0409     5.7658
1.1103     4.976      5.5727
1.1379     4.9071     5.4192
1.1695     4.7915     5.1941
1.2373     4.6862     4.9754
1.294      4.524      4.7029
1.3398     4.3677     4.5013
1.3579     4.2608     4.3139
1.4121     4.1159     4.0685
1.4679     3.9668     3.8415
1.5079     3.8091     3.6723
1.5638     3.6079     3.469
1.6263     3.4766     3.2466
1.6544     3.3559     3.0262
1.7176     3.244      2.8532
1.7463     3.1476     2.6816
1.7733     3.0967     2.5586
1.7346     3.1092     2.3675



















































































































































































-1.5046    5.2668     1.9732     ROSTRUM
-1.5001    5.2689     2.3043
-1.4533    5.2812     2.5389
-1.3718    5.3231     2.7581
-1.2815    5.3057     2.9637
-1.1411    5.3207     3.1733
-1.0497    5.2989     3.3891
-0.9633    5.3115     3.6055
-0.9341    5.3089     3.7993
-0.8649    5.3115     4.0098
-0.7102    5.3363     4.2646
-0.6151    5.3028     4.4549
-0.4347    5.2603     4.6834
