AMNH       163082     Sep1stv
0.9343     17.2224    10.9642    IN
0.6949     13.1891    12.9591    BR
0.9065     8.9156     10.1772    GL
0.928      8.8789     9.9958     NA
0.9607     8.5087     8.8054     RH
0.9006     8.2132     6.7784     NS
0.9335     8.0396     6.4386     PR
0.4953     8.0684     6.389      R_PR2
0.5434     8.9728     9.2458     R_PMS
-1.5635    10.6731    7.2984     R_ZMI
-0.6951    9.8943     8.1882     R_ZMU
0.4332     9.7143     9.5196     R_DA
-0.8728    9.4184     10.3013    R_MTI
-0.8452    9.4918     10.6089    R_MTS
-1.9799    10.2265    9.5559     R_FMO
-2.3547    10.6929    9.9166     R_FMT
-1.9456    15.0512    9.0247     R_PO
-2.677     11.4155    7.7818     R_ZTS
1.414      8.0726     6.4389     L_PR2
1.362      8.9541     9.2449     L_PMS
3.5275     10.5137    7.4913     L_ZMI
2.7558     9.7902     8.3228     L_ZMU
1.4527     9.5864     9.525      L_DA
2.4648     9.2477     10.4213    L_MTI
2.3613     9.2715     10.7713    L_MTS
3.8884     10.0339    9.7652     L_FMO
4.2024     10.4934    9.9895     L_FMT
4.0009     14.9488    9.2649     L_PO
4.7004     11.3555    8.1026     L_ZTS
0.6437     7.8736     6.2962     O1
3.5346     10.5791    10.7705    O2
-3.1301    13.5474    8.3067     O3
1.3564     16.8928    11.3213    O4







































































































































































0.8928     8.906      10.1636    GLRH
0.8765     8.8967     10.032
0.8863     8.837      9.8553
0.9063     8.8121     9.6512
0.8808     8.7895     9.5302
0.945      8.7112     9.2897
0.9537     8.6346     9.1534
0.9571     8.5355     8.9791
0.9675     8.5112     8.8706
0.9507     8.4969     8.7945






























































































































































































0.9426     8.511      8.7746     NOSE
0.6437     8.5962     8.692
0.5745     8.5974     8.4779
0.5459     8.6126     8.2992
0.5226     8.6219     8.0594
0.4734     8.6236     7.8616
0.5028     8.6112     7.7179
0.5283     8.4726     7.3578
0.65       8.3905     7.1783
0.7118     8.359      7.0375
0.7714     8.304      6.9414
0.8292     8.2706     6.857
0.9226     8.2182     6.7869
1.0743     8.3052     6.9254
1.1095     8.4079     7.0617
1.2034     8.4496     7.1737
1.2792     8.5081     7.3118
1.3992     8.5584     7.4894
1.4531     8.6297     7.6677
1.4624     8.6689     7.8349
1.479      8.6696     8.085
1.4397     8.6504     8.263
1.3878     8.5987     8.4775
1.3491     8.5933     8.6024
1.2856     8.5638     8.8235
1.0735     8.5125     8.7966
0.9646     8.535      8.7582













































































































































































0.9192     8.2272     6.7964     NASP-PR
0.9109     8.1245     6.6765
0.9397     8.0329     6.5563
0.9595     8.0448     6.3647




































































































































































































0.5428     8.9534     9.2052     R-PM/MAX
0.4515     8.9597     8.8693
0.4065     8.8794     8.5399
0.3737     8.8565     8.3121
0.3218     8.8534     7.9818
0.2541     8.8005     7.6438
0.2092     8.7234     7.4602
0.2053     8.6232     7.2597
0.1885     8.5463     7.1031
0.1285     8.4406     6.8421
0.0756     8.3975     6.659
0.0449     8.5211     6.4563




























































































































































































1.3845     8.9265     9.0819     L-PM/MAX
1.4268     8.9012     8.9021
1.4851     8.8699     8.6857
1.5259     8.874      8.4683
1.5455     8.8937     8.2484
1.5807     8.8962     8.0361
1.6128     8.8823     7.8017
1.6412     8.8214     7.5923
1.6422     8.7065     7.4487
1.7243     8.6301     7.2581
1.8306     8.6006     7.1037
1.8678     8.4382     6.7496
1.9243     8.4902     6.4843



























































































































































































-0.7664    9.9077     6.6778     ROSTRUM
-0.714     9.8326     6.9403
-0.6229    9.7891     7.1909
-0.5466    9.7307     7.3552
-0.4381    9.6928     7.5776
-0.3323    9.6336     7.7518
-0.1939    9.5751     7.8951
-0.0553    9.5145     8.0074
0.0957     9.3932     8.1595
0.2322     9.2981     8.3898
0.2935     9.2201     8.6093
0.4106     9.0874     8.9285
0.4551     9.0434     9.034
0.4967     9.021      9.2573
0.5689     8.9103     9.4199
0.7552     8.8183     9.5866
0.8937     8.7879     9.611
1.051      8.838      9.6157
1.1943     8.8867     9.5333
1.3185     9.0014     9.3158
1.4256     9.0728     9.1017
1.5314     9.1648     8.8845
1.5946     9.2359     8.5857
1.6964     9.3119     8.3435
1.8804     9.3835     8.1024
2.024      9.476      7.9039
2.2031     9.5428     7.7013
2.3786     9.6289     7.4565
2.5087     9.7035     7.2223
2.6426     9.7698     7.0428
2.7162     9.7857     6.8816
2.745      9.8175     6.7409








































































































































































-2.3972    10.6175    9.8916     SUPORB
-2.3715    10.5849    10.0224
-2.3015    10.5623    10.1434
-2.1839    10.4606    10.2589
-2.0753    10.3437    10.291
-1.9574    10.1764    10.3481
-1.826     10.0599    10.3764
-1.6719    9.9406     10.447
-1.5166    9.8283     10.4958
-1.4397    9.7506     10.5109
-1.2927    9.6388     10.5314
-1.1284    9.5648     10.5519
-0.9884    9.5002     10.5755
-0.8539    9.4414     10.5821
-0.7323    9.3782     10.5987
-0.6223    9.3107     10.5908
