NME        L32-154    Tb4sf2
9999       9999       9999       IN
9999       9999       9999       BR
8.033      11.9441    11.5348    GL
8.0271     11.6971    10.8647    NA
4.8797     7.3535     6.5725     RH
3.2658     4.9141     3.8974     NS
2.8571     3.9305     2.1472     PR
1.9754     4.9361     1.9843     R_PR2
5.6793     8.8138     7.5594     R_PMS
4.0096     13.5633    5.6221     R_ZMI
6.4723     13.047     9.1737     R_ZMU
7.6994     11.9125    10.2814    R_DA
6.7885     13.8143    11.5       R_MTI
7.459      14.0913    12.2016    R_MTS
6.458      15.4565    10.3       R_FMO
6.5461     16.2048    9.9115     R_FMT
9999       9999       9999       R_PO
5.7899     16.546     6.9069     R_ZTS
3.5398     3.2642     2.5399     L_PR2
5.9256     7.7079     7.0158     L_PMS
10.6937    6.676      5.9225     L_ZMI
9.3868     9.9487     9.4116     L_ZMU
8.4384     11.2308    10.2701    L_DA
9999       9999       9999       L_MTI
9999       9999       9999       L_MTS
9999       9999       9999       L_FMO
9999       9999       9999       L_FMT
9999       9999       9999       L_PO
9999       9999       9999       L_ZTS
4.02       3.7524     3.8218     O1
14.3643    5.7459     6.2228     O2
10.9679    11.2576    6.0466     O3
7.207      17.9697    6.3172     O4







































































































































































8.0392     11.9055    11.589     GLRH
8.0164     11.8278    11.3724
8.0467     11.7603    11.097
8.0246     11.6924    10.9122
7.9855     11.6462    10.7529
7.939      11.5496    10.5904
7.9071     11.4212    10.4296
7.8591     11.3364    10.1699
7.7662     11.2984    9.9998
7.7312     11.0758    9.7216
7.6417     10.9459    9.5373
7.5522     10.8103    9.355
7.469      10.677     9.1802
7.3887     10.4971    8.9884
7.2611     10.3436    8.8558
7.1808     10.197     8.7355
7.0709     9.9052     8.5717
7.0014     9.7717     8.4321
6.8861     9.5788     8.3103
6.8157     9.4272     8.2006
6.7321     9.3004     8.1017
6.6297     9.1499     7.9749
6.508      9.0468     7.8783
6.2703     8.7778     7.7702
6.114      8.5707     7.6928
5.9758     8.4109     7.5507
5.8375     8.2757     7.4074
5.7357     8.1404     7.3392
5.613      8.0102     7.2533
5.4837     7.8534     7.1821
5.3608     7.7234     7.006
5.2126     7.5354     6.9005
5.1197     7.4134     6.8079
5.0207     7.2947     6.7146
4.9288     7.2138     6.5667





































































































































































4.9072     7.2907     6.5372     NOSE
4.52       7.4686     6.6574
4.268      7.5161     6.6673
3.9255     7.364      6.4714
3.6864     7.2331     6.2327
3.3865     7.0482     5.9586
3.163      6.8645     5.5568
2.9968     6.6592     5.2888
2.8472     6.5246     5.0647
2.8065     6.4097     4.806
2.7369     6.2948     4.5344
2.7501     6.0222     4.301
2.7587     5.7237     4.2087
2.8905     5.2999     4.0857
3.1049     5.0867     4.0138
3.2763     4.9559     3.8799
3.3577     4.8558     4.0128
3.5837     4.6907     4.1665
3.8821     4.663      4.3182
4.1111     4.6024     4.5137
4.255      4.512      4.7806
4.3239     4.5855     4.9995
4.4055     4.7404     5.2283
