NME        L17-45     Tb5stv
9999       9999       9999       IN
9999       9999       9999       BR
9999       9999       9999       GL
9999       9999       9999       NA
5.59       6.2825     7.2885     RH
4.382      3.3818     4.5382     NS
4.3113     2.7712     3.012      PR
3.6513     3.3047     2.9724     R_PR2
5.3442     7.0108     7.3709     R_PMS
4.3312     13.2465    5.1713     R_ZMI
9999       9999       9999       R_ZMU
8.7108     12.4716    10.6392    R_DA
9999       9999       9999       R_MTI
9999       9999       9999       R_MTS
9999       9999       9999       R_FMO
9999       9999       9999       R_FMT
9999       9999       9999       R_PO
9999       9999       9999       R_ZTS
5.159      2.4586     3.2262     L_PR2
6.8185     6.3078     7.5052     L_PMS
12.6963    7.7225     6.3108     L_ZMI
9999       9999       9999       L_ZMU
9.8114     11.8309    10.8107    L_DA
9999       9999       9999       L_MTI
9999       9999       9999       L_MTS
9999       9999       9999       L_FMO
9999       9999       9999       L_FMT
9999       9999       9999       L_PO
14.7352    9.1539     8.1751     L_ZTS
6.2421     2.7468     4.7661     O1
3.819      14.5992    7.1676     O2
10.3477    10.0854    9.7096     O3
11.5531    9.3245     3.6747     O4







































































































































































9999       9999       9999       GLRH
9.208      11.9174    11.0005
9.1165     11.7355    10.7742
9.0275     11.6897    10.599
8.9547     11.4683    10.3844
8.9332     11.3127    10.2664
8.8531     11.1766    10.0912
8.7372     11.0538    9.9447
8.6883     10.8886    9.7895
8.6267     10.8129    9.6882
8.5384     10.672     9.5989
8.4524     10.4671    9.4777
8.3539     10.2559    9.3101
8.2169     10.1083    9.199
8.1814     9.8965     9.0562
8.0937     9.7263     8.9446
8.0215     9.5473     8.8193
7.8619     9.334      8.5929
7.686      9.1172     8.4514
7.5268     8.948      8.3113
7.3553     8.6226     8.2141
7.2426     8.4222     8.09
7.1518     8.2519     8.0323
7.0944     8.0881     7.9586
7.0239     7.9787     7.9
6.8821     7.6871     7.8215
6.7572     7.4992     7.7717
6.6723     7.3617     7.7372
6.6151     7.2074     7.7045
6.2762     6.8763     7.6771
6.1523     6.6812     7.6157
6.0141     6.4708     7.5381
5.9087     6.3221     7.4465
5.7974     6.1813     7.382
5.7307     6.0764     7.3047





































































































































































5.7094     6.1679     7.2565     NOSE
5.3806     6.3093     7.2389
5.2224     6.2707     7.1226
4.9567     6.202      7.0511
4.7537     6.0246     6.8611
4.5655     5.8004     6.6595
4.3232     5.5447     6.5133
4.0586     5.1798     6.1853
3.9666     5.0267     6.0664
3.8758     4.858      5.8404
3.7995     4.7201     5.633
3.8121     4.5324     5.4061
3.802      4.369      5.2163
3.7958     4.176      5.0469
3.8666     3.9822     4.9844
3.8944     3.8601     4.9473
3.9862     3.6766     4.8614
4.0449     3.5478     4.7773
4.1423     3.4456     4.7261
4.2497     3.3815     4.6242
4.3564     3.3616     4.5189
4.4725     3.2904     4.7553
4.6313     3.1219     4.9074
4.8295     3.1642     5.0762
5.0723     3.2007     5.2057
5.2485     3.3007     5.3113
