NME        L32-155    Tb8stv
9999       9999       9999       IN
9999       9999       9999       BR
14.4454    14.566     8.1404     GL
14.3011    14.2446    7.2908     NA
12.3292    10.2146    5.5185     RH
11.0106    8.1227     3.7741     NS
10.5613    7.5082     2.8412     PR
9.763      8.0367     2.934      R_PR2
12.2556    11.2031    5.6604     R_PMS
9.3828     14.3534    4.2986     R_ZMI
12.5008    14.2612    6.0595     R_ZMU
13.9887    14.7514    7.0289     R_DA
12.8115    15.8645    8.0727     R_MTI
13.149     16.0382    8.4459     R_MTS
11.7717    16.6423    7.0979     R_FMO
11.6213    17.6185    6.8221     R_FMT
9999       9999       9999       R_PO
9999       9999       9999       R_ZTS
11.477     7.2371     2.8294     L_PR2
13.1601    11.087     5.5911     L_PMS
16.8953    11.1673    3.3183     L_ZMI
15.2615    12.8891    5.8538     L_ZMU
14.8573    14.339     7.1248     L_DA
16.3121    13.8769    8.0784     L_MTI
16.4696    14.4289    8.3361     L_MTS
17.6285    13.6327    6.7429     L_FMO
18.4194    14.1687    6.5303     L_FMT
9999       9999       9999       L_PO
9999       9999       9999       L_ZTS
12.0561    7.6819     3.7003     O1
8.3233     15.6766    5.014      O2
18.2041    14.0133    5.9914     O3
15.7659    15.6418    3.1687     O4







































































































































































9999       9999       9999       GLRH







































































































































































































12.2225    10.3331    5.4835     NOSE
11.6078    10.3434    5.4305
11.2299    10.0671    5.2156
11.0059    9.8097     5.0881
10.7889    9.6244     5.0223
10.6995    9.3226     4.805
10.5949    9.1345     4.6252
10.5128    8.9511     4.4183
10.4751    8.6057     4.2219
10.6023    8.3898     4.1459
10.7684    8.2901     3.9656
10.9663    8.1775     3.8041
11.0709    8.1728     3.832
11.2975    8.2264     3.9468
11.4901    8.2353     4.0102
11.7508    8.2848     4.1651
12.01      8.3916     4.2943
12.1813    8.4875     4.4168
12.3589    8.7018     4.6993
12.48      8.7362     4.8744
12.5604    9.0576     5.044
12.6225    9.3175     5.1986
12.7259    9.5402     5.3555
12.6997    9.7223     5.4094
12.6446    9.8931     5.458
12.1889    10.2132    5.425














































































































































































10.9929    8.1501     3.7728     NASP-PR
10.9207    7.8576     3.6478
10.8141    7.6968     3.4929
10.7294    7.6024     3.3013
10.6303    7.5573     3.0805
10.6302    7.5448     2.9694
10.61      7.5267     2.8677
































































































































