FMNH       27039      Tg12stv
15.5024    15.7609    15.5599    IN
12.2288    12.6442    17.3592    BR
7.6691     8.4789     14.1486    GL
8.0818     8.7445     13.1986    NA
7.5192     8.0439     9.2619     RH
5.8406     6.1086     6.7598     NS
5.5589     5.655      4.8008     PR
5.17       6.2412     4.8555     R_PR2
6.8619     8.2651     8.7405     R_PMS
7.0501     12.5779    9.0681     R_ZMI
7.5965     10.1966    11.748     R_ZMU
8.0644     9.1604     12.9999    R_DA
6.6997     9.7891     13.5803    R_MTI
6.7642     9.8738     14.3643    R_MTS
6.9035     11.6339    13.1754    R_FMO
6.8856     12.1477    13.7684    R_FMT
11.1018    16.995     12.4932    R_PO
6.9838     14.5732    10.8234    R_ZTS
6.0795     5.183      5.0695     L_PR2
7.7785     7.3029     8.9271     L_PMS
12.2051    6.8378     9.6396     L_ZMI
9.6885     7.9102     12.0299    L_ZMU
8.5745     8.7563     13.0559    L_DA
9.0648     7.2262     13.853     L_MTI
9.1668     7.3696     14.5732    L_MTS
10.7943    7.3237     13.7222    L_FMO
11.3017    7.2912     14.2092    L_FMT
16.8416    11.0427    13.0984    L_PO
14.049     6.8957     11.6883    L_ZTS
5.1478     5.7247     4.6512     O1
7.5266     11.3193    14.5747    O2
16.0688    8.2426     12.1411    O3
16.5268    13.991     14.8263    O4







































































































































































7.6205     8.4827     14.1463    GLRH
7.6562     8.5249     13.9793
7.8289     8.6008     13.9104
7.893      8.665      13.7674
7.9809     8.7148     13.561
8.0132     8.7575     13.3155
8.0653     8.7997     13.1166
8.1563     8.8313     12.8063
8.2249     8.8105     12.5581
8.2406     8.8058     12.335
8.2402     8.8188     12.0857
8.25       8.7821     11.9276
8.2612     8.7597     11.7677
8.2708     8.7183     11.5667
8.2715     8.6978     11.4302
8.2731     8.6654     11.2704
8.2386     8.6948     11.0003
8.1943     8.6272     10.7902
8.1641     8.5729     10.6388
8.0638     8.485      10.4152
8.0348     8.4362     10.2737
7.9634     8.3536     10.1365
7.852      8.274      9.9207
7.8065     8.2116     9.7948
7.7204     8.1346     9.6426
7.6461     8.0865     9.5039
7.6033     8.0347     9.4057
7.5715     7.9607     9.2681












































































































































































7.5313     7.9989     9.2526     NOSE
7.3437     8.1785     9.2111
7.1203     8.1962     9.043
6.9511     8.1955     8.8712
6.8121     8.1918     8.6536
6.6549     8.1483     8.4908
6.5987     8.0509     8.3516
6.5119     7.9865     8.2369
6.3915     7.9052     8.1102
6.2618     7.8761     7.9822
6.1712     7.7839     7.9078
6.0709     7.6776     7.8119
5.948      7.5943     7.6869
5.8645     7.5113     7.5494
5.8069     7.4116     7.448
5.6975     7.2764     7.2901
5.6175     7.1576     7.1768
5.5567     7.024      7.0852
5.5197     6.8914     7.0241
5.577      6.7214     6.9969
5.5526     6.5671     6.9558
5.627      6.4549     7.0025
5.6341     6.3326     7.012
5.642      6.1974     7.0878
5.7003     6.1263     6.8887
5.7106     6.1143     6.7676
5.7701     6.0566     6.7139
