FMNH       8174       Tg17stv
16.2966    15.8547    16.0194    IN
13.1591    13.042     17.6974    BR
8.4902     8.5127     14.7744    GL
8.8869     8.912      13.7218    NA
8.3716     8.3123     9.3727     RH
6.7092     6.5271     6.9649     NS
6.2685     6.0213     5.1724     PR
5.8882     6.6327     5.0378     R_PR2
7.8893     8.5373     9.0995     R_PMS
7.6195     12.8716    9.4701     R_ZMI
8.3014     10.5561    12.2569    R_ZMU
8.8933     9.4047     13.3487    R_DA
7.3663     10.0113    14.316     R_MTI
7.7664     10.0439    15.198     R_MTS
7.5384     11.8046    13.9077    R_FMO
7.5127     12.4536    14.4694    R_FMT
11.7135    17.3435    12.9581    R_PO
7.6181     15.0822    11.4437    R_ZTS
6.8415     5.6152     5.142      L_PR2
8.7287     7.5867     9.0048     L_PMS
13.0286    7.4248     10.03      L_ZMI
10.8409    8.0394     12.4141    L_ZMU
9.4599     8.9007     13.372     L_DA
10.2424    7.3113     14.5686    L_MTI
10.3916    7.6924     15.3629    L_MTS
11.8906    7.5413     14.3239    L_FMO
12.3243    7.7685     14.9292    L_FMT
17.4454    11.5474    13.1046    L_PO
15.0967    7.5877     11.848     L_ZTS
6.3954     5.5111     5.1332     O1
8.0254     11.8513    15.2131    O2
16.9867    8.7162     12.5711    O3
16.631     15.0998    15.5945    O4







































































































































































8.5022     8.4875     14.718     GLRH
8.598      8.5695     14.5709
8.6738     8.7025     14.4153
8.7353     8.7341     14.31
8.8154     8.8017     14.1187
8.8341     8.8568     13.9241
8.8851     8.9013     13.793
8.9254     8.9232     13.6292
8.9761     8.9638     13.45
8.9782     9.0303     13.2982
9.061      9.0026     13.1079
9.0984     8.9997     12.9026
9.122      8.9983     12.7243
9.1083     9.0145     12.6065
9.1167     9.0205     12.4971
9.1255     9.0093     12.394
9.127      8.99       12.2181
9.1201     8.9828     12.012
9.0843     8.994      11.8132
9.0817     8.9797     11.6491
9.0533     8.9517     11.4194
9.0434     8.8901     11.0873
9.0119     8.8568     10.9582
8.9869     8.8188     10.8246
8.9423     8.7917     10.7307
8.9345     8.7426     10.5973
8.8686     8.6695     10.4279
8.821      8.5924     10.2447
8.732      8.5693     10.0687
8.6418     8.5047     9.9016
8.5587     8.4189     9.7387
8.4925     8.3665     9.6423
8.4552     8.3154     9.5576
8.3504     8.3012     9.3965






































































































































































8.3335     8.309      9.398      NOSE
8.2014     8.3764     9.3398
8.0638     8.462      9.1715
7.8939     8.5354     9.0942
7.797      8.4565     8.9567
7.6588     8.3782     8.7952
7.5733     8.3418     8.6794
7.4517     8.2773     8.5345
7.3659     8.2107     8.4374
7.2522     8.1624     8.3341
7.1287     8.1019     8.1922
7.0096     8.0516     8.076
6.921      7.9484     7.9542
6.8521     7.8518     7.8553
6.7887     7.7769     7.7621
6.6821     7.7005     7.6377
6.5643     7.538      7.4749
6.4657     7.3819     7.3552
6.4092     7.2064     7.2031
6.4258     7.0574     7.1043
6.4889     6.8709     7.0917
6.5617     6.7775     7.0874
6.6371     6.6895     7.0772
6.676      6.6185     7.0038
6.6776     6.4786     6.93
6.6927     6.4032     6.9861
6.7662     6.4099     7.2088
6.9349     6.2779     7.1815
7.0746     6.2449     7.1813
7.2324     6.2206     7.198
7.4077     6.1994     7.2779
7.6119     6.3516     7.3941
7.7873     6.3727     7.579
7.9169     6.4712     7.7062
8.0733     6.5762     7.8887
8.1512     6.7044     8.0152
8.2584     6.8357     8.1402
8.3334     6.9451     8.2669
8.4173     7.0602     8.3762
8.4984     7.1828     8.5286
8.5552     7.2729     8.6498
8.639      7.4476     8.8383
8.6969     7.5162     8.9476
8.6901     7.6201     9.0105
8.7188     7.7438     9.2332
8.6833     7.9161     9.3936
8.6521     8.0748     9.4212
8.448      8.2717     9.4424
























































































































































6.6559     6.489      6.9349     NASP-PR
6.4785     6.3579     6.8309
6.3541     6.2259     6.6569
6.2892     6.1664     6.46
6.278      6.0702     6.2681
6.251      6.0099     6.0693
6.214      5.9934     5.8695
6.225      5.9877     5.6876
6.2192     5.9523     5.5424
6.2426     5.9629     5.3789
6.2385     6.0141     5.2259
6.2497     6.024      5.1681




























































































































































































7.8505     8.4674     9.0399     R-PM/MAX
7.7846     8.451      8.9612
7.6971     8.4148     8.8598
7.5986     8.3239     8.7168
7.5138     8.2923     8.584
7.3793     8.2171     8.4593
7.2913     8.1334     8.3412
7.162      8.1187     8.2446
7.0956     8.0692     8.1656
6.9859     8.0194     8.0496
6.9237     7.9937     7.9899
6.8824     8.0556     7.941
6.8979     8.1959     7.9361
6.743      8.1146     7.7389
6.6474     8.098      7.5791
6.5564     8.0628     7.412
6.4575     8.0459     7.234
6.3039     7.9938     7.0573
6.2029     8.0039     6.8923
6.0797     7.9988     6.7095
5.9561     7.9282     6.5653
5.8575     7.9518     6.367
5.7527     7.9129     6.2904
5.678      7.9188     6.0877
5.6524     7.8479     5.9636
5.6779     7.7937     5.8584
5.6971     7.7281     5.7476
5.8092     7.6062     5.5442
5.904      7.4546     5.426











































































































































































8.7231     7.5948     8.971      L-PM/MAX
8.6534     7.4173     8.8421
8.5763     7.3323     8.6609
8.4927     7.2243     8.5214
8.4557     7.159      8.4578
8.4035     7.0233     8.334
8.3249     6.9279     8.2307
8.2476     6.7682     8.1045
8.2549     6.6775     8.0218
8.4165     6.586      7.8881
8.3749     6.4913     7.7296
8.3621     6.3986     7.5934
8.2914     6.3184     7.4622
8.262      6.1809     7.276
8.206      6.0594     7.1074
8.2122     5.9533     6.953
8.2073     5.7914     6.7817
8.1907     5.6694     6.6442
8.1508     5.5645     6.4957
8.1213     5.4732     6.3329
8.1373     5.4257     6.1738
8.046      5.393      6.0057
8.0228     5.4216     5.8341
7.9808     5.4643     5.7017
7.7965     5.5731     5.558















































































































































































7.9233     10.9495    6.3237     ROSTRUM
7.8319     10.9284    6.5912
7.7753     10.9341    6.8256
7.8785     10.7539    7.0467
7.9525     10.674     7.1796
8.034      10.5771    7.2745
8.1649     10.4278    7.4057
8.2415     10.3228    7.5918
8.2767     10.2565    7.738
8.2819     10.1795    7.9044
8.2932     10.1489    8.0482
8.292      10.0753    8.1741
8.2814     10.0199    8.3328
8.2625     9.9171     8.5136
8.2523     9.8225     8.7693
8.2345     9.794      8.9398
8.192      9.7427     9.0924
8.128      9.6594     9.3091
8.0947     9.5779     9.5513
8.1516     9.4423     9.7496
8.2528     9.3132     9.8394
8.3212     9.1967     9.9311
8.3971     9.0716     9.9939
8.4459     9.0386     10.0425
8.5091     8.9581     10.078
8.6272     8.7952     10.1685
8.744      8.675      10.2172
8.8374     8.5652     10.2563
8.978      8.4406     10.2342
9.0818     8.3561     10.1941
9.1954     8.2768     10.0689
9.2892     8.1638     9.9405
9.3985     8.1138     9.8413
9.5796     7.9803     9.7441
9.6657     7.9111     9.6203
9.8177     7.9217     9.3518
9.902      7.9559     9.1766
9.9802     7.9939     9.0196
10.0566    8.0247     8.8339
10.1488    8.037      8.6743
10.2233    8.0267     8.5307
10.2994    8.0291     8.3606
10.3668    8.0219     8.2251
10.4185    7.9963     8.0537
10.5397    7.9752     7.9076
10.5916    7.9251     7.7855
10.6818    7.8876     7.6957
10.7929    7.8595     7.5519
10.9025    7.7821     7.4727
11.1411    7.6225     7.2747
11.2423    7.5762     7.2
11.2435    7.5419     7.0827
11.2998    7.5718     6.9229
11.3496    7.6164     6.7173
11.362     7.6425     6.5835
11.3476    7.6892     6.4285
















































































































































7.5091     12.4246    14.5264    SUPORB
7.5705     12.3577    14.6744
7.5262     12.2569    14.8664
7.4938     12.04      15.0344
7.5125     11.7578    15.137
7.4779     11.6338    15.1304
7.4506     11.4569    15.118
7.4067     11.2043    15.121
7.4345     11.0147    15.1411
7.4518     10.8646    15.1589
7.538      10.5798    15.1945
7.5988     10.3745    15.1971
7.6848     10.1844    15.2099
7.8145     9.9279     15.2037
7.9129     9.7133     15.1697
8.0208     9.4677     15.1264
8.1176     9.2867     15.0647
8.1928     9.0963     15.0207
8.3105     8.9784     14.9889
8.4707     8.7449     14.9342
8.5873     8.6273     14.9552
8.6766     8.5325     14.9478
8.7848     8.4552     14.981
8.9724     8.2879     15.0528
9.1514     8.1887     15.1078
9.3758     8.0523     15.1738
9.6558     8.008      15.2064
9.865      7.9803     15.2689
10.005     7.948      15.2776
10.1731    7.9002     15.308
10.3632    7.824      15.3308
10.4908    7.7453     15.3384
10.6724    7.6734     15.3411
10.7978    7.6034     15.3408
11.0042    7.552      15.3138
11.1966    7.5032     15.3044
11.3469    7.4551     15.3041
11.5464    7.487      15.3034
11.7546    7.5214     15.3036
11.9194    7.6023     15.294
12.0925    7.6352     15.2719
12.2044    7.6796     15.2368
12.16      7.6116     15.1468
12.3229    7.7825     14.9893
12.4556    7.7549     14.8429



























































































































































8.2063     10.6571    12.2454    RORBIT
8.0535     10.8747    12.2532
7.9449     11.1495    12.3882
7.815      11.3534    12.4867
7.783      11.5154    12.6581
7.7099     11.6581    12.8339
7.686      11.7696    13.0188
7.6772     11.8183    13.1835
7.6617     11.8456    13.3857
7.6399     11.8766    13.5804
7.627      11.8666    13.6338
7.5274     11.8294    13.83
7.433      11.7283    14.0463
7.3175     11.5417    14.1804
7.2087     11.3471    14.2491
7.1942     11.1844    14.2667
7.1575     11.0349    14.2978
7.1467     10.8292    14.3214
7.1182     10.6393    14.3549
7.0913     10.5145    14.3608
7.0859     10.4404    14.3666
7.1617     10.3057    14.3493
7.2538     10.1251    14.3337
7.3431     10.0326    14.319
7.3726     9.9837     14.3117
7.4608     9.9025     14.3214
7.5582     9.8052     14.3017
7.835      9.6954     14.3383
7.9381     9.3925     14.4264
8.1077     9.3339     14.3882
8.2923     9.2591     14.2964
8.3696     9.2487     14.2337
8.506      9.2655     14.1537
8.5777     9.4197     14.023
8.6951     9.5815     13.8927
8.7373     9.4956     13.7603
8.7932     9.4735     13.6737
8.8464     9.424      13.5115
8.9051     9.4025     13.393

































































































































































10.7736    8.1038     12.4157    LORBIT
10.9756    7.9505     12.4625
11.1453    7.8572     12.551
11.3176    7.7959     12.6726
11.493     7.7078     12.82
11.592     7.7276     12.9638
11.6978    7.7404     13.1073
11.7727    7.7506     13.2674
11.8713    7.758      13.4981
11.879     7.7188     13.6579
11.9059    7.6783     13.8596
11.9033    7.6687     13.9686
11.9224    7.6331     14.1161
11.891     7.6172     14.2054
11.802     7.5948     14.3145
11.6361    7.5065     14.4694
11.4275    7.3479     14.5666
11.2859    7.3001     14.5992
11.1247    7.2386     14.6252
10.9042    7.2101     14.6349
10.7512    7.2568     14.6106
10.4932    7.2325     14.6008
10.3547    7.2369     14.612
10.1914    7.372      14.5476
10.0098    7.5851     14.4969
9.8765     7.8098     14.4122
9.6066     7.9815     14.49
9.4482     8.0775     14.4757
9.3646     8.3211     14.3793
9.3154     8.5038     14.1999
9.3445     8.6097     14.0707
9.3688     8.6517     13.9645
9.4076     8.7519     13.7244
9.4172     8.8178     13.6035
9.412      8.8715     13.5129
9.4246     8.9211     13.3857




































































































































































7.5085     12.5654    14.3577    RTEMFOS
7.483      12.6722    14.0847
7.428      12.7517    13.8671
7.3633     12.8249    13.6873
7.3176     12.8826    13.4747
7.3225     13.0111    13.2464
7.3024     13.088     13.0347
7.2671     13.1076    12.8839
7.2614     13.1805    12.6788
7.2396     13.2075    12.5614
7.2368     13.2437    12.3309
7.2221     13.2806    12.1372
7.1728     13.3146    11.8973
7.1071     13.4084    11.6748
7.1326     13.5992    11.5259
7.1926     13.8016    11.3945
7.1916     13.9564    11.3233
7.2133     14.1316    11.2989
7.2958     14.3772    11.2798
7.3653     14.5084    11.2761
7.4709     14.7155    11.3284
7.5389     14.8034    11.346
7.5972     14.9084    11.3796
7.6443     15.0653    11.4273
















































































































































































12.4926    7.7372     14.7907    LTEMFOS
12.5819    7.7028     14.5838
12.6394    7.6208     14.4279
12.7478    7.5814     14.2387
12.848     7.5105     14.0169
12.9817    7.4725     13.7767
13.049     7.4462     13.6486
13.1467    7.4201     13.4606
13.2042    7.3831     13.2487
13.2863    7.3644     13.0688
13.3369    7.3133     12.849
13.3757    7.2761     12.661
13.4704    7.1871     12.3556
13.5814    7.1639     12.1916
13.757     7.1634     12.0537
14.0086    7.1772     11.9439
14.1841    7.1976     11.8572
14.4093    7.2209     11.7742
14.4754    7.362      11.7949
14.629     7.3573     11.7647
14.8143    7.3521     11.7568
14.9116    7.5006     11.8166
15.1048    7.4911     11.8155
15.3022    7.5935     11.8991
















































































































































































7.7503     6.7284     12.4708    OP
9.1394     8.213      12.86      BA
12.573     12.112     12.7499    ST
15.9852    15.9858    13.0463    IV
6.2498     10.9772    12.6942    R_PG
6.2693     13.5819    11.6275    R_ZTI
11.3717    13.771     14.2024    R_M3D
12.8081    15.8199    14.1243    R_M12
14.7149    17.5564    13.7764    R_MP3
16.184     18.0331    13.2635    R_PMI
12.324     5.68       12.5796    L_PG
14.8067    6.014      11.3794    L_ZTI
14.4285    11.3089    14.1604    L_M3D
16.4648    13.0077    14.0696    L_M12
17.9815    15.0743    13.7094    L_MP3
18.1704    16.5584    13.3495    L_PMI
18.3493    17.9787    13.0188    O1
9.5608     13.0133    6.2927     O2
14.3739    5.5853     10.5188    O3
7.3718     4.8009     9.4782     O4




















































































































































































10.1667    15.1542    11.6308    RZYGINF
9.9685     15.1325    11.5476
9.7227     15.0841    11.464
9.5006     15.0575    11.3108
9.1786     15.0816    11.2441
8.9796     14.9651    11.2459
8.6925     14.9398    11.2424
8.4537     14.9062    11.2627
8.2686     14.8703    11.2858
8.0339     14.8243    11.3332
7.7046     14.7173    11.318
7.4894     14.4281    11.3607
7.3638     14.2458    11.3883
7.252      14.1342    11.3985
7.0919     14.0629    11.4245
6.9438     13.9327    11.4926
6.8483     13.9102    11.5103
6.681      13.8224    11.5371
6.5045     13.7793    11.5635
6.396      13.6578    11.6205
6.2074     13.6978    11.5131
6.183      13.5555    11.584


















































































































































































15.7378    10.0302    11.416     LZYGINF
15.7329    9.7626     11.2882
15.7294    9.69       11.2145
15.7665    9.4636     11.1026
15.696     9.2495     11.0816
15.7414    8.9046     11.0893
15.7429    8.7129     11.1091
15.6725    8.413      11.137
15.5985    8.1845     11.1593
15.501     7.9607     11.1761
15.438     7.7095     11.1896
15.3675    7.4489     11.211
15.2628    7.2896     11.2441
15.1262    7.1401     11.3189
14.9959    6.9916     11.3839
14.9282    6.8407     11.4132
14.8442    6.7301     11.456
14.7621    6.6275     11.4774
14.6889    6.4206     11.5173
14.6607    6.2373     11.5154
14.7061    6.1361     11.4831
14.8009    6.0566     11.4383


















































































































































































11.3378    13.673     14.087     R-ALV
11.342     14.0216    14.1426
11.4505    14.3212    14.1103
11.5791    14.5131    14.152
11.7254    14.7162    14.1708
11.857     14.9698    14.1065
12.0534    15.1913    14.124
12.2478    15.4176    14.0891
12.4036    15.5867    14.0712
12.5815    15.7133    14.0772
12.78      15.8763    14.0333
13.0092    16.0924    14.0253
13.2645    16.3635    13.9109
13.4869    16.555     13.8702
13.6915    16.6405    13.918
13.8844    16.7928    13.9499
14.0878    17.036     13.9342
14.2329    17.1351    13.931
14.4052    17.2682    13.9681
14.5583    17.4223    13.8751
14.6954    17.5207    13.8047



















































































































































































14.4066    11.3149    14.2107    L-ALV
14.7404    11.391     14.24
14.9421    11.4888    14.2079
15.2082    11.5448    14.1742
15.466     11.776     14.1011
15.6865    11.9999    14.0905
15.9184    12.2173    14.0745
16.1572    12.4389    14.0354
16.4145    12.8419    13.9061
16.6859    13.2057    13.9092
16.8474    13.4328    13.9556
17.0044    13.6741    13.9865
17.1389    13.9386    13.9663
17.3224    14.164     13.9508
17.4714    14.3646    13.9068
17.6816    14.6385    13.9044
17.8201    14.7522    13.826
17.9435    14.9568    13.7629
