FMNH        27189     Tg18stv
15.6522     15.5779     14.7113     IN
12.6054     12.521      16.3196     BR
8.7857      8.5825      13.6351     GL
9.2184      8.814       12.8306     NA
8.7404      8.357       9.3882      RH
7.6381      7.1281      7.1482      NS
7.0681      6.7077      5.5977      PR
6.7399      7.1832      5.7223      R_PR2
8.4293      8.7018      9.1227      R_PMS
7.9883      12.2039     8.862       R_ZMI
8.4873      10.6616     11.3285     R_ZMU
9.2931      9.4187      12.1278     R_DA
7.908       9.6778      13.1003     R_MTI
8.1762      9.7827      14.0822     R_MTS
7.8499      11.4488     12.7735     R_FMO
7.8614      12.0782     13.227      R_FMT
11.467      16.1899     12.439      R_PO
8.304       14.1402     10.2354     R_ZTS
7.5053      6.4109      5.7007      L_PR2
9.2605      8.1784      9.2513      L_PMS
12.9889     7.5943      9.3647      L_ZMI
10.984      8.3253      11.375      L_ZMU
9.8153      8.9727      12.1152     L_DA
10.2255     7.6657      13.2427     L_MTI
10.3182     7.9847      14.152      L_MTS
11.9314     7.5914      13.1271     L_FMO
12.6107     7.7337      13.328      L_FMT
16.494      11.5895     12.5386     L_PO
14.8525     7.9927      11.0546     L_ZTS
7.2753      6.2696      5.3326      O1
8.5299      11.4558     13.9091     O2
16.361      9.3054      11.8936     O3
16.1094     14.8412     14.4235     O4







































































































































































8.8466      8.5585      13.5194     GLRH
9.027       8.6053      13.4001
9.1075      8.7288      13.1865
9.1845      8.7463      13.0667
9.1826      8.8342      12.9141
9.2449      8.8756      12.6918
9.2882      8.9268      12.5368
9.3503      8.992       12.3534
9.3937      9.0396      12.1694
9.455       9.0382      11.9717
9.4714      9.0974      11.7517
9.457       9.1336      11.4593
9.435       9.1595      11.1727
9.447       9.1032      11.0204
9.4259      9.0423      10.8617
9.3836      8.9792      10.6774
9.3343      8.9503      10.5404
9.3081      8.8872      10.425
9.2501      8.8659      10.3089
9.1927      8.7925      10.1489
9.1334      8.7272      10.0206
9.0443      8.6389      9.8673
8.9602      8.6059      9.7588
8.919       8.5377      9.6805
8.7757      8.4345      9.5084
8.7508      8.367       9.4216














































































































































































8.7665      8.3632      9.4268      NOSE
8.5694      8.5762      9.3799
8.5232      8.6496      9.1098
8.3666      8.7507      8.9768
8.2389      8.8234      8.7183
8.1874      8.682       8.6016
8.1168      8.6464      8.4831
8           8.5777      8.3296
7.9833      8.4956      8.1969
7.8249      8.4242      8.1066
7.7311      8.3717      7.9646
7.6457      8.2734      7.8378
7.5827      8.1377      7.6577
7.5111      8.0264      7.574
7.4933      7.8979      7.4992
7.4376      7.7705      7.4235
7.4435      7.6         7.3504
7.4791      7.4228      7.3121
7.4628      7.2992      7.2635
7.5289      7.2355      7.2028
7.5981      7.1886      7.1315
7.6836      7.1205      7.1636
7.7644      7.0247      7.2832
7.9441      7.0114      7.3324
8.0901      6.9908      7.3904
8.2377      6.9956      7.455
8.3779      7.021       7.5334
8.4542      7.1196      7.6344
8.5858      7.1802      7.7643
8.7285      7.2004      7.8202
8.7206      7.2727      7.9527
8.7972      7.3843      8.1283
8.89        7.4884      8.2362
9.0217      7.6018      8.3751
9.0326      7.6713      8.475
9.0937      7.7448      8.6111
9.1034      7.8479      8.7452
9.1332      7.8988      8.8411
9.158       7.9768      8.9994
9.0387      8.0133      9.1327
8.978       8.1442      9.3283
8.9087      8.2486      9.4278
8.8417      8.3311      9.4538
8.7581      8.3642      9.4247




























































































































































7.65        7.1655      7.1567      NASP-PR
7.4955      7.035       7.0083
7.3885      6.9164      6.8781
7.2994      6.8193      6.6591
7.2209      6.7527      6.5119
7.1581      6.6952      6.3644
7.104       6.6804      6.1795
7.0796      6.6387      6.0785
7.0771      6.6816      5.8315































































































































































































8.434       8.7175      9.1322      R-PM/MAX
8.3579      8.7257      8.9297
8.321       8.7056      8.822
8.2528      8.6942      8.7055
8.1726      8.6216      8.5401
8.0827      8.5563      8.3712
8.0047      8.5048      8.2495
7.9079      8.4913      8.2199
7.8073      8.3432      8.005
7.6707      8.32        7.8984
7.6161      8.3087      7.8382
7.6833      8.4862      7.8387
7.6049      8.4889      7.6628
7.4978      8.4633      7.4763
7.4496      8.4437      7.3525
7.3623      8.3977      7.2568
7.2625      8.404       7.0978
7.1879      8.4349      6.963
7.093       8.4347      6.8112
6.9396      8.4087      6.6001
