MNHN       1969.45    Tg28stv
-0.3455    16.6846    11.1343    IN
-0.0406    12.9611    14.3133    BR
0.0973     7.2148     13.0027    GL
0.0882     7.2524     12.6023    NA
0.0913     5.3354     8.8903     RH
0.1235     2.834      7.1579     NS
0.1833     2.279      5.5042     PR
-0.5481    2.4469     5.559      R_PR2
-0.4538    5.1223     8.7762     R_PMS
-3.2073    7.8647     7.8162     R_ZMI
-1.6015    7.4831     10.7697    R_ZMU
-0.2487    7.3782     11.6969    R_DA
-1.4303    7.1963     12.8346    R_MTI
-1.2627    7.6042     13.3017    R_MTS
-2.5895    8.1985     12.1552    R_FMO
-2.9261    8.8732     12.3835    R_FMT
-3.9985    13.9608    9.9444     R_PO
-4.4612    9.2397     9.3215     R_ZTS
0.9034     2.4778     5.7213     L_PR2
0.604      5.1436     8.7186     L_PMS
3.3042     7.8521     7.8851     L_ZMI
1.7712     7.5178     10.7252    L_ZMU
0.4722     7.4682     11.7148    L_DA
1.5746     7.3792     12.7705    L_MTI
1.737      7.756      13.3135    L_MTS
2.7266     8.3947     12.1708    L_FMO
2.8797     9.0694     12.6853    L_FMT
3.6573     14.3492    9.8907     L_PO
4.5395     9.5389     9.3866     L_ZTS
-0.2059    2.0837     5.4844     O1
-2.7113    8.8975     12.6234    O2
5.1264     11.3795    9.3406     O3
-1.4753    16.3312    11.1069    O4







































































































































































0.0949     7.2201     12.9275    GLRH
0.0947     7.2572     12.746
0.0632     7.2554     12.5595
0.0585     7.2008     12.3875
0.0798     7.172      12.2621
0.0685     7.141      12.111
0.1124     7.1262     11.8592
0.0897     7.1083     11.6807
0.0747     7.0281     11.3661
0.0783     6.9621     11.1444
0.0667     6.9013     10.9943
0.0767     6.8271     10.7958
0.0977     6.7505     10.6499
0.1185     6.6614     10.4874
0.0917     6.5938     10.3538
0.0844     6.4653     10.1722
0.0862     6.3546     10.0216
0.1043     6.2321     9.9067
0.1        6.1094     9.7451
0.0802     5.9362     9.5385
0.0952     5.8084     9.425
0.0808     5.6608     9.2877
0.0685     5.534      9.1737
0.0793     5.4268     9.0623
0.0923     5.3743     8.9823
0.0952     5.3358     8.8993














































































































































































0.0589     5.3451     8.96       NOSE
-0.1825    5.3004     8.9364
-0.3613    5.1166     8.7414
-0.4805    4.9464     8.6087
-0.5413    4.6975     8.4213
-0.5828    4.4969     8.2537
-0.6035    4.241      8.0642
-0.649     3.9896     7.8495
-0.5838    3.8365     7.7255
-0.5963    3.7098     7.6265
-0.6404    3.4626     7.4849
-0.4379    3.1793     7.3823
-0.24      3.0218     7.3753
-0.0794    2.9227     7.3672
0.0304     2.8463     7.225
0.0618     2.8134     7.1539
0.1992     2.8113     7.2181
0.2061     2.929      7.2837
0.3381     3.0535     7.392
0.5273     3.1382     7.4272
0.7039     3.2978     7.4572
0.7661     3.4907     7.513
0.835      3.7006     7.664
0.8833     3.8902     7.792
0.8546     4.0329     7.874
0.8546     4.1636     7.9676
0.8303     4.3251     8.107
0.8031     4.4819     8.2199
0.8087     4.6276     8.3319
0.7842     4.7611     8.4026
0.7508     4.901      8.5433
0.6344     5.0589     8.6874
0.603      5.1637     8.7661
0.4461     5.2219     8.8693
0.3141     5.2967     8.903
0.0967     5.3356     8.9201




































































































































































0.1173     2.8044     7.1473     NASP-PR
0.1287     2.6301     7.0265
0.1352     2.4389     6.7875
0.1065     2.3462     6.5134
0.1187     2.2925     6.3078
0.1079     2.269      6.0836
0.1549     2.2686     5.9739
0.1904     2.2725     5.7442
0.2147     2.2849     5.5728











































































































