MNHN       1962.1467  Tg30stv
-0.5526    18.3976    12.7154    IN
0.0642     14.6316    15.0913    BR
0.4817     8.4742     14.3004    GL
0.4411     8.5882     13.84      NA
0.3758     6.401      9.2886     RH
0.4945     3.2699     7.4704     NS
0.4839     2.3451     5.7785     PR
-0.3601    2.4042     5.7449     R_PR2
-0.1791    5.9904     9.0989     R_PMS
-3.6571    8.8567     8.3383     R_ZMI
-1.4576    8.576      11.42      R_ZMU
0.1339     8.6172     12.9196    R_DA
-1.672     8.4898     13.6833    R_MTI
-1.7474    8.8029     14.3492    R_MTS
-2.8219    9.2835     12.9335    R_FMO
-3.2465    9.9413     13.0636    R_FMT
-4.2324    15.3944    10.2148    R_PO
-4.9567    10.2638    9.7232     R_ZTS
1.2864     2.5203     5.6949     L_PR2
0.9073     6.18       9.1902     L_PMS
4.1153     9.1926     8.5142     L_ZMI
2.0744     8.919      11.5431    L_ZMU
0.7896     8.7441     12.7056    L_DA
2.2261     8.718      13.8586    L_MTI
1.9201     9.0848     14.5011    L_MTS
3.3221     9.9811     12.966     L_FMO
3.6859     10.6236    13.1113    L_FMT
3.9831     15.8408    10.2389    L_PO
5.1675     10.9024    9.817      L_ZTS
0.0769     2.1151     5.5047     O1
2.9849     10.578     14.0411    O2
-5.5082    12.9996    9.8118     O3
1.3548     17.9562    12.1852    O4







































































































































































0.4981     8.5022     14.2003    GLRH
0.4673     8.6302     13.9866
0.4764     8.5862     13.8919
0.443      8.5539     13.6677
0.4464     8.5197     13.5368
0.4392     8.4922     13.3717
0.4101     8.4855     13.2199
0.431      8.4751     13.0707
0.4638     8.4674     12.887
0.4284     8.446      12.6504
0.4391     8.3995     12.478
0.4504     8.3622     12.3041
0.4447     8.3393     12.1459
0.4167     8.277      11.9364
0.4156     8.2035     11.7061
0.4456     8.1448     11.5401
0.4315     8.0592     11.3561
0.4698     7.9958     11.1725
0.4559     7.9124     11.0334
0.4788     7.78       10.8355
0.4466     7.6659     10.6647
0.4087     7.495      10.4496
0.4427     7.3286     10.2686
0.4527     7.1488     10.0715
0.4327     6.9689     9.907
0.4301     6.8016     9.7587
0.3802     6.7074     9.6491
0.3641     6.5338     9.4929
0.3678     6.4818     9.424
0.3626     6.416      9.3067










































































































































































0.3723     6.415      9.2914     NOSE
0.1532     6.2729     9.3441
-0.0658    6.1367     9.2369
-0.2357    5.9634     9.0879
-0.3007    5.8246     8.9568
-0.3427    5.7349     8.879
-0.3956    5.5753     8.7476
-0.46      5.3767     8.6275
-0.4771    5.226      8.5291
-0.4753    5.0211     8.3969
-0.4746    4.8138     8.2668
-0.4659    4.5816     8.1142
-0.4461    4.3988     8.0188
-0.4275    4.2007     7.9172
-0.3998    3.9464     7.7893
-0.3012    3.7253     7.7457
-0.2155    3.5422     7.7528
-0.0715    3.4269     7.7837
0.0898     3.3359     7.8146
0.2212     3.223      7.7463
0.2696     3.2146     7.6425
0.3253     3.2016     7.5129
0.4771     3.2535     7.4692
0.6037     3.2985     7.5203
0.6247     3.3116     7.6104
0.6573     3.3284     7.7379
0.759      3.3806     7.8004
0.9185     3.485      7.8005
1.0476     3.6875     7.7521
1.158      3.7728     7.7427
1.2413     3.9319     7.7479
1.3143     4.1244     7.8061
1.3542     4.2463     7.8853
1.3249     4.4561     7.9773
1.3102     4.662      8.1332
1.3258     4.87       8.256
1.2758     5.0316     8.3464
1.2579     5.1974     8.4489
1.2328     5.3423     8.5145
1.2292     5.4301     8.5737
1.1596     5.6162     8.6936
1.0762     5.7566     8.8314
1.0772     5.7891     8.8879
0.9634     5.9875     9.0168
0.8553     6.1069     9.0984
0.7405     6.215      9.2615
0.5976     6.3123     9.309
0.4398     6.4036     9.3386
0.3832     6.3992     9.3347























































































































































0.4826     3.2549     7.4735     NASP-PR
0.5101     3.0093     7.3003
0.4741     2.8138     7.0912
0.4631     2.663      6.806
0.4802     2.5859     6.6143
0.4959     2.5171     6.3816
0.5008     2.4767     6.2294
0.4943     2.4249     6.0633
0.493      2.4027     5.8976































































































































































































-0.2239    5.9828     9.1146     R-PM/MAX
-0.3419    5.6492     8.7922
-0.4216    5.5147     8.6986
-0.4648    5.3        8.5698
-0.5029    5.1075     8.4319
-0.5124    4.9705     8.3525
-0.4826    4.7634     8.2325
-0.5349    4.6393     8.1607
-0.5481    4.53       8.0856
-0.5442    4.4755     8.032
-0.6834    4.418      7.939
-0.7572    4.5333     7.9382
-0.834     4.6098     7.8956
-0.9121    4.4864     7.7294
-0.9976    4.358      7.5907
-1.0549    4.2157     7.4575
-1.1384    3.9926     7.2734
-1.2416    3.7877     6.9963
-1.3026    3.6884     6.8792
-1.3632    3.5283     6.6785
-1.4211    3.433      6.4746
-1.3805    3.3806     6.2449
-1.2242    3.2851     6.0989
-1.1066    3.2303     5.9287
-0.9479    3.2847     5.734















































































































































































0.9533     6.1972     9.182      L-PM/MAX
1.0075     5.9689     8.9509
1.0562     5.7782     8.7361
1.1503     5.5444     8.5976
1.2127     5.3005     8.4161
1.2521     5.1122     8.3363
1.2569     4.961      8.2635
1.3093     4.7964     8.1879
1.34       4.5842     8.0655
1.5254     4.6004     7.9367
1.6437     4.7804     7.9116
1.7691     4.7021     7.7388
1.8773     4.5521     7.5499
1.929      4.3368     7.3901
2.0522     4.2342     7.24
2.1527     4.077      7.0546
2.2671     3.9276     6.8226
2.2908     3.7747     6.6218
2.3282     3.7019     6.4614
2.2203     3.5614     6.2538
2.1092     3.4657     6.1303
2.0122     3.4121     5.9424
1.9508     3.4568     5.8496

















































































































































































-2.1641    7.3951     6.0434     ROSTRUM
-2.1685    7.3853     6.2974
-2.0921    7.3595     6.4971
-1.9366    7.3729     6.6842
-1.7689    7.4103     6.8351
-1.5845    7.3861     7.0115
-1.4434    7.3993     7.2064
-1.3587    7.4046     7.4249
-1.2931    7.4384     7.7224
-1.1735    7.4453     8.0927
-1.1196    7.4396     8.3047
-1.0626    7.4271     8.5043
-0.9794    7.448      8.6564
-0.8932    7.4242     8.8501
-0.855     7.4435     9.0639
-0.8398    7.436      9.2423
-0.8027    7.417      9.4378
-0.6989    7.4148     9.6997
-0.556     7.3886     9.9127
-0.4191    7.3836     9.9963
-0.2934    7.3962     10.1104
-0.1355    7.4161     10.1897
0.0197     7.4056     10.2559
0.1468     7.4208     10.265
0.2972     7.4133     10.3133
0.4089     7.4403     10.3619
0.5718     7.5532     10.391
0.7179     7.5593     10.3271
0.8377     7.556      10.2063
0.9667     7.5482     10.0752
1.0856     7.5522     9.9761
1.2208     7.5636     9.8434
1.3231     7.5642     9.6862
1.4129     7.5796     9.5214
1.4495     7.602      9.3289
1.4913     7.6455     9.0887
1.5393     7.6533     8.8193
1.6235     7.6548     8.619
1.6881     7.6553     8.3653
1.7457     7.6784     8.1875
1.8029     7.7129     8.0104
1.8637     7.7465     7.7842
1.9119     7.7243     7.582
1.9918     7.7362     7.3917
2.093      7.7393     7.2202
2.1914     7.7069     7.0886
2.2898     7.6947     6.9609
2.4056     7.6929     6.8643
2.529      7.7045     6.7515
2.6555     7.6853     6.5513
2.7242     7.7152     6.3443
2.7259     7.6839     6.112
2.7336     7.6768     5.9674
2.6807     7.6712     5.7825


















































































































































-3.2539    9.8534     13.1716    SUPORB
-3.2186    9.8294     13.4298
-3.1406    9.8193     13.6174
-2.9998    9.7821     13.7795
-2.841     9.7085     13.9149
-2.6124    9.5518     14.0712
-2.465     9.3975     14.1489
-2.194     9.2754     14.2373
-1.9557    9.2484     14.2907
-1.7043    9.1428     14.3548
-1.5097    9.0619     14.3802
-1.3089    9.0147     14.4014
-1.0895    8.9213     14.4082
-0.7518    8.8263     14.4439
-0.493     8.7111     14.4615
-0.2091    8.6118     14.4364
-0.0198    8.6387     14.4394
0.1177     8.5582     14.4236
0.3715     8.55       14.4028
0.5195     8.5824     14.383
0.7505     8.6853     14.4272
1.0303     8.7529     14.4607
1.3298     8.8629     14.4838
1.599      8.955      14.5026
1.8402     9.1453     14.5101
2.0867     9.3504     14.4982
2.2128     9.4337     14.4859
2.4518     9.5137     14.4436
2.6327     9.6169     14.3868
2.7575     9.7355     14.3508
2.8562     9.8451     14.2991
2.9246     9.9768     14.2599
3.0136     10.1064    14.2024
3.1015     10.205     14.1553
3.2025     10.3243    14.1067
3.2589     10.3997    14.0352
3.3719     10.5477    13.9137
3.4983     10.6233    13.7061
3.588      10.6484    13.4802
3.6313     10.6415    13.3201
3.6672     10.6665    13.1785
3.7091     10.6476    13.0752






























































































































































-1.5392    8.5419     11.3942    RORBIT
-1.7593    8.6524     11.3993
-2.0354    8.6867     11.4048
-2.2541    8.8595     11.5171
-2.4737    9.0152     11.7108
-2.682     9.2103     11.9635
-2.7121    9.3141     12.1452
-2.7593    9.3705     12.3592
-2.824     9.4005     12.6544
-2.823     9.3138     12.9085
-2.8175    9.2068     13.082
-2.755     9.0161     13.3341
-2.5861    8.7733     13.532
-2.3106    8.5536     13.7207
-2.0307    8.5108     13.7039
-1.7715    8.4587     13.7253
-1.5638    8.402      13.7509
-1.2542    8.3584     13.7098
-1.0235    8.3743     13.7368
-0.8372    8.4436     13.7613
-0.5906    8.4612     13.7819
-0.3848    8.5501     13.7617
-0.1706    8.6655     13.5937
-0.0433    8.6493     13.3586
-0.0311    8.6528     13.1921
-0.0002    8.6592     13.0667
0.0488     8.632      13.0124
0.154      8.5982     12.8375












































































































































































2.0998     8.9344     11.522     LORBIT
2.3737     8.9848     11.5155
2.6432     9.0745     11.551
2.8364     9.1907     11.5849
2.8956     9.4299     11.7067
3.05       9.5631     11.8616
3.2811     9.7056     12.0561
3.3413     9.8537     12.2784
3.3965     9.9946     12.7224
3.366      10.0032    12.8904
3.3121     9.968      13.0891
3.2895     9.9121     13.2152
3.2555     9.7958     13.3746
3.1695     9.6219     13.5358
3.1302     9.4656     13.6599
2.878      9.234      13.7783
2.72       9.0501     13.8371
2.5445     8.873      13.8862
2.3024     8.7913     13.8472
2.097      8.7813     13.7685
1.822      8.691      13.8384
1.6215     8.6711     13.8689
1.3025     8.7372     13.8324
1.0888     8.8289     13.6558
0.9674     8.9073     13.3685
0.8876     8.803      13.2255
0.7999     8.7475     13.063
0.7319     8.716      12.8908
0.7713     8.7227     12.684




















































































