MNHN       1972.361   Tg32stv
-0.0594    17.6122    11.1129    IN
-0.2554    13.8493    14.0887    BR
0.1892     7.9002     12.7139    GL
0.1738     8.102      11.8176    NA
0.1332     6.7837     8.8799     RH
0.2043     4.9049     7.047      NS
0.3525     4.4408     5.7383     PR
-0.3507    4.6002     5.719      R_PR2
-0.4051    6.7415     8.6926     R_PMS
-3.1301    9.032      7.6442     R_ZMI
-1.4564    8.4396     10.1786    R_ZMU
-0.1805    8.427      11.1213    R_DA
-1.278     8.047      12.3084    R_MTI
-1.2464    8.3721     12.9805    R_MTS
-2.5071    9.0844     11.3159    R_FMO
-3.0444    9.5992     11.7267    R_FMT
-3.7506    14.5281    9.7509     R_PO
-4.1301    10.1881    8.8159     R_ZTS
0.9946     4.6946     5.8652     L_PR2
0.6288     7.2754     9.1806     L_PMS
3.4347     9.1763     7.8212     L_ZMI
1.8802     8.6309     10.2939    L_ZMU
0.431      8.3398     10.9972    L_DA
1.6808     8.3096     12.2603    L_MTI
1.6358     8.4022     12.9381    L_MTS
2.8353     9.2937     11.6312    L_FMO
3.1616     9.8605     11.7227    L_FMT
3.1332     14.6649    9.6398     L_PO
4.1945     10.2841    9.0313     L_ZTS
-0.0411    4.2433     5.9464     O1
2.7517     9.9248     12.5874    O2
-4.7856    12.1484    8.8839     O3
0.8777     17.4076    11.4877    O4







































































































































































0.2194     7.8905     12.6257    GLRH
0.2466     7.9445     12.3829
0.2454     8.0416     12.1727
0.2171     8.0676     11.9746
0.1799     8.1068     11.8317
0.1762     8.1063     11.5247
0.1804     8.1315     11.2652
0.1831     8.1016     11.0102
0.1885     8.0605     10.74
0.1778     8.0006     10.5521
0.1918     7.9671     10.4116
0.2029     7.8781     10.2226
0.191      7.8179     10.0892
0.189      7.6735     9.8536
0.2016     7.5766     9.701
0.2132     7.408      9.5289
0.191      7.2548     9.3847
0.178      7.1199     9.2751
0.169      7.0144     9.18
0.1597     6.9043     9.0468
0.1724     6.7954     8.9251



















































































































































































0.1844     6.7987     8.9486     NOSE
-0.0669    6.796      8.909
-0.2642    6.7175     8.7465
-0.4133    6.6251     8.554
-0.4869    6.5331     8.3616
-0.5972    6.4199     8.1854
-0.5983    6.2861     8.0087
-0.631     6.0562     7.795
-0.6252    5.9314     7.6794
-0.6133    5.7688     7.5296
-0.5254    5.5867     7.384
-0.4048    5.4273     7.3051
-0.2586    5.2342     7.2568
-0.1333    5.0818     7.2074
0.0176     4.9784     7.1844
0.0884     4.9374     7.1473
0.1358     4.8781     7.0553
0.2138     4.8965     7.0501
0.3153     4.8956     7.0895
0.3722     4.889      7.1569
0.4295     4.981      7.2126
0.5128     5.1536     7.2612
0.5824     5.2888     7.2945
0.7027     5.4336     7.3529
0.7726     5.5807     7.4423
0.879      5.7477     7.5675
0.8629     5.9201     7.7152
0.908      6.043      7.8447
0.8578     6.2437     8.0202
0.8181     6.3608     8.1551
0.7783     6.4651     8.3416
0.7819     6.5726     8.527
0.7396     6.6335     8.6269
0.6783     6.6475     8.6834
0.6047     6.7081     8.7775
0.4733     6.7752     8.8896
0.388      6.8282     8.9123
0.198      6.7915     8.9223


































































































































































0.2252     4.9188     7.0663     NASP-PR
0.222      4.769      6.9534
0.2163     4.6243     6.7877
0.2296     4.4999     6.5807
0.2863     4.446      6.4143
0.3053     4.4103     6.2143
0.3064     4.3897     6.053
0.3622     4.4219     5.8117
0.38       4.4893     5.6174































































































































































































-0.326     6.9899     8.9495     R-PM/MAX
-0.3814    6.8354     8.7871
-0.443     6.706      8.6109
-0.4758    6.6082     8.4826
-0.5544    6.5186     8.3016
-0.5582    6.4231     8.1941
-0.6243    6.3085     8.0116
-0.6319    6.1728     7.8686
-0.617     6.0275     7.7599
-0.6079    5.8504     7.6225
-0.6964    5.8655     7.5388
-0.7878    5.9062     7.444
-0.825     5.8199     7.2621
-0.9111    5.7878     7.0849
-0.9761    5.6429     6.8717
-1.0101    5.5        6.6722
-1.0447    5.3879     6.4813
-1.0905    5.3217     6.2756
-1.0608    5.3147     6.0998
-0.9382    5.2536     5.9498
-0.8596    5.2259     5.8883



















































































































































































0.603      7.2092     9.1341     L-PM/MAX
0.6884     7.1031     9.0088
0.6901     6.9208     8.8756
0.7233     6.7676     8.7267
0.7934     6.6353     8.5323
0.8445     6.5641     8.4189
0.8891     6.4541     8.2364
0.9205     6.3153     8.078
0.8851     6.1976     7.9662
0.9443     6.063      7.8375
0.9606     5.9447     7.7397
0.9949     5.8918     7.6449
1.0531     5.9227     7.5908
1.1336     5.9569     7.5139
1.1621     5.8461     7.3239
1.1981     5.8044     7.2291
1.2971     5.75       7.0629
1.3595     5.6803     6.9124
1.4036     5.6011     6.7829
1.4523     5.4868     6.6365
1.5136     5.4496     6.4975
1.5677     5.4069     6.2571
1.5384     5.423      6.1534
1.443      5.4043     5.9983
1.3347     5.4294     5.887















































































































































































-1.8737    7.8275     6.1714     ROSTRUM
-1.8991    7.8369     6.3
-1.9143    7.8474     6.5084
-1.8693    7.8327     6.6598
-1.7888    7.86       6.8008
-1.7006    7.8533     6.9351
-1.5603    7.829      7.1253
-1.4264    7.7758     7.3902
-1.3792    7.8231     7.565
-1.2942    7.8167     7.852
-1.2788    7.8137     8.0804
-1.2328    7.7577     8.3097
-1.2142    7.768      8.5006
-1.1112    7.6734     8.6357
-0.9787    7.6586     8.7541
-0.8571    7.6498     8.8713
-0.68      7.6884     9.0318
-0.5161    7.6565     9.1271
-0.3825    7.6022     9.2723
-0.3217    7.6218     9.3762
-0.2111    7.6111     9.5092
-0.1001    7.592      9.5646
-0.032     7.6169     9.6415
0.0918     7.639      9.7434
0.2391     7.6198     9.752
0.4224     7.6179     9.6844
0.5556     7.6553     9.6403
0.6968     7.6973     9.4846
0.8616     7.7595     9.3051
0.9907     7.7417     9.1884
1.1982     7.7683     9.0297
1.3671     7.7835     8.8748
1.4323     7.8222     8.7594
1.4813     7.8655     8.5782
1.5233     7.9028     8.319
1.5668     7.9218     8.1676
1.6211     7.9681     7.9648
1.6952     8.0666     7.7811
1.7698     8.118      7.5929
1.8335     8.0987     7.4708
1.9167     8.0957     7.3434
1.9842     8.1195     7.2148
2.0784     8.1129     7.0707
2.1681     8.1171     6.9582
2.2433     8.1252     6.8294
2.2907     8.1206     6.6827
2.3215     8.1103     6.4666
2.2988     8.139      6.3282
2.2678     8.1636     6.2239
2.2689     8.1738     6.1758






















































































































































-3.0197    9.6619     11.7965    SUPORB
-2.94      9.6174     12.001
-2.8498    9.5346     12.2304
-2.6612    9.3707     12.4239
-2.4868    9.3418     12.5974
-2.3926    9.1959     12.6156
-2.2985    9.1159     12.6804
-2.0911    8.9031     12.7667
-1.9674    8.8006     12.8242
-1.8124    8.6868     12.8852
-1.6315    8.5448     12.92
-1.4046    8.4307     12.9765
-1.1771    8.3422     13.0021
-1.001     8.2741     12.9957
-0.7643    8.2076     12.9662
-0.5402    8.1196     12.9274
-0.2441    8.0557     12.8793
0.0068     8.0147     12.8624
0.2499     8.0062     12.826
0.4948     8.1138     12.8918
0.7669     8.2154     12.9301
1.0741     8.3518     12.9764
1.3042     8.4718     13.0056
1.6014     8.5811     13.0115
1.7986     8.7569     12.9895
1.9475     8.8635     12.9666
2.1585     9.0553     12.9088
2.3021     9.1733     12.8516
2.4579     9.3558     12.7895
2.6477     9.5101     12.7176
2.8111     9.6855     12.6636
3.0825     9.74       12.3243
3.1521     9.7582     12.124
3.2104     9.7456     11.9086
3.2439     9.743      11.8031
3.263      9.7599     11.6941




































































































































































-1.4767    8.468      10.186     RORBIT
-1.6693    8.4495     10.129
-1.8839    8.5244     10.1481
-2.0596    8.646      10.244
-2.288     8.784      10.3933
-2.3545    8.8756     10.5267
-2.4488    8.9523     10.718
-2.528     9.0587     10.9596
-2.4993    9.0991     11.1735
-2.5043    9.1153     11.3292
-2.4906    9.0648     11.6111
-2.365     8.842      11.9
-2.1101    8.641      12.0772
-1.8508    8.4537     12.163
-1.5038    8.2265     12.2441
-1.2713    8.1656     12.2476
-0.9615    8.0474     12.3034
-0.6828    8.0655     12.2797
-0.4181    8.2166     12.1508
-0.2061    8.3049     11.869
-0.1821    8.3926     11.614
-0.1626    8.42       11.2913
-0.1329    8.4013     11.1264
-0.1945    8.4148     11.0466
















































































































































































1.84       8.5856     10.2794    LORBIT
1.9926     8.6319     10.2577
2.1904     8.7436     10.3229
2.3312     8.8187     10.3774
2.501      8.8973     10.463
2.5935     9.0151     10.5652
2.6617     9.1046     10.6748
2.7574     9.173      10.8061
2.7691     9.2379     10.916
2.8783     9.2998     11.228
2.855      9.335      11.4247
2.8433     9.2823     11.6341
2.795      9.1899     11.8172
2.6814     9.0112     12.0017
2.4643     8.7938     12.1387
2.2542     8.5221     12.2344
1.9488     8.4411     12.2075
1.6535     8.3124     12.2327
1.2627     8.3224     12.2061
0.9957     8.2871     12.194
0.7342     8.306      12.1055
0.5941     8.3276     11.9253
0.5329     8.3419     11.7268
0.4764     8.3285     11.512
0.4633     8.3952     11.2896
0.474      8.4273     11.2156
0.5015     8.4599     11.0708













































































































































































-3.0612    9.6468     11.7283    RTEMFOS
-3.1536    9.6461     11.4956
-3.2008    9.6681     11.219
-3.2959    9.6098     11.013
-3.3345    9.5969     10.7411
-3.3498    9.5585     10.3439
-3.4237    9.4567     10.06
-3.4422    9.3714     9.8057
-3.5012    9.3836     9.5225
-3.5468    9.4115     9.2947
-3.6555    9.4179     9.1298
-3.7132    9.5097     9.0242
-3.7617    9.5788     8.9345
-3.9028    9.8072     8.8359
-3.9949    9.9661     8.8039
-4.0768    10.2199    8.8062
-4.1537    10.2925    8.8196
























































