MNHN       AC A-1439  Tg36stv
-0.3298    16.2046    12.8387    IN
0.1358     12.1795    16.2574    BR
0.6763     6.6955     15.341     GL
0.5398     6.8028     14.9335    NA
0.5398     5.1917     12.0886    RH
0.6232     3.0749     10.7102    NS
0.6116     2.4721     9.8138     PR
-0.0171    2.5388     9.7476     R_PR2
0.0939     5.4852     12.2557    R_PMS
-3.0218    7.0411     11.147     R_ZMI
-1.1807    6.8767     13.2484    R_ZMU
0.2265     6.9985     14.1296    R_DA
-0.8975    6.849      15.1313    R_MTI
-0.7617    6.9933     15.7248    R_MTS
-2.2034    7.6242     14.4642    R_FMO
-2.5092    8.2537     14.9288    R_FMT
-3.8963    12.9048    12.0345    R_PO
-4.0624    8.5899     11.9544    R_ZTS
1.2471     2.6393     9.6909     L_PR2
0.9224     5.8259     12.3966    L_PMS
3.4037     7.721      10.5462    L_ZMI
2.0322     7.2195     12.9833    L_ZMU
0.8333     7.0613     14.0342    L_DA
1.9528     7.0083     14.9373    L_MTI
1.9278     7.2397     15.5154    L_MTS
3.1114     8.1542     14.1499    L_FMO
3.1937     8.7861     14.5702    L_FMT
3.2105     13.5014    11.4637    L_PO
4.3204     9.2776     11.3245    L_ZTS
0.2696     2.2425     9.6586     O1
2.5701     8.8111     14.9538    O2
-4.6486    10.3576    11.9442    O3
0.2321     16.1751    12.9133    O4







































































































































































0.7272     6.6808     15.3181    GLRH
0.6726     6.7784     15.0847
0.6243     6.7878     14.945
0.5766     6.7551     14.7671
0.5484     6.761      14.6029
0.541      6.7996     14.4379
0.5381     6.8148     14.267
0.5588     6.794      14.0214
0.5633     6.731      13.7726
0.5443     6.6333     13.5699
0.5126     6.541      13.3992
0.4948     6.411      13.2361
0.5119     6.181      12.9662
0.5157     6.0474     12.8372
0.5455     5.927      12.7127
0.5337     5.7753     12.599
0.5565     5.5882     12.4471
0.595      5.4098     12.2852
0.5875     5.3092     12.2003
0.5747     5.1963     12.0903




















































































































































































0.5463     5.1864     12.0947    NOSE
0.3401     5.1676     12.1336
0.1662     5.0912     12.0287
0.0592     4.9448     11.8488
-0.0583    4.7544     11.6304
-0.1073    4.6529     11.5031
-0.1454    4.4882     11.3983
-0.1723    4.245      11.2795
-0.1183    4.0319     11.1641
-0.0914    3.8355     11.0652
-0.0218    3.663      10.9917
0.0783     3.4697     10.9111
