FSM        1011       Tg40stv
0.191      18.2982    13.0725    IN
0.3892     14.3718    15.8232    BR
0.6168     8.486      14.3168    GL
0.5955     8.5708     14.0595    NA
0.4851     6.7558     10.4265    RH
0.544      3.8505     8.3692     NS
0.5401     2.9789     6.6358     PR
-0.1848    3.0748     6.6617     R_PR2
0.0695     7.1776     10.6578    R_PMS
-3.1833    8.9893     9.0091     R_ZMI
-1.3687    8.6461     12.0836    R_ZMU
0.2174     8.5912     13.1471    R_DA
-1.0218    8.3889     14.1409    R_MTI
-0.8604    8.7921     14.7111    R_MTS
-2.3529    9.4567     13.3775    R_FMO
-2.7262    10.1155    13.9183    R_FMT
-3.8129    15.5843    11.2407    R_PO
-4.8179    10.6716    10.6958    R_ZTS
1.2903     3.1151     6.6291     L_PR2
0.9953     7.2372     10.68      L_PMS
3.8816     9.152      8.8701     L_ZMI
2.2656     8.7821     11.9911    L_ZMU
0.9528     8.6958     12.9852    L_DA
2.2948     8.5216     14.0353    L_MTI
2.1653     8.9949     14.5861    L_MTS
3.4416     9.6812     13.2282    L_FMO
3.4744     10.2692    14.0069    L_FMT
4.1015     15.7407    10.9376    L_PO
5.5701     11.003     10.4138    L_ZTS
2.9933     4.5409     4.9342     O1
-2.1937    10.0372    14.3777    O2
5.7854     13.2937    10.3314    O3
-0.5447    18.0773    12.8121    O4







































































































































































0.6302     8.5077     14.3447    GLRH
0.5935     8.5858     14.1025
0.58       8.5047     13.8054
0.5525     8.4361     13.5689
0.5409     8.444      13.3895
0.5235     8.4613     13.2333
0.494      8.4472     13.0135
0.5159     8.4038     12.755
0.5123     8.3162     12.4481
0.4942     8.1863     12.1111
0.5327     7.995      11.7698
0.4945     7.7723     11.4524
0.5091     7.5448     11.1997
0.5337     7.3402     10.9782
0.5522     7.1229     10.7915
0.5155     6.9263     10.6115
0.5146     6.8112     10.4643























































































































































































0.4719     6.742      10.4267    NOSE
0.1339     6.558      10.2573
-0.0529    6.4183     9.9753
-0.0993    6.2349     9.7365
-0.1957    6.0022     9.5164
-0.2623    5.8273     9.3679
-0.3063    5.5946     9.2058
-0.3296    5.3683     9.1177
-0.3675    5.1985     9.0029
-0.3961    5.0128     8.926
-0.4143    4.8206     8.8236
-0.3914    4.6082     8.7323
-0.353     4.3797     8.6748
-0.2663    4.1905     8.6003
