UCB LHES   108        Tg5stv
12.87545   14.89904   14.40051   IN
10.19288   12.07491   16.52256   BR
5.87127    7.06906    14.5524    GL
6.00477    7.1766     14.31995   NA
5.07507    6.0626     9.67995    RH
3.3259     4.17109    7.79211    NS
3.07662    3.72202    6.03207    PR
2.69525    4.27709    5.9587     R_PR2
4.92578    6.65907    9.80017    R_PMS
4.30134    10.91747   9.04333    R_ZMI
5.16885    8.92251    11.88047   R_ZMU
6.02385    7.75639    13.32463   R_DA
4.71094    8.46425    13.95184   R_MTI
4.97909    8.4944     14.80647   R_MTS
4.57982    10.15666   13.42824   R_FMO
4.71724    10.77997   13.84356   R_FMT
8.06529    15.3602    11.66243   R_PO
4.38575    12.66928   10.43238   R_ZTS
3.6782     3.37394    6.02365    L_PR2
5.83369    6.13852    10.04823   L_PMS
10.01673   5.54578    9.36409    L_ZMI
7.82108    6.46165    12.08306   L_ZMU
6.60996    7.24463    13.31518   L_DA
7.37526    6.00377    14.22175   L_MTI
7.68762    6.35188    15.00563   L_MTS
9.18465    6.07748    13.73877   L_FMO
9.76077    6.29296    14.16356   L_FMT
14.05111   9.98421    11.98862   L_PO
11.78104   5.82572    10.83517   L_ZTS
2.66659    3.88912    5.58522    O1
9.08631    6.80618    14.759     O2
5.43687    14.61247   10.76428   O3
14.1623    13.31958   13.76371   O4







































































































































































5.8941     7.05101    14.50881   GLRH
5.98729    7.17371    14.34671
6.02698    7.18245    14.13568
6.02525    7.19025    14.01192
6.03798    7.20687    13.8323
6.04592    7.25246    13.6541
6.12872    7.28624    13.46908
6.14994    7.32055    13.32221
6.18031    7.34075    13.14562
6.17731    7.36027    13.03187
6.20773    7.35226    12.89222
6.21588    7.36211    12.75324
6.21995    7.34788    12.60086
6.21522    7.33194    12.42922
6.21053    7.30671    12.28269
6.21116    7.25211    12.11746
6.20763    7.23188    11.99633
6.19285    7.20867    11.88626
6.19426    7.1402     11.77716
6.17776    7.12925    11.67564
6.10432    7.08541    11.47509
6.07636    7.02058    11.37093
6.01708    7.01518    11.26857
5.9745     6.94616    11.1319
5.93444    6.90598    11.0708
5.8981     6.86287    10.97268
5.87005    6.80725    10.88157
5.79954    6.7611     10.77179
5.7288     6.7079     10.68606
5.6882     6.63533    10.58323
5.58247    6.55147    10.41781
5.5127     6.4905     10.32777
5.458      6.40521    10.22229
5.40751    6.32288    10.11296
5.31396    6.24164    9.9933
5.26064    6.15513    9.88208
5.20935    6.10328    9.81628
5.13346    6.04254    9.71641


































































































































































5.1166     6.04221    9.67539    NOSE
5.00434    6.1855     9.69041
4.9043     6.27155    9.67158
4.77993    6.37718    9.62267
4.65343    6.40083    9.51569
4.55216    6.42321    9.42036
4.4435     6.42981    9.30529
4.35616    6.36357    9.22125
