NMNH       305107     Tg8stv
18.1729    18.6941    15.8971    IN
15.2586    15.1818    17.4342    BR
11.8886    10.6276    14.8278    GL
12.0009    10.8049    14.6292    NA
11.3454    10.0203    10.2231    RH
9.9645     8.3511     7.9881     NS
9.6802     7.9712     6.326      PR
9.1826     8.5065     6.1032     R_PR2
10.9038    10.2561    10.1752    R_PMS
10.4079    14.6257    9.7211     R_ZMI
11.1579    12.3461    12.6762    R_ZMU
12.0003    11.3496    13.6187    R_DA
10.7429    11.7984    14.2947    R_MTI
10.7404    11.9418    15.2678    R_MTS
10.3635    13.4595    14.0605    R_FMO
10.5053    14.0188    15.0841    R_FMT
13.7378    19.3392    12.9428    R_PO
10.0691    16.0474    11.6627    R_ZTS
10.2844    7.8122     6.2261     L_PR2
11.7993    9.6922     10.3398    L_PMS
15.9896    10.1682    9.7747     L_ZMI
13.8441    10.4012    12.7195    L_ZMU
12.7806    10.9883    13.551     L_DA
13.4981    9.8229     14.3664    L_MTI
13.6081    10.0084    15.3341    L_MTS
15.1821    9.9479     14.0844    L_FMO
15.6874    10.1927    15.0163    L_FMT
19.8871    14.6056    13.2663    L_PO
17.7293    10.3613    11.7347    L_ZTS
10.4048    7.6296     7.2151     O1
10.9186    13.4979    15.4279    O2
19.5332    11.6081    12.3052    O3
18.7744    17.8129    15.3298    O4







































































































































































11.9005    10.6167    14.8149    GLRH
11.9948    10.7807    14.58
12.0053    10.8221    14.3669
12.0066    10.8313    14.2348
11.9354    10.8018    14.0448
12.099     10.8775    13.797
12.1982    10.9062    13.6176
12.3082    10.9421    13.3913
12.3065    10.9574    13.1865
12.2897    10.9518    13.0236
12.2829    10.9147    12.8201
12.2657    10.9013    12.662
12.2171    10.8861    12.4888
12.187     10.8324    12.29
12.1199    10.7897    12.1101
12.097     10.7412    11.9752
12.0313    10.6655    11.7669
12.0098    10.5677    11.5752
11.941     10.4843    11.3936
11.8775    10.4274    11.2673
11.7681    10.3661    11.0908
11.7087    10.2733    10.9326
11.626     10.1603    10.7318
11.5807    10.0978    10.5952
11.4247    10.0117    10.3801
11.3541    9.9934     10.2681














































































































































































11.4299    9.9309     10.2413    NOSE
11.3214    9.9996     10.2424
11.1732    10.0608    10.2034
10.9739    10.1473    10.1015
10.7551    10.1934    9.9697
10.5552    10.1618    9.7632
10.4022    10.0443    9.579
10.2464    9.9272     9.4319
10.1152    9.7846     9.2302
10.008     9.6656     9.0296
9.831      9.5211     8.7922
9.6922     9.3755     8.6548
9.6552     9.1093     8.514
9.6117     8.9271     8.4394
9.6132     8.7471     8.3897
9.6568     8.6098     8.3642
9.7497     8.5398     8.3535
9.767      8.3734     8.1663
9.9009     8.337      8.0508
9.9607     8.2754     8.0342
10.0884    8.1952     8.1758
10.2893    8.1282     8.3094
10.5578    8.0197     8.3868
10.8043    8.0396     8.4062
10.9752    8.1296     8.4705
11.166     8.1673     8.5855
11.272     8.2795     8.7437
11.3092    8.4107     8.8917
11.3546    8.5555     9.0209
11.3936    8.7032     9.1071
11.5426    8.7913     9.248
11.6137    8.8782     9.4115
11.6612    8.9934     9.547
11.6925    9.0921     9.6688
11.7324    9.1965     9.7703
11.76      9.2984     9.8941
11.748     9.4462     10.0615
11.7283    9.5457     10.1476
11.5787    9.7067     10.2226
11.5215    9.8426     10.3135
11.4155    9.957      10.2695































































































































































9.8915     8.2712     7.9437     NASP-PR
9.7214     8.1698     7.8255
9.6781     8.0797     7.601
9.6232     8.037      7.4504
9.6265     7.9662     7.2546
9.6312     7.932      7.1072
9.6063     7.9468     6.934
9.6179     7.9578     6.7328
9.6208     7.9353     6.5312
9.6785     7.9974     6.2721






























































































































































































10.8888    10.2372    10.1806    R-PM/MAX
10.7677    10.1888    10.0398
10.6006    10.1547    9.8873
10.4914    10.0863    9.7049
10.3987    9.9843     9.5612
10.255     9.8306     9.4102
10.1314    9.8289     9.3122
10.0266    9.7578     9.1602
9.8511     9.7314     8.9698
9.7802     9.6628     8.8468
9.7112     9.6173     8.7738
9.4871     9.7058     8.4431
9.3768     9.6535     8.3113
9.2108     9.6051     8.1604
9.0535     9.6819     7.8937
8.9552     9.7335     7.6528
8.8464     9.7267     7.3832
8.8032     9.6392     7.1383
8.8313     9.5687     6.922
8.8679     9.4424     6.6149
8.9054     9.3954     6.4902
9.0692     9.3901     6.4148


















































































































































































11.8716    9.7609     10.4705    L-PM/MAX
11.771     9.6207     10.2782
11.7584    9.5092     10.1639
11.7371    9.4384     10.0678
11.7026    9.2892     9.8325
11.6952    9.2392     9.6378
11.6174    9.0994     9.5611
11.5822    9.0176     9.4809
11.5725    8.943      9.4125
11.5467    8.7986     9.2879
11.5107    8.6137     9.0928
11.4844    8.4492     8.9075
11.4796    8.2921     8.6469
11.4637    8.1855     8.4351
11.5267    8.0994     8.2922
11.5817    7.971      8.0533
11.5888    7.8437     7.8325
11.5187    7.7284     7.6469
11.4695    7.6631     7.2782
11.365     7.648      7.0506
11.258     7.6884     6.8291
11.2119    7.7077     6.5965
11.1623    7.7191     6.4559
11.0485    7.7612     6.3224
















































































































































































10.6135    12.8015    7.3433     ROSTRUM
10.5474    12.7186    7.5635
10.5512    12.6936    7.7604
10.5723    12.6298    7.9121
10.6069    12.5544    8.1183
10.7178    12.4105    8.3538
10.7724    12.2679    8.5447
10.8812    12.1123    8.7249
10.9693    12.0601    8.9188
11.0273    11.9874    9.0716
11.1281    11.9314    9.3257
11.145     11.8513    9.4716
11.1855    11.7199    9.6773
11.1976    11.6603    9.9072
