UWMA       MP217      Tod29stv
10.0826    25.0677    7.058      IN
9.8994     20.2984    10.5764    BR
9.9687     14.0926    9.3029     GL
9.9869     14.0596    8.6043     NA
10.249     11.051     5.3645     RH
9999       9999       9999       NS
9999       9999       9999       PR
9999       9999       9999       R_PR2
9.6125     11.8404    5.6666     R_PMS
9999       9999       9999       R_ZMI
8.5466     14.3036    6.1285     R_ZMU
9.5028     14.3383    7.892      R_DA
9999       9999       9999       R_MTI
9999       9999       9999       R_MTS
9999       9999       9999       R_FMO
9999       9999       9999       R_FMT
9999       9999       9999       R_PO
9999       9999       9999       R_ZTS
9999       9999       9999       L_PR2
10.6098    11.5236    5.668      L_PMS
14.3993    14.4442    3.8895     L_ZMI
12.2283    14.1143    6.314      L_ZMU
10.5758    14.2632    7.9326     L_DA
11.8739    14.5921    9.4617     L_MTI
11.9307    14.9081    10.1267    L_MTS
13.8197    15.2842    8.2436     L_FMO
14.1779    16.2437    8.796      L_FMT
14.29      21.4875    6.3939     L_PO
15.5776    17.1355    5.844      L_ZTS
11.0229    8.5974     2.6177     O1
7.3805     16.5171    9.7075     O2
15.438     19.4456    6.1037     O3
10.5051    25.3157    7.1153     O4







































































































































































9.9609     14.0599    9.2271     GLRH
9.9822     14.1078    8.9288
9.9916     14.0458    8.6102
9.9878     13.9927    8.3288
10.0185    13.9453    8.1262
10.0488    13.8607    7.9278
10.0521    13.797     7.7237
10.0246    13.6866    7.5157
10.029     13.5667    7.3174
10.042     13.4492    7.1366
10.0867    13.2647    6.9734
10.128     13.0579    6.8531
10.0965    12.9108    6.7208
10.1013    12.7702    6.6553
10.0954    12.5909    6.5157
10.0954    12.4439    6.4107
10.1634    11.7451    6.0714
10.1504    11.2734    5.6666
10.1055    11.1026    5.4622





















































































































































































9999       9999       9999       NOSE







































































































































































































9999       9999       9999       NASP-PR







































































































































































































9999       9999       9999       R-PM/MAX







































































