KNM        ER 180     Too18stv
9999       9999       9999       IN
15.5976    17.826     12.0979    BR
11.6781    13.2395    11.1914    GL
11.6477    13.0163    10.23      NA
9.5094     11.093     7.4434     RH
7.5164     8.6596     5.1983     NS
6.8567     8.1952     4.4141     PR
6.4685     8.6121     4.4303     R_PR2
9.1743     11.5384    7.3787     R_PMS
8.639      15.9922    5.5467     R_ZMI
10.476     14.4727    8.6443     R_ZMU
11.4654    13.8215    9.4133     R_DA
10.5323    14.8821    11.2756    R_MTI
11.1932    15.2047    11.897     R_MTS
9.9034     16.2935    10.4529    R_FMO
10.1495    17.5284    10.5165    R_FMT
9999       9999       9999       R_PO
9999       9999       9999       R_ZTS
7.3978     7.74       4.5428     L_PR2
10.4577    10.9622    7.4576     L_PMS
9999       9999       9999       L_ZMI
12.9754    12.2199    8.7369     L_ZMU
12.5057    13.0437    9.7382     L_DA
9999       9999       9999       L_MTI
9999       9999       9999       L_MTS
9999       9999       9999       L_FMO
9999       9999       9999       L_FMT
19.0456    14.5447    6.883      L_PO
9999       9999       9999       L_ZTS
6.8552     9.6678     5.3221     O1
13.9155    13.1542    11.6835    O2
8.3238     17.4087    6.7696     O3
19.1698    16.0655    7.1913     O4







































































































































































11.6722    13.1548    10.9557    GLRH
11.648     13.14      10.7115
11.6279    13.0828    10.444
11.582     13.0699    10.2478
11.5918    13.0446    10.1312
11.625     13.0243    9.7247
11.5548    12.965     9.4584
11.4281    12.8797    9.012
11.285     12.7316    8.8474
11.0922    12.5932    8.6049
10.9998    12.4913    8.4911
10.8737    12.3768    8.3736
10.7915    12.2343    8.2488
10.6398    12.0763    8.0929
10.5071    11.9221    7.9359
10.3391    11.7889    7.8547
10.1962    11.7038    7.84
10.0719    11.5566    7.7506
9.9291     11.4388    7.6984
9.7138     11.322     7.6106
9.5487     11.1523    7.4955
9.4848     11.0625    7.4517


















































































































































































9.4859     11.0551    7.4533     NOSE
9.0236     11.2166    7.4523
8.7731     11.146     7.2293
8.5786     11.072     7.1163
8.3709     10.8943    6.9792
8.1347     10.8632    6.813
7.9201     10.7821    6.6574
7.8193     10.6754    6.5253
7.6732     10.546     6.4001
7.6119     10.4495    6.3147
7.4169     10.3047    6.1592
7.3811     10.2096    6.0934
7.3415     10.0848    5.9381
7.2557     9.9083     5.7721
7.224      9.7721     5.6421
7.224      9.5834     5.553
7.328      9.4452     5.4958
7.3951     9.3274     5.4198
7.4468     9.2055     5.3521
7.4777     9.0256     5.2808
7.497      8.926      5.2414
7.556      8.7889     5.2326
7.7081     8.7419     5.2833
7.8275     8.7394     5.3233
7.9491     8.7388     5.4318
8.0987     8.7035     5.4895
8.2486     8.612      5.5286
8.3583     8.5868     5.6035
8.4811     8.5633     5.7058
8.5706     8.6013     5.8303
8.7759     8.7575     6.0445
8.9235     8.8626     6.1836
9.0367     8.9663     6.2933
9.1534     9.0927     6.4321
9.2404     9.2649     6.5591
9.3215     9.4563     6.6387
9.4049     9.5795     6.7303
9.5308     9.8695     6.9467
9.589      10.0986    7.097
9.7141     10.307     7.1992
9.8192     10.4378    7.2809
9.828      10.6784    7.3667
9.8852     10.8386    7.4351
9.4844     11.1032    7.4076




























































































































































7.5597     8.7251     5.2473     NASP-PR
7.3884     8.5974     5.1071
7.2244     8.5088     4.9876
7.0869     8.4162     4.9078
6.9445     8.3173     4.7591
6.8583     8.2548     4.6508
6.8148     8.2468     4.3904

































































































































































































9.1609     11.5228    7.3703     R-PM/MAX
8.9961     11.4118    7.3037
8.7478     11.2689    7.1603
8.6171     11.2078    7.0877
8.4058     11.114     6.9699
8.2007     11.0318    6.8209
8.0728     10.9882    6.7318
7.9087     10.9014    6.6088
7.7396     10.8281    6.457
7.6221     10.7646    6.3336
7.5178     10.6604    6.186
7.3605     10.5517    6.015
7.2377     10.436     5.856
7.1269     10.4038    5.7006
6.9526     10.3066    5.4956
6.8329     10.2359    5.3844
6.6967     10.1765    5.2453
6.5355     10.1201    5.0804
6.4326     10.068     4.9969
6.3929     10.0336    4.9154
6.3182     9.9794     4.7698
6.3098     9.8237     4.5664
6.2472     9.6659     4.4137
6.3453     9.5843     4.2871
















































































































































































10.2428    10.7292    7.4197     L-PM/MAX
10.109     10.4943    7.3259
10.0321    10.3562    7.2206
9.9804     10.1706    7.1014
9.8812     9.9982     6.9177
9.8215     9.8584     6.8522
9.7589     9.7585     6.7459
9.6323     9.4928     6.6338
9.5676     9.3701     6.5191
9.4663     9.213      6.372
9.3942     9.0896     6.2631
9.3251     8.8882     6.1008
9.2369     8.742      5.924
9.1583     8.6239     5.8022
9.0418     8.4687     5.6367
8.948      8.3464     5.5218
8.8918     8.1626     5.3918
8.87       7.9804     5.3008
8.7997     7.8115     5.1455
8.8119     7.7037     4.998
8.5608     7.7187     4.8387
8.332      7.9739     4.5577


















































































































































































7.5232     12.9929    3.7394     ROSTRUM
7.504      12.8715    4.2349
7.58       12.9101    4.492
7.7098     12.8637    4.7738
7.8208     12.7577    4.997
7.9386     12.7267    5.1631
8.0326     12.6769    5.4009
8.1474     12.6738    5.6431
8.2354     12.6113    5.8846
8.3572     12.5503    6.1327
8.465      12.4598    6.3749
8.5547     12.35      6.5728
8.681      12.2504    6.8357
8.8124     12.1211    7.0412
8.9734     11.9946    7.2159
9.0987     11.8648    7.3225
9.2576     11.7805    7.4394
9.3876     11.6338    7.4947
9.5147     11.58      7.6016
9.6428     11.4969    7.6578
9.8013     11.4399    7.673
10.0754    11.2303    7.6584
10.2249    11.0146    7.5493
10.3603    10.8705    7.4273
10.4829    10.7224    7.23
10.5711    10.5641    7.1356
10.6775    10.427     7.0312
10.7804    10.2586    6.8961
10.8933    10.1298    6.728
10.962     10.0227    6.5369
11.0531    9.958      6.3821
11.1386    9.8322     6.1605
11.231     9.7512     5.9907
11.3786    9.6148     5.7356
11.4395    9.5305     5.6014
11.5147    9.4446     5.4737
11.5902    9.3209     5.2754
11.6759    9.1984     5.0511
11.7141    9.0896     4.8216
11.7311    9.0682     4.7112
11.8165    9.0597     4.5643
11.821     9.044      4.3473
11.8239    8.9984     4.1619
11.8253    8.9954     3.9733
11.8168    9.0248     3.8317



























































































































































10.1826    17.532     10.555     SUPORB
10.2075    17.4117    10.791
10.2418    17.3184    10.9321
10.3112    17.1708    11.1485
10.4334    17.0191    11.3062
10.5993    16.8787    11.4173
10.5468    16.6826    11.4206
10.494     16.4854    11.4157
10.5097    16.2132    11.4908
10.5923    16.0131    11.5838
10.7262    15.7832    11.6805
10.8962    15.4961    11.7683
11.1192    15.367     11.8484
11.4696    15.182     11.9582
11.7238    15.0194    12.0153
11.9074    14.9151    12.07
11.9828    14.5788    12.055
11.9753    14.4728    11.967
12.1524    14.1667    11.9413
12.1839    13.8996    11.9205
12.1959    13.694     11.9245
9999       9999       9999


















































































































































































10.5616    14.4891    8.6457     RORBIT
10.4089    14.6778    8.6097
10.2276    14.9913    8.5609
10.0684    15.2615    8.5966
9.9484     15.3853    8.6064
9.8949     15.6025    8.6781
9.8624     15.7306    8.7564
9.8793     15.8672    8.8486
9.8553     15.9761    8.9189
9.9019     16.1173    9.0511
9.9927     16.2507    9.1899
10.0162    16.331     9.3111
10.0668    16.4294    9.4494
10.1118    16.53      9.5944
9.9796     16.4372    10.1721
9.985      16.2351    10.5571
9.979      16.0984    10.7546
10.0732    15.9252    10.9561
10.108     15.7776    11.0852
10.1858    15.6475    11.161
10.2536    15.435     11.1904
10.3306    15.2622    11.2324
10.4455    15.0745    11.2434
10.5317    14.8516    11.2505
10.6213    14.7201    11.2122
10.7507    14.6281    11.1984
11.0681    14.3786    11.2356
11.2521    14.1847    11.2108
11.5088    13.9685    10.9205
11.5666    13.9568    10.4333
11.6212    13.9754    10.2673
11.6627    14.0937    10.1261
11.7117    14.0964    9.9323







































































































































































9999       9999       9999       LORBIT







































































































































































































9999       9999       9999       RTEMFOS







































































































































































































9999       9999       9999       LTEMFOS







































































































































































































9999       9999       9999       OP
9999       9999       9999       BA
12.4573    14.5642    9.1534     ST
16.3261    18.9703    7.8763     IV
9999       9999       9999       R_PG
9999       9999       9999       R_ZTI
11.1049    16.8304    10.4902    R_M3D
13.2539    19.6634    9.4637     R_M12
15.1094    21.1098    8.2952     R_MP3
16.1611    20.8755    7.9441     R_PMI
13.1385    8.6483     9.1717     L_PG
9999       9999       9999       L_ZTI
15.372     13.7179    10.0691    L_M3D
17.5134    15.7105    9.0206     L_M12
18.1454    17.7933    8.4191     L_MP3
18.2644    18.9565    7.4605     L_PMI
16.15      20.432     6.9296     O1
12.3929    12.1258    2.6359     O2
8.2714     17.8962    7.3581     O3
10.8662    7.4397     8.5228     O4




















































































































































































9999       9999       9999       RZYGINF







































































































































































































9999       9999       9999       LZYGINF







































































































































































































11.0722    16.8208    10.4654    R-ALV
11.1581    17.0756    10.3508
11.3018    17.4468    10.3061
11.406     17.7068    10.1004
11.5624    18.0934    10.0923
11.8295    18.3194    9.8827
12.0728    18.6165    9.7641
12.2762    19.0179    9.732
12.4872    19.2838    9.6836
12.6189    19.4046    9.602
13.1037    19.5977    9.427
13.3807    19.7974    9.2924
13.5708    19.9333    9.1587
13.8308    20.0061    9.0561
14.1163    20.1347    8.9071
14.304     20.4666    8.7955
14.5725    20.7107    8.7237

























































































