KNM        ER 1531    Too20stv
19.0419    21.8801    10.542     IN
15.9963    18.593     13.9525    BR
10.5724    12.718     12.1064    GL
10.4474    12.6074    11.3031    NA
7.711      9.3273     7.6036     RH
5.8341     7.0497     4.5069     NS
5.7816     7.0152     3.9817     PR
5.452      7.4017     3.798      R_PR2
7.8402     10.7264    7.9189     R_PMS
7.2396     14.1314    6.1084     R_ZMI
8.9734     13.9554    9.3281     R_ZMU
10.2429    13.2523    10.466     R_DA
8.9329     14.8437    11.9724    R_MTI
9.4425     14.9348    12.6647    R_MTS
8.488      16.1582    10.9802    R_FMO
8.9204     17.487     11.4377    R_FMT
12.3851    21.9248    8.0883     R_PO
9999       9999       9999       R_ZTS
6.3295     6.4889     3.7945     L_PR2
8.8878     9.2123     7.763      L_PMS
14.2156    9.7519     6.1985     L_ZMI
12.0939    11.342     9.3472     L_ZMU
11.0806    12.3838    10.4749    L_DA
12.6571    11.6507    12.2023    L_MTI
12.9665    12.2241    12.9665    L_MTS
14.2913    11.2336    11.0536    L_FMO
15.3659    11.4961    11.7141    L_FMT
19.6155    15.8365    8.2806     L_PO
9999       9999       9999       L_ZTS
8.05       5.1585     3.164      O1
9.4479     16.7702    12.5798    O2
18.3777    13.5082    7.6025     O3
19.117     21.3433    9.8574     O4







































































































































































10.7107    12.7174    12.0376    GLRH
10.6868    12.6828    11.7
10.6708    12.6795    11.5512
10.6368    12.6366    11.3084
10.6043    12.5905    11.0634
10.5539    12.5174    10.8956
10.4548    12.4175    10.6765
10.3695    12.3272    10.5088
10.3165    12.2075    10.3458
10.2477    12.1268    10.1852
10.1522    12.0193    9.9768
10.0808    11.9068    9.8299
9.9866     11.7803    9.648
9.9302     11.6823    9.5415
9.8673     11.5378    9.3996
9.7816     11.4123    9.245
9.6833     11.2824    9.11
9.5877     11.1556    8.992
9.4947     11.0397    8.8668
9.3786     10.8979    8.7669
9.2628     10.7622    8.6515
9.1577     10.629     8.5286
9.0399     10.4626    8.4162
8.9597     10.3668    8.341
8.8244     10.2392    8.2593
8.752      10.1425    8.185
8.6778     10.0432    8.0865
8.4864     9.8248     8.0328
8.2105     9.5304     7.8201
7.9423     9.1935     7.597










































































































































































7.8771     9.2077     7.5343     NOSE
7.4652     9.5186     7.4784
7.2718     9.5356     7.3202
7.0762     9.4974     7.1521
6.8763     9.5386     6.9619
6.6578     9.4111     6.848
6.5142     9.2999     6.7139
6.4159     9.2527     6.5458
6.3248     9.1477     6.4282
6.2198     9.0296     6.2898
6.052      8.9145     6.1566
5.9446     8.7877     6.0076
5.8382     8.6492     5.8417
5.7551     8.5643     5.6876
5.6818     8.4165     5.5463
5.6378     8.289      5.4099
5.6322     8.1209     5.2677
5.6568     7.9946     5.0836
5.6152     7.8282     4.8597
5.641      7.6547     4.7183
5.5991     7.37       4.5746
5.6904     7.2058     4.5424
5.7551     7.0964     4.5112
5.9155     6.9922     4.553
6.0703     6.9073     4.5637
6.204      6.8405     4.6222
6.3554     6.7618     4.7263
6.5283     6.7319     4.8175
6.6858     6.7569     4.836
6.8912     6.7369     4.9203
