TMP        SK 561     Too30stv
16.1556    24.8343    7.0177     IN
15.8687    21.4907    12.0213    BR
15.899     14.7759    12.8539    GL
15.9141    14.5563    12.4599    NA
9999       9999       9999       RH
9999       9999       9999       NS
9999       9999       9999       PR
15.156     7.2946     7.4405     R_PR2
15.3438    11.1646    10.1562    R_PMS
11.8572    13.1384    7.0868     R_ZMI
14.1716    13.7785    10.5416    R_ZMU
9999       9999       9999       R_DA
13.8402    15.0255    12.7952    R_MTI
13.8808    15.9216    13.1333    R_MTS
12.6038    15.5403    11.3491    R_FMO
12.1528    16.4003    11.5472    R_FMT
11.8773    20.7658    6.6243     R_PO
10.7193    15.2121    7.9834     R_ZTS
16.4724    7.4321     7.5952     L_PR2
16.8118    11.1178    10.0561    L_PMS
20.4843    13.3272    7.4821     L_ZMI
9999       9999       9999       L_ZMU
16.4562    14.5102    11.4222    L_DA
17.9868    15.0744    12.7421    L_MTI
17.7216    15.7682    13.3558    L_MTS
19.2996    15.5709    11.377     L_FMO
19.7735    16.4595    11.4282    L_FMT
20.6768    20.791     6.8459     L_PO
21.5593    15.4754    8.6163     L_ZTS
16.8405    7.9658     8.1347     O1
13.1362    17.1648    12.4434    O2
21.9498    18.8164    7.6882     O3
17.0073    24.6328    6.7603     O4







































































































































































9999       9999       9999       GLRH







































































































































































































9999       9999       9999       NOSE







































































































































































































9999       9999       9999       NASP-PR







































































































































































































15.1911    11.0709    10.1364    R-PM/MAX
15.1452    10.9755    10.063
15.0223    10.8457    9.9893
14.98      10.6856    9.8712
14.9093    10.5018    9.7576
14.8555    10.2544    9.6632
14.7978    10.0705    9.5514
14.7669    9.8959     9.4682
14.7708    9.6648     9.3068
14.7647    9.4877     9.1825
14.7487    9.3358     9.1145
14.7829    9.1322     8.9933
14.7857    8.993      8.8344
14.809     8.8011     8.6698
14.8316    8.6708     8.553
14.8538    8.5739     8.4143
14.8375    8.3872     8.2837
14.847     8.2816     8.1138
14.8014    8.0954     8.0098
14.7511    7.8855     7.85
14.7572    7.6871     7.7149
14.835     7.5167     7.5615
14.8454    7.5835     7.3997

















































































































































































16.8732    11.0581    10.0461    L-PM/MAX
16.9644    10.9313    9.9442
16.9896    10.7431    9.8876
17.0427    10.5455    9.7842
17.0619    10.3828    9.7013
17.1287    10.1802    9.5711
17.1707    10.027     9.474
17.1889    9.8769     9.3754
17.1882    9.5658     9.2293
17.1637    9.3576     9.0847
17.1351    9.0679     8.9321
17.1133    8.861      8.7669
17.0787    8.7381     8.686
17.0911    8.6364     8.58
17.0892    8.4778     8.4376
17.1106    8.3555     8.3261
17.1159    8.2035     8.2174
17.1523    8.047      8.0941
17.2415    7.8543     7.976
17.2531    7.7837     7.9362
17.2763    7.6006     7.7507
17.2181    7.511      7.604
17.1936    7.528      7.4797
17.0724    7.532      7.4131
17.0304    7.5783     7.282















































































































































































13.48      10.4167    6.3818     ROSTRUM
13.4502    10.535     6.7753
13.4201    10.6301    6.9918
13.4147    10.6819    7.1498
13.4371    10.7987    7.3078
13.5159    10.874     7.4655
13.5867    10.9396    7.6439
13.6806    11.0355    7.8586
13.7557    11.0952    8.0781
13.8239    11.1835    8.2787
13.8851    11.2346    8.4458
13.964     11.2826    8.6482
14.048     11.3546    8.8648
14.1081    11.445     9.0856
14.2154    11.4976    9.3292
14.3434    11.6066    9.5441
14.4883    11.6529    9.7375
14.6049    11.7577    9.8535
14.7334    11.7936    9.9697
14.8966    11.7961    10.0681
15.0591    11.815     10.2299
15.1725    11.7691    10.31
15.5714    11.982     10.407
16.0413    11.9861    10.4294
16.7701    11.9072    10.2873
17.2419    11.8531    10.0199
17.4986    11.75      9.8482
17.6832    11.6694    9.6395
17.8285    11.6139    9.382
17.9569    11.5768    9.1408
18.0603    11.4479    8.8557
18.1698    11.316     8.5852
18.2459    11.2515    8.4215
18.3232    11.1894    8.2176
18.4322    11.1043    8.0224
18.5316    11.0412    7.8038
18.6527    10.9554    7.5951
18.7001    10.8948    7.3639
18.7011    10.8125    7.1617
18.7038    10.7304    6.8748
18.7105    10.6813    6.724
18.7394    10.6229    6.5992






























































































































































12.1447    16.4001    11.5537    SUPORB
12.2019    16.4418    11.805
12.2998    16.4292    12.0031
12.4135    16.4056    12.157
12.5556    16.3584    12.3267
12.7646    16.2812    12.5077
12.9479    16.1877    12.6613
13.136     16.1009    12.804
13.3869    16.0401    12.9611
13.5836    16.0437    13.022
13.7528    16.0468    13.0847
13.9358    15.9439    13.1633
14.0671    15.9121    13.1893
14.2928    15.8472    13.2099
14.5368    15.769     13.1961
14.8201    15.6523    13.162
15.001     15.5499    13.118
15.2175    15.5644    13.0973
15.5019    15.5121    13.1092
15.7291    15.5324    13.1265
15.9479    15.5211    13.1629
16.0844    15.6116    13.2221
16.255     15.6795    13.3059
16.4327    15.7257    13.3751
16.6004    15.7481    13.4085
16.8426    15.7618    13.4304
17.0409    15.8156    13.4304
17.2405    15.8019    13.4147
17.4095    15.7748    13.4084
17.5948    15.7599    13.4011
17.7264    15.7843    13.3771
17.9587    15.7966    13.3159
18.235     15.8591    13.181
18.5347    15.9395    13.047
18.7249    16.0148    12.9186
18.8451    16.089     12.8092
18.9739    16.1341    12.698
19.098     16.1809    12.5583
19.2129    16.2255    12.4244
19.2988    16.2263    12.3255
19.4022    16.2352    12.1717
19.4964    16.2625    12.0247
19.5727    16.3087    11.8847
19.6657    16.3643    11.7269
19.7286    16.4179    11.6057
19.7779    16.4847    11.4697


























































































































































9999       9999       9999       RORBIT







































































































































































































9999       9999       9999       LORBIT







































































































































































































9999       9999       9999       RTEMFOS







































































































































































































19.7754    16.4996    11.4057    LTEMFOS
19.9976    16.2485    11.1106
20.0857    16.1544    10.8831
20.1739    16.0188    10.726
20.2333    15.9302    10.574
20.2759    15.8117    10.3986
20.3443    15.6384    10.212
20.4244    15.5324    10.0732
20.5206    15.3907    9.9282
20.5652    15.2833    9.8037
20.6548    15.2135    9.6344
20.7138    15.122     9.506
20.8194    14.9962    9.3095
20.9248    14.9454    9.1229
20.9937    14.9189    9.0228
21.0999    14.9205    8.8897
21.245     15.0318    8.809
21.3015    15.1294    8.7406
21.338     15.2024    8.6991
21.4678    15.2828    8.6709
21.4777    15.3539    8.6694
21.518     15.4304    8.6377
21.4786    15.4827    8.6387

















































































































































































15.4973    16.9599    14.2787    OP
15.3834    15.3951    13.2469    BA
9999       9999       9999       ST
15.1226    7.2055     6.7535     IV
9999       9999       9999       R_PG
20.908     12.8293    11.0258    R_ZTI
17.8516    9.7385     10.2014    R_M3D
17.5508    7.2958     8.1859     R_M12
16.816     5.5955     6.4489     R_MP3
16.136     5.3638     5.8288     R_PMI
11.1871    15.8079    12.8593    L_PG
9.483      14.4023    9.8231     L_ZTI
12.0815    10.3414    10.0127    L_M3D
12.4572    7.7923     7.9474     L_M12
13.2566    5.8588     6.436      L_MP3
13.9126    5.3887     5.9261     L_PMI
14.2302    6.0544     5.351      O1
18.5469    16.0118    5.9682     O2
9.6411     15.7827    10.8036    O3
15.0236    20.2623    14.4286    O4
























































































































