BM(NH)     M32102     Too31stv
14.688     16.4355    10.1956    IN
11.1431    12.3766    13.6203    BR
6.7085     7.0515     12.4376    GL
6.8012     6.8925     11.9874    NA
4.1766     3.5584     8.0933     RH
2.6383     1.535      5.7231     NS
2.152      0.8609     4.5551     PR
1.7213     1.3618     4.5981     R_PR2
4.8266     5.0549     8.6469     R_PMS
3.4584     9.0144     6.1435     R_ZMI
5.4577     7.8866     9.6446     R_ZMU
6.5048     7.554      11.1422    R_DA
5.1337     8.7839     11.8479    R_MTI
5.6496     9.2338     12.8143    R_MTS
4.8004     10.3901    10.8441    R_FMO
4.5815     11.6018    11.0626    R_FMT
8.1851     16.1693    7.8765     R_PO
3.1121     11.7922    7.8877     R_ZTS
2.7688     0.4326     4.7509     L_PR2
5.5073     4.6398     8.7445     L_PMS
9.898      3.9311     6.2837     L_ZMI
8.0218     5.6061     9.7424     L_ZMU
7.2942     6.8782     11.1852    L_DA
8.6376     5.909      12.221     L_MTI
8.9431     6.4009     13.0328    L_MTS
10.3541    5.6168     11.2012    L_FMO
11.589     5.6658     11.088     L_FMT
15.42      9.7164     8.3153     L_PO
12.7107    4.3468     8.533      L_ZTS
4.228      -0.1724    3.0391     O1
10.8139    6.8823     12.4691    O2
4.8232     14.7096    8.0654     O3
15.8615    14.9674    9.6742     O4







































































































































































6.7084     7.0026     12.3183    GLRH
6.7152     6.9586     12.0734
6.6644     6.9579     11.8927
6.7242     6.9117     11.5378
6.7318     6.8884     11.2629
6.6835     6.8675     11.067
6.657      6.8109     10.9073
6.5767     6.7525     10.698
6.5152     6.6591     10.5095
6.4636     6.5404     10.334
6.3121     6.406      10.0938
6.1847     6.2231     9.8491
6.062      6.0833     9.6949
5.9295     5.9122     9.556
5.8704     5.7589     9.4423
5.6669     5.5335     9.2459
5.5566     5.3637     9.119
5.3699     5.1787     8.9592
5.2337     4.9805     8.8478
5.1566     4.8627     8.7649
4.8997     4.6188     8.601
4.739      4.4145     8.5295
4.5809     4.1965     8.4275
4.4799     4.0024     8.3928
4.3733     3.8424     8.3258
4.3211     3.736      8.2709
4.2556     3.6515     8.2736
4.2057     3.5429     8.1212












































































































































































4.1865     3.5975     8.131      NOSE
4.0725     3.7012     8.1424
3.8434     3.859      8.1146
3.6122     3.831      7.9505
3.3475     3.7592     7.8139
3.1126     3.6916     7.6051
2.9025     3.6372     7.4147
2.7134     3.5376     7.2123
2.4474     3.3981     6.9275
2.2008     3.2181     6.6956
2.1209     3.0759     6.5078
2.0919     2.9803     6.4136
2.0324     2.7018     6.2429
2.0259     2.5624     6.0969
2.0364     2.4361     6.05
2.0971     2.2799     6.0365
2.1376     2.1148     5.9507
2.2179     1.9546     5.8671
2.2884     1.8186     5.8441
2.401      1.664      5.7649
