KNM        MB 29100   Vm1stv
12.313     14.962     4.2843     IN
10.3922    12.869     6.5624     BR
8.0997     8.8512     5.8083     GL
8.0795     8.8055     5.5908     NA
9999       9999       9999       RH
6.3436     5.9628     3.1044     NS
6.1565     5.5661     2.399      PR
5.7426     5.8425     2.4749     R_PR2
7.0183     7.6187     4.3432     R_PMS
6.0093     10.0029    2.3073     R_ZMI
7.1799     9.2058     3.9525     R_ZMU
7.8355     9.0325     5.2307     R_DA
7.5196     10.3825    5.8502     R_MTI
7.6755     10.7497    6.183      R_MTS
6.8057     10.6758    5.0027     R_FMO
6.549      11.132     5.1169     R_FMT
8.5254     14.1039    3.6272     R_PO
5.7759     11.6828    3.3375     R_ZTS
6.7023     5.3674     2.7065     L_PR2
9999       9999       9999       L_PMS
10.3096    6.9964     2.7893     L_ZMI
9.0053     7.908      4.2636     L_ZMU
8.3697     8.7245     5.2326     L_DA
9.5861     8.8909     6.1254     L_MTI
9.8355     9.2636     6.4419     L_MTS
10.2971    8.3126     5.5279     L_FMO
10.6112    8.2271     5.4426     L_FMT
12.6338    11.0909    3.8354     L_PO
9999       9999       9999       L_ZTS
7.7868     5.3115     2.0901     O1
10.883     7.1159     3.852      O2
7.0385     11.2544    5.725      O3
12.4533    14.5975    4.0015     O4







































































































































































8.0287     8.8288     5.7078     GLRH
7.9741     8.7622     5.6119
7.9088     8.6811     5.507
7.8999     8.5842     5.4215
7.835      8.4878     5.3381
7.7769     8.3696     5.224
7.7291     8.2727     5.1226
7.6782     8.1166     5.0451
7.618      8.0275     4.9673
7.5646     7.9557     4.9032
7.4457     7.8451     4.862
7.3876     7.7771     4.7244
7.3334     7.5758     4.6311
7.2347     7.4813     4.5584
7.1614     7.3374     4.4252
7.0588     7.204      4.4263
























































































































































































7.0198     7.1597     4.4194     NOSE
6.8309     7.258      4.3657
6.6579     7.1835     4.2257
6.5549     7.1439     4.12
6.4587     7.0901     4.0229
6.3758     7.0343     3.9248
6.3183     6.9841     3.8334
6.2329     6.903      3.7157
6.1682     6.7902     3.558
6.0623     6.7296     3.4717
6.0868     6.6675     3.3886
6.0277     6.4894     3.2848
6.0222     6.3214     3.2247
6.1753     6.1745     3.206
6.2657     6.0461     3.1704
6.375      5.9697     3.1631
9999       9999       9999























































































































































































6.3588     5.921      3.1503     NASP-PR
6.2756     5.809      3.062
6.2193     5.7021     2.9444
6.1811     5.639      2.8713
6.1433     5.5766     2.7247
6.1602     5.5075     2.542
6.1479     5.5227     2.4487

































































































































































































7.0691     7.5453     4.3629     R-PM/MAX
6.8869     7.5095     4.2712
6.7978     7.505      4.1634
6.6888     7.5159     4.0899
6.5615     7.4464     3.9984
6.4559     7.3473     3.9166
6.346      7.3324     3.7951
6.2299     7.269      3.7043
6.1227     7.1939     3.5826
6.0101     7.1879     3.4582
5.9498     7.1232     3.3138
5.8853     7.0447     3.2477
5.7683     6.8953     3.087
5.677      6.8019     2.9316
5.6056     6.7519     2.8294
5.5524     6.5946     2.7673
5.5399     6.4886     2.5467























































































































































































9999       9999       9999       L-PM/MAX







































































































































































































6.1083     8.6311     1.9822     ROSTRUM
6.0644     8.6004     2.2344
6.0165     8.5809     2.5165
6.0264     8.5849     2.7391
6.1538     8.5585     3.0007
6.3158     8.5374     3.2412
6.4913     8.5105     3.4063
6.6668     8.4664     3.5879
6.8191     8.4169     3.7425
6.9283     8.3781     3.8517
7.0142     8.3608     3.9701
7.1674     8.3457     4.1385
7.2357     8.2881     4.2805
7.3126     8.271      4.3914
7.4004     8.2755     4.5258
7.4048     8.2478     4.7058
7.4505     8.2432     4.8032
7.5119     8.2181     4.9253
