AMNH       103372     scc14ms.xls
12.0998    14.0036    7.5722     IN
10.356     11.5581    9.5333     BR
7.6269     7.9768     8.1348     GL
7.5778     7.8805     7.7761     NA
7.1677     7.3405     6.1138     RH
6.4949     6.5447     4.3597     NS
6.3075     6.2729     3.7749     PR
5.9877     6.6012     3.7272     R_PR2
7.2836     7.7771     6.8911     R_PMS
5.8337     9.895      4.8229     R_ZMI
6.7703     8.9065     6.0705     R_ZMU
7.6422     8.4458     6.9733     R_DA
6.5161     9.2851     8.2412     R_MTI
6.7718     9.586      8.7858     R_MTS
5.8485     10.09      7.433      R_FMO
5.8026     10.6965    7.3794     R_FMT
8.47       13.551     5.7276     R_PO
5.9268     11.5841    5.7295     R_ZTS
6.7815     6.0042     3.7027     L_PR2
7.6035     7.55       6.8317     L_PMS
9.8101     6.9167     4.7499     L_ZMI
8.7397     7.4223     6.0873     L_ZMU
8.1223     8.0543     7.0586     L_DA
9.2802     7.2637     8.223      L_MTI
9.4592     7.5398     8.836      L_MTS
10.0797    6.8916     7.5574     L_FMO
10.7021    6.9624     7.415      L_FMT
12.8183    10.1877    5.7283     L_PO
11.546     7.2366     5.6424     L_ZTS
6.1118     6.9744     4.4827     O1
5.7115     10.1501    5.8411     O2
9.167      14.5932    6.0734     O3
11.5218    14.0839    7.8794     O4







































































































































































7.6379     7.9717     8.0792     GLRH
7.6206     7.9429     7.9626
7.5687     7.8853     7.7849
7.5646     7.8449     7.6923
7.5318     7.8009     7.592
7.4995     7.7873     7.5033
7.4794     7.7578     7.3719
7.4877     7.7241     7.2755
7.4468     7.7058     7.1537
7.4321     7.6731     7.053
7.4282     7.6612     6.9624
7.3895     7.6228     6.8485
7.3825     7.5928     6.7252
7.3418     7.5661     6.6621
7.3253     7.5385     6.5725
7.3214     7.5226     6.483
7.2669     7.4828     6.4257
7.2613     7.4287     6.3369
7.2335     7.4085     6.2804
7.2114     7.3758     6.224
7.1833     7.3562     6.1574
7.1708     7.3273     6.1138


















































































































































































7.1441     7.3451     6.0993     NOSE
7.1313     7.3922     6.0655
7.1085     7.4406     6.0656
7.0972     7.4985     6.0612
7.0297     7.5231     6.0449
6.9761     7.5524     6.0348
6.938      7.5809     5.9575
6.8794     7.6023     5.9131
6.8241     7.6157     5.8581
6.7942     7.6286     5.754
6.7485     7.6427     5.7172
6.7104     7.6362     5.6073
6.6891     7.6359     5.5604
6.6336     7.6127     5.4729
6.583      7.5981     5.4198
6.5584     7.5401     5.2971
6.5335     7.5105     5.2286
6.5085     7.4582     5.1636
6.4693     7.3982     5.093
6.4558     7.3196     5.0283
6.4498     7.2635     4.9535
6.4384     7.2281     4.9248
6.4403     7.1426     4.8573
6.4191     7.0677     4.8108
6.421      6.9802     4.7437
6.4357     6.9126     4.7175
6.446      6.8441     4.6561
6.4444     6.7996     4.595
6.4716     6.7566     4.5413
6.4651     6.7067     4.4929
6.4749     6.6684     4.4539
6.4987     6.639      4.4253
6.5177     6.5895     4.4062
6.5887     6.537      4.3756
6.6504     6.5392     4.4317
6.6959     6.5458     4.4816
6.8032     6.5626     4.5663
6.8895     6.579      4.6578
6.959      6.5899     4.6869
7.0353     6.6103     4.7166
7.0931     6.6209     4.7589
7.1548     6.6132     4.7883
7.2167     6.6432     4.8471
7.2831     6.6548     4.9025
7.3496     6.7031     4.9877
7.4055     6.7064     5.0275
7.4469     6.7562     5.0941
7.4998     6.7958     5.1685
7.5646     6.8553     5.2534
7.5957     6.8745     5.3132
7.6167     6.9284     5.381
7.616      6.9465     5.4694
7.6161     6.989      5.5642
7.5948     7.0334     5.6447
7.5818     7.0662     5.6894
7.5791     7.1172     5.7904
7.5521     7.138      5.8405
7.534      7.1841     5.9003
7.509      7.2243     5.9166
7.479      7.2625     5.9349
7.4375     7.3025     6.0227
7.3776     7.2975     6.0547
7.3469     7.3088     6.0306
7.2905     7.3087     6.0404
7.2575     7.3207     6.0579
7.2031     7.3549     6.0629









































































































