AMNH       103354     scc1cs.xls
2.8239     25.9221    6.7438     IN
1.2567     27.9095    9.0973     BR
-1.6827    31.2523    8.1107     GL
-1.6994    31.2694    8.0339     NA
-2.0272    31.7172    6.5905     RH
-2.61      32.4073    5.1989     NS
-2.8495    32.6068    4.8293     PR
-2.4679    32.8006    4.7903     R_PR2
-1.8821    31.6005    6.9544     R_PMS
0.453      32.3715    5.2045     R_ZMI
-0.7861    31.8061    6.3709     R_ZMU
-1.2833    31.3414    7.4049     R_DA
-0.3736    31.6712    8.3221     R_MTI
-0.2004    31.4895    8.7568     R_MTS
0.5645     32.2592    7.6449     R_FMO
1.174      32.1365    7.5442     R_FMT
2.6755     29.3046    5.5738     R_PO
1.728      32.0178    5.6889     R_ZTS
-3.1257    32.2783    4.8617     L_PR2
-2.07      31.5422    6.8076     L_PMS
-3.2492    29.5491    5.4105     L_ZMI
-2.4129    30.5325    6.4277     L_ZMU
-1.8094    30.9757    7.4973     L_DA
-2.3787    29.9434    8.4239     L_MTI
-2.1348    29.8505    8.8176     L_MTS
-3.061     29.1766    7.531      L_FMO
-3.0585    28.6875    7.4804     L_FMT
-0.5156    26.7488    5.7056     L_PO
-3.0288    28.2197    5.9947     L_ZTS
-3.015     31.308     5.2531     O1
-3.3321    29.4371    6.0341     O2
-0.2789    26.0578    6.7907     O3
3.2447     26.639     7.1932     O4







































































































































































-1.6783    31.2573    8.1455     GLRH
-1.7091    31.3261    7.9306
-1.7798    31.3861    7.7071
-1.8244    31.4794    7.6702
-1.8464    31.4612    7.4198
-1.9092    31.5332    7.1232
-2.0027    31.5749    6.8442
-2.0595    31.6515    6.6915
-2.0623    31.6825    6.5953































































































































































































-2.0411    31.7134    6.5706     NOSE
-1.9463    31.7798    6.554
-1.9285    31.894     6.3613
-1.8652    32.0139    6.0577
-1.8681    32.144     5.7808
-2.0036    32.2885    5.6014
-2.2296    32.3732    5.4809
-2.4158    32.3948    5.3395
-2.5504    32.3422    5.1945
-2.6543    32.1482    5.4039
-2.6614    31.8784    5.596
-2.557     31.6576    5.8345
-2.4622    31.6162    6.0619
-2.336     31.6285    6.2579
-2.2083    31.6394    6.481
-2.1072    31.6507    6.5185
-2.0546    31.7054    6.58























































































































































































-2.6035    32.3108    5.2096     NASP-PR
-2.6851    32.4834    5.1541
-2.7964    32.5521    5.0632
-2.8226    32.6048    4.9575
-2.8589    32.6158    4.8705



































































































































































































-1.8794    31.5944    6.9808     R-PM/MAX
-1.8348    31.694     6.8204
-1.8199    31.805     6.6322
-1.8012    31.9095    6.3977
-1.7705    32.0234    6.1655
-1.782     32.1163    5.9915
-1.7632    32.2684    5.774
-1.7532    32.405     5.5238
-1.8161    32.5       5.3362
-1.8989    32.6676    5.1147
-1.9816    32.802     4.9932
-2.0354    32.8224    4.8654
-2.0574    32.7677    4.7966



























































































































































































-2.01      31.6041    6.818      L-PM/MAX
-2.1758    31.62      6.6379
-2.2601    31.5952    6.4763
-2.3733    31.556     6.2141
-2.5086    31.5609    6.0213
-2.6522    31.5993    5.8278
-2.8165    31.6065    5.5804
-2.9403    31.6866    5.3743
-3.0843    31.8012    5.16
-3.2009    31.887     5.0445
-3.1486    31.9814    4.8017























































































































































