AMNH       52665      CA14MS.XLS
18.2889    17.1999    -10.388    IN
15.5034    14.6492    -12.5231   BR
11.6477    11.6364    -9.5973    GL
11.6217    11.6296    -9.4742    NA
10.7987    10.9038    -7.0318    RH
9.9105     10.1372    -4.4065    NS
9.6705     9.9581     -3.5767    PR
10.3023    9.4944     -3.7263    R_PR2
9999       9999       9999       R_PMS
14.7062    10.0456    -5.74      R_ZMI
13.0314    10.7684    -7.4915    R_ZMU
12.1408    11.5435    -8.5792    R_DA
13.3339    10.5734    -9.5939    R_MTI
13.7157    10.8173    -10.2325   R_MTS
14.4084    10.0855    -8.5005    R_FMO
15.2487    10.1329    -8.7533    R_FMT
18.976     13.3781    -7.998     R_PO
16.2147    10.0307    -6.4522    R_ZTS
9.3141     10.5802    -3.735     L_PR2
11.2311    11.5858    -7.81      L_PMS
10.7932    14.601     -5.7737    L_ZMI
11.1571    13.0045    -7.4906    L_ZMU
11.7161    12.1836    -8.3836    L_DA
11.0669    13.2048    -9.605     L_MTI
11.3593    13.3638    -10.3046   L_MTS
10.6208    14.5534    -8.4734    L_FMO
10.8118    15.2972    -8.7388    L_FMT
14.5383    18.3933    -7.9744    L_PO
10.9165    16.3072    -6.364     L_ZTS
9.2275     10.0134    -3.2242    O1
10.4316    15.0644    -6.0498    O2
15.3651    18.9664    -8.0155    O3
17.6329    17.8862    -9.2397    O4







































































































































































11.654     11.5989    -9.6537    GLRH
11.6121    11.5542    -9.4799
11.6021    11.5515    -9.2542
11.6112    11.5179    -9.0074
11.5835    11.4828    -8.669
11.5078    11.4292    -8.4212
11.4109    11.336     -8.1261
11.3188    11.2901    -7.8965
11.2253    11.2279    -7.6872
11.1245    11.1177    -7.4989
11.0383    11.0678    -7.3895
10.9282    11.0132    -7.2723
10.8393    10.9302    -7.1581
10.7988    10.8969    -7.0797


























































































































































































9.8635     10.1174    -4.3665    NOSE
9.8171     10.2027    -4.4118
9.8037     10.2623    -4.5023
9.8063     10.3679    -4.622
9.8158     10.5247    -4.7752
9.8487     10.7409    -4.9337
10.0144    10.9827    -5.1835
10.0957    11.083     -5.355
10.1587    11.1466    -5.5607
10.2341    11.1948    -5.7226
10.3284    11.2161    -5.9527
10.3758    11.1917    -6.1279
10.4456    11.177     -6.3623
10.5563    11.0845    -6.6763
