AMNH       189378     ca17ms.xls
17.1855    15.5128    -9.2268    IN
14.2436    13.5426    -11.6176   BR
10.0296    10.5999    -9.4801    GL
9.9558     10.5512    -9.2183    NA
8.87       9.7436     -6.9904    RH
8.1483     9.1418     -5.0929    NS
7.6374     8.8096     -4.3846    PR
8.3324     8.3992     -4.7105    R_PR2
9.5927     9.7518     -7.306     R_PMS
12.427     8.9475     -5.4179    R_ZMI
11.2927    9.3409     -7.224     R_ZMU
10.3243    10.4185    -8.581     R_DA
11.5037    9.4382     -9.3513    R_MTI
11.67      9.6226     -9.8934    R_MTS
12.3465    8.809      -8.1015    R_FMO
13.0755    8.8067     -8.428     R_FMT
17.0382    11.366     -7.2798    R_PO
14.1964    8.5677     -6.4075    R_ZTS
7.3625     9.6418     -4.5751    L_PR2
9.1286     10.3694    -7.3278    L_PMS
9999       9999       9999       L_ZMI
9.2196     12.1487    -7.2268    L_ZMU
9.8267     10.8042    -8.5092    L_DA
9.3519     12.5005    -9.3318    L_MTI
9.6218     12.6721    -9.842     L_MTS
9.079      13.407     -8.0971    L_FMO
9.3254     14.0759    -8.3191    L_FMT
13.0539    16.8654    -7.2956    L_PO
9999       9999       9999       L_ZTS
9.6912     8.4445     -4.6165    O1
12.5102    8.3835     -6.0892    O2
17.7332    11.6866    -7.8415    O3
17.2799    14.7911    -9.9441    O4







































































































































































10.0376    10.5917    -9.468     GLRH
9.9803     10.5797    -9.3174
9.9467     10.5414    -9.2002
9.9084     10.4992    -9.0947
9.8643     10.4379    -8.9177
9.8078     10.4318    -8.7031
9.7477     10.38      -8.5511
9.6968     10.3356    -8.414
9.6362     10.3052    -8.251
9.6003     10.2557    -8.1532
9.5298     10.217     -8.0132
9.4895     10.163     -7.9272
9.4449     10.126     -7.8441
9.3759     10.0572    -7.7287
9.3056     10.0189    -7.6291
9.2534     9.987      -7.5332
9.214      9.94       -7.4674
9.1757     9.8879     -7.4167
9.0946     9.8364     -7.3512
9.0161     9.7929     -7.266
8.9817     9.769      -7.2259
8.9611     9.744      -7.1755
8.9307     9.7113     -7.1043
8.9045     9.6897     -7.0918
8.8822     9.685      -7.0343















































































































































































8.9118     9.6575     -7.0415    NOSE
8.975      9.6069     -6.9733
9.0051     9.541      -6.9346
9.0144     9.4903     -6.8852
9.0327     9.4737     -6.8662
9.0678     9.409      -6.7812
9.0669     9.3839     -6.7241
9.087      9.3507     -6.7024
9.1694     9.3562     -6.701
