AMNH       52645      ca7ms.xls
17.9607    18.1071    -8.3943    IN
15.9721    15.2957    -11.5252   BR
12.7671    11.7057    -9.9135    GL
12.7797    11.6605    -9.8321    NA
11.7005    10.4551    -7.4826    RH
10.8016    9.4655     -5.4745    NS
10.4702    9.1228     -4.5051    PR
11.218     8.8091     -4.5353    R_PR2
12.312     10.4724    -7.5665    R_PMS
15.2246    10.0933    -6.0104    R_ZMI
13.9313    10.545     -7.6656    R_ZMU
12.9851    11.4173    -8.9098    R_DA
14.2607    11.1189    -10.0012   R_MTI
14.5082    11.3907    -10.3936   R_MTS
15.3454    10.3919    -8.6747    R_FMO
16.0793    10.6999    -8.9692    R_FMT
18.8001    13.8007    -6.8835    R_PO
16.6685    10.4255    -6.5333    R_ZTS
10.1295    9.7501     -4.656     L_PR2
11.6424    10.9939    -7.5979    L_PMS
10.6965    13.9244    -6.0185    L_ZMI
11.4812    12.5787    -7.7393    L_ZMU
12.4336    11.7791    -9.0339    L_DA
11.9999    13.0447    -10.0756   L_MTI
12.2696    13.2809    -10.4601   L_MTS
11.0883    13.9986    -8.7496    L_FMO
11.3149    14.7303    -9.123     L_FMT
13.7415    17.9237    -7.0423    L_PO
10.8519    15.2149    -6.7439    L_ZTS
9.9811     9.0827     -4.376     O1
15.0376    10.0846    -7.6202    O2
19.179     14.9723    -8.0505    O3
18.2194    17.4002    -9.3726    O4







































































































































































12.8089    11.6835    -9.927     GLRH
12.7167    11.6219    -9.7333
12.6716    11.5622    -9.5627
12.6225    11.496     -9.3605
12.572     11.4207    -9.1827
12.5226    11.3161    -8.9374
12.4622    11.2792    -8.7554
12.389     11.2216    -8.6088
12.2984    11.1319    -8.4204
12.2212    11.0131    -8.2173
12.1674    10.9536    -8.1348
12.0659    10.8482    -7.9848
12.0182    10.7513    -7.8714
11.9254    10.666     -7.7865
11.8708    10.6001    -7.722
11.8001    10.4991    -7.6306
11.7538    10.4562    -7.5427
11.7297    10.4205    -7.5117






















































































































































































11.7058    10.4349    -7.4523    NOSE
11.8162    10.4201    -7.4201
11.8517    10.3169    -7.4012
11.9947    9.9693     -6.9362
11.9999    9.8823     -6.8166
11.9767    9.8244     -6.7059
11.9402    9.7517     -6.5179
11.9034    9.6778     -6.4002
11.8152    9.6109     -6.3
11.7435    9.58       -6.173
11.6533    9.5272     -6.0629
11.5396    9.4845     -5.9882
11.25      9.4002     -5.7866
11.1452    9.3309     -5.6461
10.9837    9.3525     -5.5194
10.8159    9.4116     -5.4607
10.7435    9.5161     -5.4909
10.7239    9.6548     -5.5831
10.7396    10.0172    -5.7646
10.7658    10.2813    -5.9632
10.8285    10.4047    -6.0862
10.9536    10.6087    -6.4735


















































































































































































10.8153    9.4489     -5.4583    NASP-PR
10.7405    9.3872     -5.3885
10.6445    9.2689     -5.228
10.5747    9.2074     -5.0491
10.5287    9.1816     -4.9028
10.5003    9.1446     -4.7887
10.4677    9.1046     -4.6618
10.4643    9.093      -4.5762
































































































































































































12.3225    10.4932    -7.5884    R-PM/MAX
12.2629    10.3282    -7.4365
12.229     10.1988    -7.2568
12.2387    10.0702    -7.0938
12.1744    9.8951     -6.8636
12.1105    9.7606     -6.6931
12.0841    9.6573     -6.5007
12.1047    9.5811     -6.3323
12.1388    9.4523     -6.1254
12.1468    9.3418     -5.8384
12.1291    9.2603     -5.6636
12.1296    9.1946     -5.5163
12.154     9.1326     -5.3726
12.1687    9.0763     -5.2651
12.1906    9.0043     -5.0725
12.1664    8.9636     -4.9104
























































































































































































11.6147    11.0146    -7.5784    L-PM/MAX
11.4261    10.94      -7.3462
11.3458    10.9014    -7.2277
11.2637    10.8888    -7.0979
11.1497    10.8253    -6.9504
11.0709    10.7617    -6.8194
10.9862    10.6897    -6.6853
10.8867    10.6279    -6.5388
10.8279    10.6292    -6.4206
10.7706    10.6897    -6.3084
10.6721    10.6958    -6.1398
10.6141    10.7007    -6.0165
10.5594    10.6844    -5.8752
10.4719    10.6785    -5.6407
10.3773    10.688     -5.4806
10.2889    10.6721    -5.3131
10.2342    10.6671    -5.236
10.1918    10.7021    -5.0986
10.1748    10.7279    -4.9731
10.1708    10.7322    -4.9329




















































































































































































13.7752    10.0972    -4.6877    ROSTRUM
13.8315    9.9978     -4.8745
13.7864    9.9683     -5.0865
13.7336    9.9854     -5.2861
13.6774    10.0645    -5.5558
13.5888    10.1051    -5.7633
13.4985    10.1766    -5.9738
13.4052    10.2067    -6.2172
13.3681    10.2782    -6.4713
13.2975    10.3105    -6.7447
13.2582    10.3951    -6.9604
13.1831    10.4665    -7.1071
13.0926    10.5654    -7.2967
12.9932    10.6298    -7.486
12.8579    10.7696    -7.6905
12.7453    10.9107    -7.9059
12.6304    10.9947    -8.1055
12.5157    11.0967    -8.3234
12.4325    11.1689    -8.4716
12.3633    11.2182    -8.528
12.3292    11.1935    -8.5261
12.1716    11.3192    -8.3212
12.046     11.4367    -8.0521
11.8239    11.5485    -7.678
11.6679    11.6829    -7.4298
11.4738    11.8111    -7.1271
11.2573    11.8483    -6.7844
11.1686    11.9813    -6.3663
11.1519    12.1486    -6.0553
11.0787    12.2234    -5.8242
10.9881    12.2894    -5.5866
10.8951    12.3261    -5.3555
10.842     12.3338    -5.1591
10.7921    12.2968    -5.0991
10.8362    12.3337    -4.963
10.9111    12.3246    -4.8507




































































































































































16.0909    10.7959    -9.0081    SUPORB
16.0512    10.8504    -9.2266
15.9274    10.9371    -9.5524
15.6756    11.0692    -9.8419
15.3975    11.22      -10.0629
15.0591    11.3529    -10.2568
14.5635    11.54      -10.4409
14.2156    11.6156    -10.5167
13.7956    11.7731    -10.5433
13.3357    11.9223    -10.4529
13.0642    12.0363    -10.3831
13.0203    12.0611    -10.3721
12.991     12.1878    -10.432
12.8987    12.4218    -10.508
12.883     12.5326    -10.6039
12.776     12.8643    -10.6172
12.5958    13.215     -10.5907
12.3303    13.669     -10.4441
12.1753    13.9538    -10.3282
11.943     14.3551    -10.1042
11.7598    14.5975    -9.8717
11.5666    14.828     -9.5276
11.4874    14.7809    -9.4236
11.4277    14.7859    -9.2886
















































































































































































13.9199    10.5457    -7.6878    RORBIT
14.102     10.5182    -7.6627
14.2573    10.4584    -7.6791
14.417     10.4342    -7.7312
14.5687    10.3686    -7.7888
14.724     10.3365    -7.8987
14.8247    10.3347    -7.9733
14.9523    10.3433    -8.0865
15.0906    10.3522    -8.2271
15.2193    10.366     -8.4323
15.3255    10.4059    -8.6164
15.3613    10.441     -8.806
15.394     10.47      -8.9685
15.3695    10.4985    -9.1253
15.3244    10.5335    -9.2975
15.2868    10.564     -9.472
15.1923    10.6469    -9.6628
15.0414    10.7491    -9.8287
14.9232    10.7983    -9.9316
14.7314    10.9032    -9.9763
14.5576    10.9701    -9.9969
14.4175    11.0606    -10.0243
14.2676    11.1319    -10.0182
14.0223    11.2164    -9.9846
13.8749    11.2698    -9.9929
13.7351    11.3416    -9.993
13.6234    11.4143    -9.9635
13.4714    11.5268    -9.9606
13.4081    11.5664    -9.9398
13.3779    11.5821    -9.7818
13.2991    11.5931    -9.6196
13.1831    11.5556    -9.3988
13.1222    11.5292    -9.2642
13.0575    11.4941    -9.0803
13.0279    11.4423    -8.9323





































































































































































11.4443    12.6779    -7.7324    LORBIT
11.3773    12.8229    -7.7106
11.2795    12.9975    -7.7408
11.1738    13.2163    -7.8144
11.0928    13.4453    -7.955
11.0463    13.6975    -8.2138
11.0728    13.8603    -8.4469
11.1333    14.0475    -8.7054
11.2381    14.0918    -9.0689
11.4578    13.9868    -9.4961
11.64      13.7268    -9.8455
11.8566    13.4185    -10.0054
11.941     13.1156    -10.0768
12.0478    12.9887    -10.0179
12.2121    12.7801    -9.9667
12.3326    12.6285    -9.9686
12.4539    12.5178    -9.9398
12.5646    12.3805    -9.87
12.6089    12.2228    -9.6973
12.5538    12.0517    -9.4949
12.4904    11.9189    -9.2281
12.4444    11.8386    -9.0727


















































































































































































16.0759    10.8622    -9.1098    RTEMFOS
16.0847    10.7881    -8.9393
16.0505    10.704     -8.7754
16.0182    10.6146    -8.5409
15.9432    10.4972    -8.2599
15.858     10.3953    -7.9753
15.73      10.2854    -7.6281
15.6415    10.2025    -7.3726
15.6852    10.1082    -7.0495
15.839     10.1006    -6.7486
16.0591    10.1364    -6.567
16.2574    10.221     -6.4929
16.4074    10.3266    -6.4916
16.5547    10.3962    -6.5152
16.6286    10.4628    -6.5428

























































































































































































11.332     14.7618    -9.1141    LTEMFOS
11.3015    14.759     -8.9731
11.25      14.7141    -8.7816
11.1498    14.6202    -8.544
11.0755    14.5296    -8.3916
10.998     14.45      -8.1932
10.9314    14.36      -8.0372
10.8693    14.3151    -7.9361
10.8185    14.2373    -7.7486
10.7452    14.1874    -7.5053
10.6947    14.149     -7.3614
10.6415    14.1845    -7.1456
10.6179    14.3609    -6.8571
10.6482    14.5536    -6.7453
10.7167    14.7799    -6.6696
10.7737    14.9544    -6.6835
10.8313    15.0657    -6.7027
10.8129    15.2136    -6.7251
10.8713    15.2471    -6.7646





















































































































































































11.4367    10.0865    -7.8666    OP
12.6533    11.3157    -7.8447    BA
15.0166    14.0812    -7.2228    ST
17.2539    16.6288    -6.9556    IV
15.1168    9.4341     -7.7764    R_PG
17.2127    10.3472    -6.9979    R_ZTI
16.2845    13.0502    -7.8898    R_M3D
17.4494    13.9951    -7.7627    R_M12
18.408     15.4385    -7.4649    R_MP3
18.6376    16.2195    -7.2135    R_PMI
10.3965    13.6034    -7.7102    L_PG
11.058     15.6731    -6.9615    L_ZTI
13.7157    15.0844    -7.9005    L_M3D
14.4579    16.3852    -7.7458    L_M12
15.8652    17.5972    -7.4111    L_MP3
16.4814    17.8447    -7.2534    L_PMI
18.3279    18.3853    -7.25      O1
17.611     12.8279    -5.0566    O2
13.2799    8.1154     -6.1533    O3
10.5288    8.5943     -5.0665    O4




















































































































































































17.9239    12.6707    -6.8139    RZYGINF
17.9733    12.5623    -6.7615
18.022     12.3516    -6.819
18.0325    12.1217    -6.922
17.9596    11.8336    -7.0159
17.8711    11.6808    -7.083
17.7971    11.4899    -7.1497
17.6834    11.301     -7.1997
17.6046    11.098     -7.2363
17.5036    10.8653    -7.212
17.3891    10.6854    -7.1065
17.2827    10.585     -7.0603
17.1956    10.4467    -7.0393



























































































































































































13.2435    16.9069    -6.6838    LZYGINF
13.1374    16.9005    -6.7063
12.8426    16.9171    -6.7319
12.6503    16.895     -6.784
12.4748    16.8202    -6.8739
12.2591    16.7265    -6.9465
12.0909    16.6214    -7.0324
11.9624    16.5139    -7.0838
11.81      16.3423    -7.1506
11.6857    16.2428    -7.1942
11.4944    16.1297    -7.2091
11.3347    16.031     -7.1166
11.2108    15.9026    -7.0217
11.0948    15.7867    -6.9751
10.9958    15.691     -6.952












































