NMNH       481746     cta4ms.xls
15.714     14.423     9.0405     IN
12.9359    11.9661    12.0625    BR
9.5112     9.0157     10.3063    GL
9.488      9.0153     9.6772     NA
8.7589     8.2827     7.8303     RH
8.2454     7.9231     6.1737     NS
8.1318     7.8338     5.5068     PR
7.7854     8.3977     5.5593     R_PR2
8.923      8.9033     8.2319     R_PMS
8.4965     11.8426    6.5923     R_ZMI
8.7127     10.3076    8.048      R_ZMU
9.4939     9.3758     9.0496     R_DA
8.8739     10.803     10.189     R_MTI
8.9432     10.8485    10.5026    R_MTS
8.4613     11.6234    9.2134     R_FMO
8.6155     12.1326    9.2521     R_FMT
11.6697    14.8265    8.0159     R_PO
8.6502     12.8191    7.1249     R_ZTS
8.7407     7.4366     5.5518     L_PR2
9.3563     8.3282     8.0993     L_PMS
12.1389    7.7189     6.3834     L_ZMI
10.7962    7.9536     7.9584     L_ZMU
9.8        8.9146     9.0997     L_DA
11.1796    8.0897     10.1716    L_MTI
11.3888    8.1902     10.4633    L_MTS
12.0017    7.6472     9.0708     L_FMO
12.5193    7.7182     9.1056     L_FMT
15.325     10.4577    7.8691     L_PO
13.174     7.7285     6.997      L_ZTS
9.7141     7.461      6.0745     O1
12.1945    7.4054     6.9939     O2
15.955     10.5242    8.4954     O3
16.0724    13.6192    10.0461    O4







































































































































































9.5204     8.9844     10.3181    GLRH
9.5013     8.983      10.1772
9.5342     8.9998     10.0236
9.5366     9.0031     9.8644
9.5072     8.9835     9.7434
9.4988     8.9617     9.6084
9.4607     8.9405     9.4261
9.4416     8.9014     9.2373
9.4188     8.8718     9.059
9.3896     8.8601     8.8963
9.3509     8.7989     8.7403
9.2829     8.7608     8.6211
9.2346     8.7163     8.4985
9.1417     8.6718     8.3668
9.0663     8.6297     8.2841
9.0008     8.5878     8.1978
8.9425     8.5308     8.1337
8.8861     8.4771     8.0594
8.8531     8.4216     8.0105
8.8222     8.3699     7.951
8.7759     8.3335     7.9039
8.7599     8.3092     7.8491
8.7337     8.2906     7.7945

















































































































































































8.7091     8.309      7.8334     NOSE
8.6754     8.3854     7.8801
8.6243     8.4473     7.8568
8.576      8.5137     7.792
8.5217     8.5365     7.7532
8.4624     8.5524     7.6424
8.4139     8.5716     7.5713
8.4169     8.6121     7.5248
8.4173     8.6862     7.4894
8.3675     8.733      7.4423
8.3624     8.7259     7.2692
8.3131     8.7224     7.1491
8.3014     8.721      7.0441
8.2631     8.6944     6.915
8.2415     8.642      6.7844
8.2361     8.5496     6.6474
8.2475     8.4064     6.5227
8.2529     8.3112     6.4052
8.2445     8.2277     6.3409
8.2497     8.1468     6.2948
8.2575     8.0698     6.2381
8.2793     7.975      6.2022
8.2817     7.9175     6.1783
8.3738     7.869      6.2521
8.4443     7.8268     6.2976
8.5396     7.826      6.3348
8.63       7.838      6.423
8.7079     7.8466     6.4938
8.7899     7.8633     6.5426
8.879      7.869      6.6028
8.9407     7.8528     6.6687
9.0176     7.8604     6.7722
9.0786     7.8736     6.8789
9.0844     7.8958     6.9603
9.0878     7.8964     7.0863
9.0613     7.8872     7.1649
9.0972     7.9035     7.2851
9.0941     7.9322     7.3875
9.0906     7.9603     7.4591
8.9672     7.9943     7.5791
8.9316     8.0404     7.6745
8.8965     8.1483     7.7711
8.8872     8.1658     7.8033
8.8538     8.215      7.8567
8.7782     8.2737     7.851
8.724      8.2948     7.8361


























































































































































8.2256     7.9271     6.1773     NASP-PR
8.1896     7.9028     6.1237
8.1654     7.866      6.0487
8.1299     7.8494     5.9834
8.1337     7.8187     5.8935
8.1229     7.8183     5.8336
8.1199     7.815      5.7616
8.0864     7.8246     5.702
8.0872     7.827      5.6496
8.1148     7.8323     5.604
8.1106     7.8259     5.5849
8.1172     7.8204     5.5534




























































































































































































8.9336     8.9117     8.2466     R-PM/MAX
8.8632     8.9414     8.159
8.8016     8.9438     8.0752
8.7326     8.9518     8.0013
8.6679     8.9407     7.9295
8.5841     8.9592     7.8253
8.5486     8.9902     7.7452
8.47       8.999      7.5937
8.4202     9.0027     7.4794
8.3646     9          7.3865
8.3252     9.0211     7.2989
8.284      9.021      7.2148
8.2493     9.0103     7.1418
8.2174     9.0035     7.0585
8.17       8.9921     6.9192
8.1537     8.9876     6.854
8.1255     8.9858     6.7512
8.056      9.0016     6.6214
8.0026     9.042      6.4405
7.9573     9.038      6.3517
