NMNH       270954     ctl1ms.xls
16.1454    15.3416    9.2878     IN
13.3074    12.4731    12.4445    BR
9.6491     9.3636     10.4841    GL
9.6319     9.3724     10.3439    NA
8.4629     8.3897     8.0929     RH
7.4412     7.5352     6.4543     NS
6.938      7.1223     5.6363     PR
6.5452     7.8407     5.5774     R_PR2
9.3636     9.3347     9.3912     R_PMS
8.6381     12.4023    6.97       R_ZMI
8.5604     11.1354    8.5218     R_ZMU
9.6298     9.858      9.6585     R_DA
8.7675     11.363     10.5446    R_MTI
8.9781     11.7257    10.7967    R_MTS
8.4202     12.245     9.5295     R_FMO
8.5617     12.8143    9.7352     R_FMT
11.9158    15.7299    8.3762     R_PO
8.8764     13.9012    7.7617     R_ZTS
7.7375     6.6455     5.4925     L_PR2
9.5405     9.1026     9.3277     L_PMS
12.1778    8.0071     6.8749     L_ZMI
11.0677    8.1922     8.3983     L_ZMU
10.1518    9.3341     9.6466     L_DA
11.4355    8.3281     10.3941    L_MTI
11.6354    8.5315     10.7199    L_MTS
12.3297    7.8064     9.3525     L_FMO
12.9714    7.9319     9.3642     L_FMT
16.0983    10.8262    8.1467     L_PO
13.8989    8.1284     7.4399     L_ZTS
7.9765     6.761      6.2742     O1
12.8728    7.7158     7.3749     O2
16.6306    11.2127    8.8638     O3
16.5531    14.7689    9.9096     O4







































































































































































9.6894     9.3488     10.5235    GLRH
9.6292     9.3544     10.3689
9.5922     9.3038     10.1894
9.5702     9.3306     10.1428
9.5587     9.3211     10.0733
9.5638     9.2796     9.8977
9.5296     9.2604     9.6746
9.5107     9.2579     9.5876
9.4417     9.2174     9.4575
9.3971     9.1596     9.3047
9.3601     9.1236     9.1937
9.3165     9.0921     9.1529
9.2572     9.0622     9.0528
9.2307     9.0055     8.9404
9.1787     8.9641     8.8516
9.109      8.9286     8.797
9.0414     8.8849     8.69
8.9676     8.8409     8.618
8.9365     8.8081     8.5579
8.8653     8.7656     8.516
8.817      8.7013     8.462
8.7786     8.676      8.432
8.7348     8.6009     8.3666
8.6757     8.5795     8.3415
8.6349     8.5103     8.2952
8.5697     8.4597     8.2151
8.536      8.4407     8.2045
8.5155     8.4449     8.2091
8.5047     8.4296     8.1723
8.4816     8.4158     8.1463
8.4628     8.3809     8.1239
8.4541     8.3696     8.0763








































































































































































8.3817     8.4342     8.0378     NOSE
8.3288     8.4947     8.0703
8.2714     8.5433     8.1277
8.2257     8.6172     8.1264
8.1883     8.6778     8.0824
8.1793     8.7236     8.0675
8.1725     8.7747     8.0467
8.1785     8.8001     8.0536
8.1329     8.7893     7.993
8.059      8.786      7.9524
8.0002     8.8088     7.8761
7.9493     8.8045     7.8431
7.8597     8.8177     7.7522
7.8286     8.8146     7.6632
7.7575     8.8177     7.6023
7.7104     8.8022     7.5496
7.6422     8.7592     7.4406
7.5983     8.7201     7.3265
7.552      8.6748     7.2246
7.5173     8.6143     7.1009
7.512      8.5184     7.0181
7.4869     8.4381     6.9609
7.4732     8.3603     6.9207
7.4496     8.2856     6.8923
7.4239     8.1881     6.8368
7.3908     8.1116     6.8227
7.3538     8.0108     6.7819
7.3316     7.9145     6.7277
7.2909     7.8537     6.6808
7.2741     7.8064     6.6498
7.2818     7.7241     6.5873
7.3231     7.6423     6.5172
7.3585     7.5864     6.4763
7.3722     7.5707     6.4552
7.3959     7.5319     6.4354
7.4585     7.4166     6.452
7.5144     7.3474     6.4977
7.5929     7.3365     6.5692
7.6718     7.3269     6.6306
7.7356     7.2991     6.6756
7.8132     7.329      6.7313
7.8691     7.3458     6.8125
7.8521     7.3231     6.7934
7.94       7.3356     6.8384
8.0117     7.3237     6.8599
8.1113     7.3337     6.8842
8.2182     7.3455     6.8946
8.2492     7.3551     6.9183
8.3914     7.4004     6.98
8.4625     7.4405     7.0476
8.5031     7.4829     7.0762
8.5455     7.5102     7.1367
8.5802     7.5658     7.1843
8.6211     7.6078     7.2543
8.6835     7.6642     7.4008
8.6895     7.6899     7.4585
8.7381     7.7833     7.5625
8.7415     7.8262     7.6286
8.7759     7.8605     7.7222
8.7775     7.9246     7.7744
8.7926     7.9656     7.8187
8.8029     8.0805     7.9059
8.8201     8.1058     7.9827
8.8072     8.1677     8.0172
8.7436     8.177      8.0384
8.6675     8.1913     8.0583
8.6128     8.2156     8.1062
8.5636     8.259      8.107
8.4814     8.3058     8.0624
8.4409     8.3555     8.0741
8.4151     8.3563     8.0261

































































































































7.413      7.5233     6.4586     NASP-PR
7.3561     7.4379     6.3987
7.3209     7.4009     6.3594
7.2168     7.3358     6.2746
7.2242     7.3244     6.2555
7.1599     7.2661     6.1833
7.1277     7.256      6.1288
7.056      7.2096     6.0042
7.0159     7.1956     5.9195
7.0028     7.1688     5.8521
6.9868     7.1459     5.787
6.9755     7.1294     5.7508
6.9706     7.1226     5.7222
6.9262     7.1571     5.6415
6.9793     7.1298     5.5643

























































































































































































9.3491     9.3396     9.3535     R-PM/MAX
9.2643     9.3625     9.2314
9.1799     9.3381     9.0833
9.1441     9.3413     9.0151
9.0781     9.3222     8.913
9.0176     9.2774     8.8451
8.9567     9.2662     8.7614
8.9229     9.2926     8.7289
8.8876     9.2811     8.6748
8.8195     9.2651     8.6425
8.7494     9.2452     8.5728
8.6757     9.2367     8.4912
8.6188     9.2326     8.4088
8.5482     9.2481     8.3621
8.4956     9.2511     8.3073
8.4452     9.2384     8.2361
8.4087     9.262      8.2054
8.3514     9.2758     8.1397
8.2317     9.2814     8.0045
8.1574     9.2747     7.9457
8.1024     9.276      7.8931
8.0471     9.2427     7.857
7.9962     9.2143     7.801
7.941      9.1827     7.747
7.883      9.1808     7.6968
7.8183     9.1709     7.6296
7.7751     9.1362     7.566
7.7563     9.1165     7.5246
7.611      9.078      7.4019
7.6164     9.064      7.3188
7.5211     9.0161     7.2236
7.4926     8.9969     7.1637
7.4163     8.991      7.0501
7.3701     8.9851     6.9818
7.295      8.9838     6.8799
7.2402     8.9524     6.8189
7.1972     8.9537     6.7306
7.1745     8.9635     6.6773
7.1029     8.9655     6.5836
7.0646     8.9547     6.5161
7.0155     8.9493     6.4576
6.9598     8.9574     6.3701
6.8993     8.9237     6.259
6.8772     8.9689     6.1901
6.8324     8.952      6.0973
6.8178     8.9443     6.0402
6.8099     8.9539     5.9838
6.7898     8.9523     5.9512
6.8055     8.9835     5.8793
6.8029     8.9526     5.7103






















































































































































9.5625     9.0635     9.2095     L-PM/MAX
9.4358     8.8854     8.8437
9.4281     8.8273     8.7573
9.3796     8.7467     8.6135
9.3319     8.7031     8.5689
9.2832     8.5383     8.373
9.2786     8.5166     8.3217
9.2801     8.4717     8.2738
9.3196     8.4322     8.183
9.2842     8.334      8.0926
9.2303     8.2336     7.9999
9.2084     8.1709     7.943
9.1755     8.0925     7.8655
9.142      7.9916     7.7774
9.0905     7.8918     7.6765
9.0595     7.7964     7.5688
9.0239     7.7239     7.4581
8.9889     7.611      7.2875
8.9452     7.5038     7.1177
8.8717     7.3971     6.9937
8.8634     7.3402     6.8758
8.8495     7.2878     6.8201
8.8082     7.1985     6.7117
8.8272     7.1496     6.6382
8.8171     7.1059     6.5615
8.8244     7.0607     6.498
8.8052     6.9534     6.3397
8.836      6.9531     6.3321
8.8367     6.9237     6.2771
8.8523     6.8784     6.1807
8.8528     6.8387     6.0608
8.8297     6.807      5.9885
8.8495     6.8032     5.9155
8.8436     6.7828     5.7813
8.8069     6.8525     5.6448





































































































































































8.4863     11.2774    5.9129     ROSTRUM
8.4296     11.3048    6.1105
8.3729     11.2248    6.27
8.3556     11.1882    6.4577
8.3693     11.1562    6.5664
8.3652     11.0993    6.7194
8.4065     11.06      6.808
8.4261     11.0017    6.9014
8.4534     10.9656    6.9843
8.4496     10.8899    7.0837
8.4152     10.8445    7.2664
8.4659     10.7961    7.3101
8.4678     10.7709    7.4208
8.4916     10.7343    7.4927
8.4842     10.6829    7.5572
8.4827     10.6706    7.6488
8.499      10.6148    7.7449
8.4861     10.5658    7.8118
8.5199     10.5602    7.8509
8.5197     10.5439    7.9128
8.522      10.5266    7.9739
8.622      10.44      8.0683
8.6429     10.3524    8.1227
8.6428     10.2882    8.174
8.6573     10.2306    8.2646
8.6965     10.1378    8.3614
8.767      10.0509    8.3981
8.82       9.9785     8.4425
8.8697     9.8879     8.5061
8.9108     9.8212     8.5858
8.948      9.7085     8.6391
9.0043     9.6533     8.7146
9.0245     9.5695     8.8005
9.0681     9.4984     8.8874
9.0787     9.4332     8.9137
9.1198     9.3856     9.0099
9.1632     9.3638     9.0533
9.1785     9.2796     9.0969
9.2055     9.2615     9.1516
9.2329     9.2185     9.1875
9.2711     9.178      9.1894
9.3358     9.1288     9.233
9.4099     9.0422     9.185
9.498      9.0465     9.1792
9.5739     9.0273     9.1338
9.6089     8.9818     9.0112
9.6626     8.9588     8.9253
9.7113     8.9295     8.8296
9.7987     8.8859     8.7508
9.8526     8.8503     8.6793
9.9232     8.8071     8.5896
9.9848     8.7432     8.5138
10.0435    8.6891     8.4491
10.0893    8.6506     8.3954
10.1707    8.6102     8.2929
10.2174    8.5537     8.2405
10.2478    8.5355     8.1651
10.3386    8.4723     8.0936
10.4175    8.4387     7.9736
10.4486    8.413      7.9625
10.5582    8.2952     7.8545
10.5741    8.304      7.7555
10.6524    8.312      7.6519
10.7131    8.3056     7.5013
10.7491    8.3384     7.3297
10.8081    8.3325     7.2384
10.8744    8.33       7.1598
10.9289    8.312      7.0614
10.9826    8.3095     6.9334
11.0578    8.2799     6.8356
11.1149    8.2561     6.7709
11.1872    8.1851     6.5812
11.2253    8.1701     6.4873
11.2475    8.1804     6.2913
11.2469    8.2005     6.1163
11.2419    8.2592     5.8924
11.2279    8.2849     5.8226



























































































































8.5587     12.8339    9.6475     SUPORB
8.5589     12.7927    9.7891
8.5596     12.7679    9.8757
8.6038     12.7124    10.0111
8.6386     12.6631    10.1474
8.6776     12.5898    10.2603
8.7306     12.488     10.3663
8.778      12.3795    10.4763
8.7668     12.2568    10.5421
8.7908     12.1952    10.6184
8.8389     12.1133    10.6563
8.9346     11.9348    10.7931
8.98       11.8192    10.821
8.9964     11.734     10.8465
9.0529     11.5864    10.8874
9.0777     11.4837    10.917
9.1551     11.3451    10.9776
9.2356     11.2256    11.0468
9.3023     11.145     11.125
9.4129     11.0494    11.204
9.5244     10.9389    11.2619
9.6618     10.8248    11.3498
9.7533     10.7208    11.3793
9.8388     10.6086    11.3912
9.9055     10.4767    11.3819
9.9564     10.3585    11.363
10.0026    10.2665    11.3568
10.0301    10.1534    11.312
10.049     10.0626    11.2738
10.0694    9.9707     11.2301
10.0169    9.8598     11.1605
10.1347    9.7084     11.0996
10.184     9.6216     11.0957
10.2879    9.5305     11.1322
10.498     9.4595     11.1976
10.616     9.4043     11.2483
10.7786    9.3354     11.2776
10.9355    9.2584     11.2788
11.0279    9.2182     11.2478
11.1831    9.1173     11.2238
11.2546    9.0639     11.1782
11.2978    9.0478     11.1667
11.3475    8.9655     11.1254
11.5012    8.8393     11.0151
11.632     8.7539     10.9412
11.7379    8.6515     10.8442
11.7864    8.5791     10.7956
11.8773    8.5137     10.7203
12.0412    8.472      10.662
12.1109    8.4343     10.5982
12.1913    8.3769     10.5572
12.2748    8.3407     10.5164
12.3267    8.3128     10.4561
12.377     8.2331     10.3661
12.4906    8.1529     10.3398
12.5674    8.1548     10.2624
12.6815    8.0823     10.2022
12.7414    8.096      10.1178
12.8002    8.0604     10.0284
12.802     8.0129     9.9146
12.9314    8.0079     9.7929
12.9128    8.0102     9.7888
12.956     7.9801     9.6716
12.96      7.9506     9.5713
12.99      7.9336     9.4118
12.9877    7.9015     9.3377
12.9694    7.8781     9.2488
12.9663    7.8727     9.1372




































































































































8.7017     11.0456    8.5235     RORBIT
8.6455     11.1193    8.5486
8.5971     11.2221    8.5422
8.6032     11.2876    8.5437
8.5633     11.4029    8.5545
8.5385     11.482     8.5675
8.5222     11.6107    8.6113
8.4972     11.7272    8.6398
8.4713     11.7864    8.693
8.4815     11.876     8.7297
8.4539     11.9511    8.8004
8.4457     12.0334    8.8774
8.4085     12.0948    8.9895
8.4252     12.1176    9.0611
8.4058     12.1656    9.126
8.4063     12.1853    9.2194
8.4012     12.2154    9.2567
8.3901     12.2367    9.3613
8.4089     12.2071    9.3527
8.4202     12.2035    9.4765
8.4307     12.2176    9.5221
8.4559     12.2106    9.6205
8.4761     12.2018    9.7018
8.4874     12.1814    9.7828
8.5019     12.148     9.8459
8.5008     12.1113    9.9303
8.5208     12.0328    10.0566
8.5188     11.9596    10.196
8.5753     11.8971    10.2046
8.5911     11.884     10.2354
8.6204     11.8371    10.2767
8.6251     11.7915    10.3105
8.6666     11.7273    10.363
8.6806     11.6604    10.388
8.7278     11.5861    10.4209
8.7258     11.5498    10.4453
8.723      11.461     10.494
8.7805     11.4032    10.5155
8.7994     11.3612    10.528
8.7966     11.324     10.5228
8.8226     11.2588    10.5587
8.8406     11.198     10.5732
8.845      11.1707    10.5764
8.8562     11.1188    10.5811
8.8649     11.0622    10.6281
8.904      11.0131    10.5991
8.9196     10.9674    10.5842
8.9492     10.9061    10.5873
8.9854     10.8346    10.5706
8.9944     10.8129    10.5624
9.0335     10.7788    10.5424
9.0563     10.7419    10.5443
9.0573     10.6789    10.5736
9.0863     10.6157    10.5476
9.1342     10.5607    10.5501
9.1447     10.5061    10.5343
9.2046     10.4831    10.5014
9.2412     10.445     10.4922
9.2505     10.42      10.5617
9.3611     10.3782    10.5595
9.4057     10.3363    10.5522
9.458      10.2511    10.5529
9.5227     10.2012    10.5136
9.6083     10.0838    10.3692
9.6411     10.0585    10.3362
9.6533     10.0294    10.2225
9.6683     10.0003    10.1015
9.6447     9.9784     9.9987
9.6381     9.9418     9.9503
9.6579     9.9072     9.8305
9.6507     9.9084     9.8178
9.6475     9.91       9.7565
9.6418     9.888      9.677































































































































11.0785    8.1951     8.419      LORBIT
11.1753    8.1426     8.4212
11.2697    8.1119     8.4202
11.4069    8.0699     8.4143
11.5027    8.015      8.4357
11.6428    7.9537     8.4709
11.7249    7.9226     8.4824
11.824     7.9244     8.5287
11.9046    7.916      8.5767
12.0024    7.9165     8.6328
12.0822    7.9283     8.7206
12.1707    7.9305     8.8208
12.1949    7.9238     8.911
12.2253    7.9546     9.0263
12.2601    7.9664     9.1361
12.2718    7.9537     9.3211
12.2695    7.9586     9.4685
12.1907    7.9633     9.6722
12.1259    8.0072     9.7725
12.0613    8.0201     9.8986
12.0307    8.0386     9.9863
11.968     8.066      10.0456
11.8976    8.1252     10.1127
11.8331    8.1761     10.1585
11.7496    8.2283     10.2099
11.5932    8.3219     10.3165
11.5312    8.3531     10.3253
11.4335    8.3998     10.3601
11.3295    8.4654     10.3616
11.2645    8.4855     10.3939
11.2038    8.5181     10.394
11.1255    8.5425     10.3957
11.0166    8.5998     10.3799
10.9682    8.6632     10.3745
10.8696    8.6904     10.381
10.8017    8.7628     10.3684
10.7704    8.8114     10.3824
10.6925    8.8393     10.5085
10.6116    8.8968     10.5408
10.5276    8.9723     10.5169
10.4255    9.0922     10.4451
10.3324    9.145      10.4076
10.2461    9.167      10.3818
10.2566    9.2236     10.2246
10.2453    9.2323     10.1671
10.2099    9.2577     10.0252
10.2116    9.2808     9.9534
10.2031    9.2908     9.8618
10.2036    9.3274     9.7833
10.2316    9.3602     9.6994
10.2119    9.3761     9.553





















































































































































8.6321     12.8903    9.6995     RTEMFOS
8.6097     12.9008    9.607
8.5938     12.9146    9.5191
8.584      12.9354    9.4339
8.5618     12.9198    9.3652
8.5538     12.929     9.2757
8.5237     12.9346    9.2021
8.5003     12.9196    9.1331
8.4724     12.9392    9.0101
8.4504     12.9248    8.899
8.4382     12.9299    8.8637
8.4293     12.9142    8.7742
8.4151     12.9215    8.6914
8.4339     12.93      8.607
8.4256     12.9279    8.5348
8.4212     12.9438    8.4491
8.4208     12.978     8.35
8.4146     12.985     8.2623
8.4224     13.0381    8.1851
8.4242     13.0588    8.1259
8.4492     13.0833    8.0739
8.4783     13.1373    8.0112
8.5319     13.2101    7.9225
8.5879     13.3007    7.8544
8.6029     13.3532    7.8318
8.607      13.3928    7.8019
8.6371     13.4394    7.7929
8.6599     13.502     7.7662
8.7053     13.5509    7.7624
8.7538     13.6314    7.756
8.7391     13.6405    7.7833
8.7728     13.6635    7.7468
8.8132     13.7411    7.7511
8.8202     13.7498    7.7557
8.8462     13.7662    7.7622






















