AMNH       89383      ctt1ms.xls
17.0812    15.1324    -11.4445   IN
14.4956    12.2822    -13.6996   BR
11.1481    8.6307     -12.0192   GL
10.8113    8.2256     -11.0174   NA
9.7973     6.9247     -9.3695    RH
8.9248     5.934      -7.3236    NS
8.6949     5.5589     -6.0777    PR
9.4239     5.1845     -6.2215    R_PR2
10.5271    6.9441     -9.5704    R_PMS
14.1214    6.8061     -8.1801    R_ZMI
12.4374    7.1704     -9.7999    R_ZMU
11.254     8.1823     -11.0797   R_DA
12.8124    7.7864     -12.0644   R_MTI
13.0471    8.1662     -12.4189   R_MTS
13.8793    7.1385     -10.8393   R_FMO
14.6956    7.2343     -11.0459   R_FMT
17.907     10.9395    -9.3943    R_PO
15.3026    6.8562     -9.0412    R_ZTS
8.1925     6.1684     -6.1932    L_PR2
9.7593     7.6856     -9.5097    L_PMS
9.3106     11.2586    -8.0289    L_ZMI
9.5706     9.7505     -9.7252    L_ZMU
10.821     8.7032     -11.0095   L_DA
10.2429    10.117     -12.0316   L_MTI
10.4992    10.3161    -12.3942   L_MTS
9.3918     11.1957    -10.8283   L_FMO
9.5115     11.8434    -11.0762   L_FMT
12.6117    15.5616    -9.5574    L_PO
9.0531     12.5527    -8.9536    L_ZTS
8.8528     4.9739     -6.1562    O1
14.2482    6.4164     -8.9566    O2
18.3173    11.6964    -9.4302    O3
17.568     14.1209    -11.6901   O4







































































































































































11.2154    8.6012     -12.0074   GLRH
11.1745    8.5153     -11.8867
11.0864    8.4796     -11.7244
11.041     8.4193     -11.6175
10.9957    8.3586     -11.4698
10.9104    8.3071     -11.2975
10.8576    8.259      -11.1242
10.8214    8.1892     -10.9987
10.7659    8.1447     -10.8585
10.7042    8.007      -10.6408
10.6392    7.8882     -10.4786
10.5519    7.8304     -10.3821
10.4601    7.7363     -10.2276
10.3782    7.6225     -10.1238
10.3177    7.4952     -10.0243
10.1812    7.3992     -9.9274
10.1209    7.246      -9.8252
10.0557    7.1287     -9.7099
9.9115     7.0372     -9.5763
9.8935     6.9208     -9.485
9.8569     6.9023     -9.3783



















































































































































































9.9037     6.8384     -9.3043    NOSE
9.9818     6.7397     -9.2609
10.0231    6.7458     -9.2441
10.0505    6.6144     -9.1868
10.1953    6.6845     -9.0429
10.2036    6.5878     -8.9425
10.1833    6.4882     -8.813
10.1814    6.4598     -8.6801
10.1686    6.3767     -8.5369
10.1172    6.2376     -8.3762
10.0388    6.0744     -8.1905
9.9598     5.9797     -8.0418
9.8867     5.9098     -7.9019
9.7323     5.8308     -7.7322
9.5315     5.7767     -7.6067
9.3393     5.812      -7.4758
9.1755     5.7883     -7.3882
9.0216     5.815      -7.3267
8.9319     5.8569     -7.2787
8.8959     5.8821     -7.3205
8.837      6.0594     -7.3946
8.8002     6.1942     -7.4461
8.7604     6.3145     -7.5165
8.7753     6.4875     -7.6504
8.7755     6.658      -7.741
8.8052     6.8737     -7.9064
8.8828     7.0007     -8.0585
8.9913     7.0533     -8.1925
9.009      7.0917     -8.3361
9.0865     7.1816     -8.489
9.2014     7.2121     -8.6176
9.3055     7.244      -8.8235
9.3598     7.2408     -8.8664
9.4451     7.2701     -9.0007
9.4829     7.2662     -9.0721
9.5405     7.1578     -9.0552
9.5521     6.9962     -9.0729
9.6004     6.9396     -9.1805
9.7511     6.9447     -9.3119
9.8421     6.9262     -9.3687
































































































































































9.0427     5.9398     -7.374     NASP-PR
8.9923     5.8558     -7.3292
8.8849     5.7477     -7.2114
8.8553     5.629      -7.0737
8.816      5.578      -6.9274
8.7773     5.5761     -6.7628
8.7625     5.5425     -6.5413
8.754      5.5299     -6.4145
8.7276     5.5047     -6.2741
8.7556     5.5412     -6.1457
8.7555     5.5537     -6.0914





























































































































































































10.5874    6.9565     -9.5863    R-PM/MAX
10.5018    6.8123     -9.4306
10.4957    6.7237     -9.3049
10.5023    6.5608     -9.1139
10.4633    6.4889     -8.9971
10.4329    6.3966     -8.8591
10.3724    6.2641     -8.6977
10.3264    6.1226     -8.532
10.2445    5.9982     -8.3708
10.1694    5.8751     -8.1637
10.1677    5.7484     -7.9895
10.2118    5.5847     -7.7684
10.2833    5.5078     -7.6011
10.312     5.4408     -7.3156
10.3676    5.3416     -7.1736
10.4516    5.2723     -6.857
10.4841    5.2879     -6.7481























































































































































































9.7889     7.6263     -9.4724    L-PM/MAX
9.7315     7.6115     -9.386
9.6259     7.5654     -9.2531
9.4488     7.5073     -8.9897
9.317      7.4753     -8.7992
9.1811     7.4353     -8.6782
9.0256     7.3458     -8.4727
8.8581     7.235      -8.2299
8.8562     7.2412     -8.1908
8.7748     7.172      -8.1246
8.6456     7.1156     -7.913
8.5537     7.117      -7.7574
8.4432     7.1234     -7.5205
8.3665     7.1513     -7.2886
8.2914     7.1894     -7.1294
8.2142     7.1973     -6.8892
8.1789     7.2995     -6.7565
8.2744     7.3352     -6.5421
8.314      7.3458     -6.3936
8.3632     7.3104     -6.3091




















































































































































































12.4268    6.6091     -6.5923    ROSTRUM
12.4485    6.544      -6.8112
12.3926    6.5116     -6.9982
12.3637    6.5207     -7.189
12.3228    6.5287     -7.3222
12.2718    6.5721     -7.4955
12.2163    6.6142     -7.6538
12.1211    6.6445     -7.8874
12.0554    6.6536     -8.0654
12.0356    6.6887     -8.2805
11.9788    6.6974     -8.4299
12.0317    6.6411     -8.6025
12.0099    6.6025     -8.7467
11.9357    6.647      -8.942
11.8296    6.7004     -9.0285
11.7328    6.7942     -9.1201
11.589     6.895      -9.3258
11.5068    6.9857     -9.3987
11.4057    7.0715     -9.4679
11.3074    7.1669     -9.5976
11.1859    7.2758     -9.7113
11.1125    7.3082     -9.7934
11.0204    7.3667     -9.9279
10.9019    7.4604     -10.0892
10.7808    7.5381     -10.1817
10.7244    7.6048     -10.2282
10.6437    7.6628     -10.256
10.381     7.8266     -10.1765
10.2862    7.9351     -10.0594
10.19      8.0965     -9.885
10.0924    8.2234     -9.6989
9.974      8.3459     -9.5756
9.8265     8.485      -9.4678
9.6099     8.6425     -9.2941
9.5017     8.7847     -9.1351
9.4277     8.8553     -9.1043
9.2938     8.9499     -8.9567
9.2471     9.0205     -8.8065
9.265      8.9731     -8.7396
9.3525     9.0222     -8.5286
9.4118     9.0425     -8.3137
9.3784     9.1087     -8.0917
9.3166     9.1042     -7.8866
9.2684     9.124      -7.677
9.2329     9.2037     -7.4287
9.1976     9.2155     -7.2776
9.1708     9.2381     -7.0378
9.1832     9.2669     -6.8134
9.234      9.2738     -6.578
9.3396     9.2647     -6.4802






















































































































































14.6554    7.1699     -11.0397   SUPORB
14.6347    7.2454     -11.1152
14.6827    7.3072     -11.3414
14.6728    7.381      -11.4712
14.544     7.4989     -11.7431
14.3615    7.5872     -11.9092
14.1649    7.707      -12.0735
14.0428    7.7582     -12.1351
13.8793    7.7908     -12.223
13.7433    7.8589     -12.2785
13.4148    8.0407     -12.3539
13.2259    8.076      -12.3997
13.0586    8.1323     -12.441
12.8957    8.1698     -12.4841
12.7748    8.1065     -12.4616
12.5353    8.2378     -12.4848
12.2993    8.3472     -12.5053
12.0704    8.5356     -12.5134
11.9258    8.6035     -12.4955
11.5942    8.7144     -12.4137
11.331     8.7446     -12.2542
11.1162    8.8595     -12.2198
11.0926    8.9732     -12.2904
11.0831    9.1633     -12.3747
11.0167    9.3526     -12.4315
10.8913    9.592      -12.4782
10.776     9.9104     -12.5098
10.6335    10.1637    -12.4427
10.5366    10.3847    -12.3938
10.4371    10.5259    -12.3651
10.3546    10.702     -12.3289
10.3026    10.7961    -12.2571
10.225     10.961     -12.2069
10.109     11.2344    -12.0857
9.9325     11.4841    -11.9195
9.8186     11.6502    -11.7869
9.6897     11.7725    -11.5855
9.6127     11.8633    -11.4405
9.6081     11.9161    -11.3424
9.5882     11.9998    -11.1092
9.5827     11.9739    -10.985
9.5614     11.9316    -10.8914






























































































































































12.5144    7.1771     -9.8018    RORBIT
12.691     7.1567     -9.8266
12.8687    7.1254     -9.8513
13.0972    7.0638     -9.9279
13.2639    7.0604     -10
13.442     7.0663     -10.1078
13.5143    7.1123     -10.1561
13.6539    7.0788     -10.3057
13.7268    7.1521     -10.4195
13.8011    7.131      -10.5277
13.8525    7.1409     -10.6045
13.8921    7.1901     -10.6743
13.9245    7.2165     -10.7973
13.9525    7.2325     -10.9877
13.9439    7.2552     -11.1128
13.9108    7.2688     -11.2231
13.9224    7.1848     -11.4645
13.8173    7.2462     -11.4817
13.728     7.3287     -11.561
13.6341    7.385      -11.6978
13.5487    7.447      -11.8133
13.479     7.4961     -11.8486
13.3943    7.5319     -11.9659
13.2005    7.6288     -12.0312
13.0782    7.7057     -11.9933
12.9197    7.7295     -12.0585
12.6757    7.8387     -12.1076
12.4811    7.9757     -12.0029
12.3065    8.1232     -12.049
12.181     8.2359     -12.0144
12.0601    8.2146     -12.0168
11.9432    8.3111     -11.9097
11.8001    8.4338     -11.6507
11.6994    8.3783     -11.5289
11.5965    8.3344     -11.355
11.494     8.2919     -11.2593




































































































































































9.7335     9.7059     -9.7641    LORBIT
9.6478     9.9435     -9.7512
9.6101     10.1831    -9.7951
9.5396     10.3642    -9.8963
9.5066     10.5863    -10.0206
9.5052     10.7716    -10.1983
9.5152     10.9106    -10.3661
9.5135     11.0269    -10.5435
9.5135     11.065     -10.6105
9.5452     11.0929    -10.737
9.5882     11.1179    -10.9139
9.6461     11.0817    -11.1707
9.6987     11.0059    -11.3866
9.8152     10.8454    -11.6166
9.894      10.6713    -11.804
10.0083    10.4918    -11.9197
10.0834    10.2726    -12.0588
10.2284    10.0798    -12.0217
10.4045    9.8023     -12.004
10.5018    9.7344     -11.9968
10.6331    9.5663     -12.01
10.7337    9.4239     -11.9947
10.8393    9.2251     -11.9018
10.9323    9.0864     -11.7748
10.9523    9.1476     -11.7661
10.9266    9.0443     -11.5829
10.9025    8.9693     -11.371
10.8633    8.8955     -11.1599
10.8192    8.8885     -10.9853











































































































































































14.7025    7.2743     -11.1601   RTEMFOS
14.6918    7.1749     -10.9968
14.6255    7.0663     -10.781
14.5995    6.9743     -10.552
14.5838    6.8943     -10.2408
14.4772    6.7738     -9.894
14.4175    6.6881     -9.5911
14.4819    6.6372     -9.333
14.6498    6.5973     -9.0921
14.8381    6.6585     -9.0206
15.1014    6.7999     -9.01
15.2629    6.8426     -9.0191
15.283     6.8616     -9.037



























































































































































































9.4854     11.9263    -10.9034   LTEMFOS
9.4208     11.8926    -10.6623
9.2753     11.8149    -10.5662
9.1836     11.7641    -10.2983
9.1003     11.7233    -9.9722
9.0632     11.6483    -9.6556
8.9734     11.5855    -9.3856
8.9595     11.6074    -9.2302
8.9245     11.7524    -9.033
8.9499     11.9413    -8.9543
8.9914     12.1749    -8.9197
9.0413     12.3087    -8.9272
9.0642     12.4632    -8.9647
9.0828     12.4997    -8.9844


























































































































































































9.3405     6.0018     -8.7167    OP
10.5107    7.289      -8.7756    BA
13.489     10.201     -7.7536    ST
16.1564    12.9214    -7.4498    IV
13.1377    4.8945     -8.3346    R_PG
15.6142    5.8705     -7.378     R_ZTI
14.6105    9.0405     -8.4645    R_M3D
16.1753    9.8847     -8.3657    R_M12
17.4365    11.5567    -8.1148    R_MP3
17.7229    12.4415    -7.6366    R_PMI
8.1951     9.7658     -8.2158    L_PG
9.0871     12.1643    -7.3217    L_ZTI
12.3982    11.4111    -8.5365    L_M3D
13.2021    12.8409    -8.4077    L_M12
14.8927    14.1286    -8.2372    L_MP3
15.7524    14.5005    -7.9225    L_PMI
18.0839    14.0459    -7.6857    O1
16.7055    8.1335     -6.3814    O2
11.6982    3.837      -7.8142    O3
8.8514     3.9506     -5.9601    O4




















































































































































































16.3741    8.3843     -7.2992    RZYGINF
16.3564    8.283      -7.2879
16.396     8.1225     -7.2381
16.4293    7.9674     -7.2413
16.4492    7.7786     -7.2592
16.4314    7.5885     -7.2941
16.4293    7.4164     -7.3382
16.3548    7.1769     -7.3746
16.2594    6.9626     -7.4307
16.1258    6.7454     -7.4548
15.9673    6.4442     -7.5139
15.8104    6.1727     -7.4853
15.7315    6.0449     -7.4456
15.6641    5.823      -7.3517


























































































































































































11.0165    13.1212    -7.2617    LZYGINF
10.8891    13.0837    -7.3092
11.2382    13.0723    -7.1955
11.4079    13.0151    -7.1748
11.5605    13.0068    -7.2187
10.627     13.005     -7.3437
10.4804    12.954     -7.3454
11.5982    12.9108    -7.2871
10.295     12.8676    -7.3563
9.9875     12.6938    -7.4161
9.7717     12.5791    -7.4808
9.6133     12.4343    -7.4885
9.4374     12.3361    -7.4338
9.2273     12.1804    -7.3806
9.1057     12.0668    -7.3248

























































































































































































14.6545    9.0367     -8.4034    R-ALV
14.8404    9.0754     -8.4025
15.0505    9.1113     -8.3694
15.3186    9.1866     -8.405
15.5193    9.3128     -8.4543
15.7344    9.4111     -8.4248
15.9101    9.5536     -8.3973
16.1086    9.747      -8.3694
16.2459    9.9394     -8.3384
16.4447    10.1553    -8.3246
16.5801    10.2517    -8.3063
16.7235    10.4163    -8.2623
16.745     10.5393    -8.2871
16.8693    10.6796    -8.2275
17.0312    10.9241    -8.2117
17.1696    11.148     -8.1404
17.326     11.363     -8.1325
17.4386    11.5496    -8.067
17.4677    11.6181    -8.1118






































































































































