NMNH       218844*    ctt22ms.xls
15.8714    14.3055    9.6145     IN
13.2099    11.9042    12.0997    BR
10.1434    8.7835     10.2512    GL
10.1095    8.7098     10.0736    NA
8.9024     7.5448     8.1395     RH
8.3239     6.9777     6.2915     NS
8.1261     6.8027     5.5661     PR
7.7705     7.4039     5.6751     R_PR2
9.5925     8.4457     9.0186     R_PMS
8.7674     10.9768    6.7359     R_ZMI
9999       9999       9999       R_ZMU
9.9083     8.9209     9.203      R_DA
9.3575     10.411     10.183     R_MTI
9.6018     10.5735    10.545     R_MTS
8.822      10.9982    9.3116     R_FMO
9.0282     11.5317    9.3219     R_FMT
11.7201    14.5371    8.2862     R_PO
8.9892     11.982     7.4697     R_ZTS
8.6937     6.4567     5.6227     L_PR2
9.6156     7.7102     8.4147     L_PMS
12.3235    7.3815     6.6863     L_ZMI
11.134     7.7155     8.1627     L_ZMU
10.3516    8.5775     9.2388     L_DA
11.8131    7.982      10.2198    L_MTI
12.0271    8.2081     10.5234    L_MTS
12.4218    7.4763     9.3043     L_FMO
12.9066    7.6844     9.293      L_FMT
15.6792    10.3163    8.1606     L_PO
13.3322    7.5296     7.4233     L_ZTS
8.923      6.4339     6.1055     O1
12.3604    7.1235     7.4606     O2
16.3717    10.7066    8.6107     O3
16.0799    13.6663    10.4276    O4







































































































































































10.1428    8.7754     10.2467    GLRH
10.1195    8.7205     10.0824
10.0707    8.6666     9.9637
10.0074    8.6369     9.8429
9.942      8.5562     9.6885
9.9018     8.5016     9.5662
9.8299     8.4331     9.4211
9.7853     8.3621     9.2595
9.6785     8.2755     9.0931
9.5911     8.1915     8.9666
9.5173     8.1207     8.8691
9.4146     8.0114     8.754
9.3281     7.9287     8.6748
9.2261     7.8185     8.5516
9.1646     7.7883     8.4995
9.1027     7.7172     8.43
9.0165     7.6431     8.3374
8.9592     7.608      8.2621
8.9473     7.5844     8.2472
8.9347     7.5643     8.2215
8.9186     7.5406     8.1665



















































































































































































8.9393     7.5144     8.131      NOSE
8.796      7.5953     8.1505
8.7165     7.6676     8.1212
8.6647     7.778      7.9968
8.6168     7.9054     7.8064
8.5396     7.9748     7.6312
8.4511     8.0066     7.5052
8.3512     7.9921     7.3227
8.2466     7.9542     7.1127
8.2053     7.9206     6.9555
8.1612     7.8406     6.8254
8.1234     7.7317     6.7081
8.0856     7.6137     6.6154
8.0333     7.5078     6.5455
8.0158     7.3782     6.4942
8.0533     7.2765     6.4617
8.0849     7.2022     6.4479
8.1411     7.1163     6.4297
8.2214     7.0605     6.3494
8.2424     6.9961     6.3137
8.2927     6.9415     6.2612
8.3225     6.8848     6.2868
8.3622     6.8016     6.3675
8.4391     6.7583     6.4573
8.5203     6.7254     6.5132
8.6123     6.6991     6.5026
8.6988     6.6915     6.5651
8.8117     6.6983     6.6098
8.9023     6.7236     6.6661
8.9824     6.7535     6.7653
9.0556     6.835      6.8684
9.133      6.8816     7.0405
9.1589     6.9453     7.1537
9.1969     7.0055     7.2871
9.2231     7.0693     7.4211
9.2195     7.1103     7.5334
9.2507     7.1453     7.6189
9.2551     7.1851     7.7499
9.2094     7.1786     7.7803
9.1363     7.185      7.8437
9.1191     7.237      7.936
9.1174     7.3039     8.0115
9.0675     7.358      8.1286
8.9854     7.4714     8.159
8.9358     7.522      8.1386
8.889      7.5554     8.1204


























































































































































8.2788     6.9581     6.2806     NASP-PR
8.2532     6.9166     6.2293
8.1973     6.9026     6.1887
8.155      6.8731     6.1275
8.154      6.8337     6.0717
8.104      6.7933     5.9918
8.0854     6.7798     5.9244
8.0796     6.7725     5.8326
8.08       6.7593     5.7508
8.0872     6.7567     5.7076
8.0924     6.7662     5.6737
8.1369     6.8036     5.5523




























































































































































































9.5824     8.4397     9.0228     R-PM/MAX
9.5254     8.4279     8.9099
9.461      8.406      8.7807
9.4078     8.3642     8.6655
9.2977     8.3564     8.5373
9.1485     8.2992     8.4052
9.0339     8.2537     8.2799
8.9185     8.2307     8.1817
8.8293     8.1772     8.081
8.7145     8.1045     8.0032
8.6319     8.0128     7.9177
8.5652     7.9927     7.7417
8.5009     7.9752     7.6221
8.4548     7.9819     7.5244
8.376      7.9864     7.3674
8.3083     7.989      7.2558
8.236      7.9859     7.1649
8.1605     7.9842     6.9871
8.1046     7.9708     6.872
8.0687     7.9859     6.7662
8.0372     8.0036     6.6593
7.9982     7.9959     6.5595
7.9554     7.9832     6.4791
7.8955     8.0244     6.3548
7.8403     8.0501     6.2159
7.8321     8.0669     6.1102
7.8312     8.1237     6.0893
7.7813     8.0899     5.9927
7.8083     8.1306     5.8952
7.8369     8.1506     5.7653










































































































































































9.6553     7.7631     8.445      L-PM/MAX
9.4816     7.4023     8.027
9.4203     7.3161     7.9048
9.4152     7.2492     7.8048
9.378      7.1838     7.6723
9.3648     7.1203     7.5572
9.3498     7.0589     7.4876
9.3508     7.019      7.4085
9.3392     6.9782     7.2793
9.323      6.9517     7.1743
9.3675     6.8472     7.0878
9.3765     6.7781     6.9378
9.3531     6.7375     6.7454
9.3303     6.7103     6.6817
9.3381     6.6547     6.5849
9.3315     6.6136     6.4567
9.362      6.5561     6.3735
9.3706     6.5361     6.2806
9.3892     6.487      6.187
9.3992     6.4913     6.1251
9.4083     6.4721     6.0624
9.4082     6.4512     6.0299
9.4126     6.4302     5.9626
9.4275     6.4743     5.7828
9.4454     6.5429     5.7396















































































































































































9.0516     10.293     6.0119     ROSTRUM
9.0032     10.2685    6.133
8.9161     10.2318    6.3338
8.8571     10.2322    6.5596
8.8666     10.1414    6.7867
8.8968     10.0595    6.8462
8.907      9.9889     6.9777
8.9283     9.9005     7.0855
8.9278     9.8795     7.1779
8.9174     9.7848     7.3257
8.9226     9.7065     7.4021
8.9146     9.6223     7.4872
8.9001     9.6208     7.589
8.9098     9.5177     7.6602
8.9568     9.4657     7.6394
8.9997     9.4627     7.6745
8.948      9.4328     7.722
9999       9999       9999
9.1109     9.091      8.0717
9.174      9.0201     8.1628
9.2154     8.9426     8.2174
9.2959     8.839      8.2872
9.3479     8.7473     8.3366
9.4125     8.6634     8.4164
9.403      8.622      8.4563
9.4268     8.5102     8.5949
9.4456     8.4706     8.6544
9.469      8.4356     8.7416
9.4604     8.3954     8.8153
9.4622     8.3399     8.8539
9.4807     8.2609     8.9023
9.538      8.1602     8.9338
9.5957     8.1199     8.9359
9.6318     8.1119     8.8989
9.6727     8.0971     8.8498
9.7635     8.0482     8.7635
9.8309     8.0488     8.6414
9.9239     8.0453     8.5502
9.9877     8.0126     8.4753
10.0731    7.9762     8.3439
10.1964    7.9174     8.2855
10.2992    7.8481     8.1541
10.3449    7.8132     8.1173
10.4563    7.711      8.0433
10.5359    7.6778     8.0043
10.6037    7.633      7.9682
10.6869    7.6013     7.8741
10.7646    7.5544     7.7818
10.8505    7.5033     7.6899
10.9069    7.5248     7.6094
10.9424    7.5505     7.5239
10.975     7.5881     7.4164
11.0576    7.5906     7.3328
11.1242    7.6187     7.1604
11.2311    7.6319     7.0805
11.2847    7.6278     6.9533
11.3409    7.6016     6.8996
11.4135    7.6016     6.8281
11.503     7.5716     6.7143
11.5688    7.5386     6.6477
11.5968    7.5346     6.6123
11.6067    7.5439     6.5181
11.6904    7.5843     6.3658
11.7118    7.6249     6.2921
11.7084    7.697      6.1519
11.7005    7.7315     6.0594
11.719     7.7517     5.9969
11.688     7.7349     5.9243
11.674     7.7541     5.868
11.69      7.8313     5.8461


































































































































8.957      11.4919    9.2628     SUPORB
8.9501     11.4754    9.3981
8.9946     11.4486    9.4829
9.0182     11.4637    9.5742
9.0403     11.4327    9.6552
9.088      11.3947    9.7645
9.0976     11.3556    9.8277
9.1576     11.3313    9.9354
9.1608     11.2666    10.0212
9.2091     11.1833    10.1188
9.2419     11.1424    10.1427
9.3694     10.9604    10.3025
9.4268     10.8438    10.4001
9.4578     10.7568    10.4452
9.5164     10.6105    10.5238
9.5548     10.5168    10.5542
9.6072     10.394     10.6096
9.6449     10.2539    10.6562
9.6999     10.1494    10.6891
