NMNH       220088     ctt23ms.xls
16.3319    15.4228    10.3074    IN
13.7597    12.9334    12.327     BR
9.9623     9.6535     10.6881    GL
9.8556     9.5758     10.521     NA
8.1671     7.9542     8.0248     RH
7.3467     7.252      6.1628     NS
7.0551     6.9641     5.2509     PR
6.6302     7.4702     5.5454     R_PR2
9.1082     9.167      9.0819     R_PMS
8.1654     12.3252    6.5683     R_ZMI
8.4099     10.9375    8.3939     R_ZMU
9.7343     9.9782     9.515      R_DA
8.9012     11.3235    10.5413    R_MTI
9.2452     11.5456    10.9073    R_MTS
8.4366     12.0541    9.4306     R_FMO
8.5477     12.7224    9.702      R_FMT
12.1074    16.1179    8.2819     R_PO
8.3509     13.5506    7.4475     R_ZTS
7.6035     6.4805     5.2435     L_PR2
9.452      8.8334     9.1203     L_PMS
12.3264    7.5635     6.5149     L_ZMI
10.9953    8.0525     8.3886     L_ZMU
10.195     9.3219     9.387      L_DA
11.4205    8.4862     10.5253    L_MTI
11.6608    8.7197     10.8934    L_MTS
12.2505    7.9298     9.5206     L_FMO
12.9299    7.9355     9.4558     L_FMT
16.4819    11.0334    8.1391     L_PO
13.6891    7.6607     7.3434     L_ZTS
8.0387     6.6633     6.1243     O1
12.6873    7.3246     7.1821     O2
16.5821    11.2583    9.0016     O3
16.0892    14.2725    11.1386    O4







































































































































































9.9725     9.654      10.6995    GLRH
9.8818     9.6064     10.5878
9.8076     9.527      10.4638
9.7438     9.4124     10.2986
9.6724     9.3575     10.1754
9.6088     9.2624     9.9908
9.5052     9.2191     9.8225
9.4397     9.1608     9.6575
9.3384     9.0778     9.4927
9.2735     9.0185     9.3584
9.1491     8.9299     9.212
9.0768     8.8687     9.1139
9.0182     8.7964     9.0004
8.9356     8.7151     8.9075
8.8309     8.6588     8.8171
8.7526     8.5825     8.7446
8.6491     8.5005     8.6601
8.5353     8.3989     8.5812
8.469      8.299      8.5013
8.3836     8.2368     8.4208
8.3179     8.1847     8.3372
8.252      8.1346     8.2701
8.1877     8.0812     8.1879
8.1516     8.061      8.1516
8.1297     8.0408     8.1035
8.1081     8.0269     8.0605
8.1078     8.0316     7.9824













































































































































































8.1125     8.0295     8.0018     NOSE
8.023      8.091      8.0324
8.0128     8.1753     8.0563
7.9124     8.2938     7.9857
7.8772     8.3158     7.9163
7.8414     8.3234     7.8475
7.8213     8.3477     7.7307
7.848      8.3819     7.6992
7.8691     8.4234     7.6232
7.8896     8.5192     7.7287
7.9342     8.5477     7.6839
7.8441     8.5535     7.6604
7.7604     8.5663     7.4476
7.6531     8.532      7.2144
7.599      8.5151     7.0466
7.5071     8.4249     6.9269
7.4025     8.2889     6.7977
7.3382     8.1405     6.6735
7.2547     7.9532     6.5825
7.2212     7.7907     6.518
7.1938     7.6585     6.4805
7.169      7.5324     6.4342
7.1872     7.4432     6.3627
7.1902     7.3902     6.3085
7.2541     7.3189     6.2355
7.3272     7.2313     6.1663
7.3993     7.2049     6.1998
7.4338     7.1577     6.223
7.4954     7.0767     6.2958
7.55       7.0323     6.3389
7.718      7.0522     6.4565
7.7798     7.0977     6.5109
7.8696     7.1182     6.5295
7.9789     7.1469     6.5852
8.0917     7.1961     6.6412
8.1847     7.2417     6.6987
8.271      7.2964     6.7756
8.3149     7.3593     6.8211
8.3881     7.3926     6.9051
8.461      7.4583     7.0382
8.5178     7.5115     7.1486
8.5233     7.5843     7.2645
8.5519     7.6524     7.4288
8.5927     7.7087     7.4994
8.5976     7.745      7.5385
8.6167     7.7643     7.6486
8.635      7.7876     7.7364
8.641      7.781      7.7452
8.5424     7.7484     7.7078
8.4673     7.7392     7.7027
8.397      7.7557     7.7555
8.3197     7.7771     7.7997
8.3062     7.8179     7.9544
8.2821     7.8729     8.0445
8.2213     7.9362     8.0457
8.1667     7.972      8.0284
8.112      8.0193     8.0225
8.0805     8.0402     8.0478














































































































































7.3075     7.2286     6.1672     NASP-PR
7.2441     7.1459     6.1015
7.1781     7.1159     6.0698
7.1443     7.0481     6.0051
7.1044     6.9926     5.9077
7.0611     6.9574     5.7867
7.0407     6.9459     5.6741
7.0416     6.94       5.5912
7.0164     6.9318     5.5541
6.998      6.9353     5.4735
7.0014     6.9318     5.4305
7.0016     6.9233     5.3993
7.0179     6.9305     5.3097



























































































































































































9.1231     9.1882     9.1256     R-PM/MAX
9.0965     9.1717     9.1019
9.0531     9.1495     9.0318
8.9997     9.1305     8.9706
8.9151     9.093      8.8886
8.8426     9.0677     8.7649
8.7561     9.0804     8.6448
8.6719     9.0271     8.5483
8.5801     9.0188     8.4723
8.5233     8.9805     8.4083
8.4249     8.9465     8.348
8.3417     8.9489     8.2238
8.2733     8.9336     8.1204
8.1884     8.9003     8.0147
8.1195     8.8853     7.9037
8.0028     8.8471     7.7744
7.9121     8.8045     7.6549
7.8361     8.7981     7.5525
7.7434     8.8099     7.3984
7.6569     8.778      7.249
7.6435     8.7457     7.2298
7.5763     8.7375     7.0714
7.5085     8.6797     6.8698
7.4473     8.6778     6.801
7.3656     8.6702     6.719
7.2832     8.642      6.6475
7.2469     8.6342     6.6112
7.1753     8.5894     6.5283
7.0644     8.566      6.4268
6.9772     8.5435     6.3018
6.9075     8.5328     6.1763
6.849      8.5722     6.0441
6.8254     8.5323     5.9492
6.8298     8.585      5.9172
6.8257     8.6164     5.8364
6.8248     8.7039     5.7844




































































































































































9.3971     8.7764     9.0202     L-PM/MAX
9.3334     8.7029     8.9082
9.2726     8.6409     8.8206
9.2489     8.569      8.7225
9.2129     8.4717     8.6086
9.1434     8.3916     8.5408
9.1287     8.2805     8.3891
9.0907     8.1896     8.2711
9.0733     8.1328     8.1616
9.0389     8.0748     8.0887
9.0057     7.9726     7.9386
8.9763     7.8855     7.851
8.9439     7.8125     7.7468
8.9113     7.7169     7.6716
8.8917     7.6421     7.5578
8.8777     7.5669     7.4094
8.8605     7.5088     7.3179
8.8625     7.4488     7.2304
8.8416     7.3993     7.1333
8.7945     7.3497     7.0104
8.7873     7.318      6.9152
8.7577     7.2559     6.7796
8.7392     7.1863     6.6924
8.7141     7.1506     6.6054
8.6921     7.0455     6.4743
8.667      6.9866     6.4071
8.6482     6.924      6.3065
